FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,LT,FUTSTK,,3772.878173828125,3716.697970808546,3786.493267927305,3716.697970808546,1905190,3772.878173828125,175,YFINANCE
01-Apr-2025,LT,FUTSTK,,3405.04345703125,3447.8442336234234,3469.244742861873,3398.3062417610176,1935147,3405.04345703125,175,YFINANCE
01-Apr-2026,LT,FUTSTK,,3607.5,3655.0,3682.89990234375,3597.300048828125,4099786,3607.5,175,YFINANCE
01-Aug-2023,LT,FUTSTK,,2591.912109375,2606.2003045397114,2613.635804228994,2580.9290026022054,1298745,2591.912109375,175,YFINANCE
01-Aug-2024,LT,FUTSTK,,3744.378662109375,3774.7949404176857,3803.477389028954,3731.0529908147664,1998663,3744.378662109375,175,YFINANCE
01-Aug-2025,LT,FUTSTK,,3587.300048828125,3636.0,3636.0,3578.10009765625,1205945,3587.300048828125,175,YFINANCE
01-Dec-2023,LT,FUTSTK,,3136.511962890625,3076.8419493120086,3143.6881467966937,3068.093057699292,2112908,3136.511962890625,175,YFINANCE
01-Dec-2025,LT,FUTSTK,,4073.199951171875,4087.0,4103.39990234375,4050.0,1251770,4073.199951171875,175,YFINANCE
01-Feb-2024,LT,FUTSTK,,3340.343994140625,3420.952648501876,3434.4693435929394,3313.8021201436277,6149780,3340.343994140625,175,YFINANCE
01-Feb-2025,LT,FUTSTK,,3415.64453125,3544.938689720812,3595.6655448971665,3370.5649587563453,4752505,3415.64453125,175,YFINANCE
01-Jan-2024,LT,FUTSTK,,3465.63134765625,3477.968451638937,3477.968451638937,3436.730292587616,777080,3465.63134765625,175,YFINANCE
01-Jan-2025,LT,FUTSTK,,3633.61181640625,3566.7355253067485,3654.9131535712763,3566.6859389363945,1202029,3633.61181640625,175,YFINANCE
01-Jan-2026,LT,FUTSTK,,4140.39990234375,4090.0,4146.7998046875,4088.300048828125,1360716,4140.39990234375,175,YFINANCE
01-Jul-2024,LT,FUTSTK,,3493.964111328125,3502.5340870656305,3508.676749607373,3481.530027139966,2961120,3493.964111328125,175,YFINANCE
01-Jul-2025,LT,FUTSTK,,3666.699951171875,3669.800048828125,3678.89990234375,3645.0,1054380,3666.699951171875,175,YFINANCE
01-Jun-2023,LT,FUTSTK,,2145.92236328125,2154.864468781837,2159.7243345210836,2140.430572617023,1049488,2145.92236328125,175,YFINANCE
01-Mar-2023,LT,FUTSTK,,2056.0146484375,2041.143413252751,2070.3026048706474,2041.143413252751,1389077,2056.0146484375,175,YFINANCE
01-Mar-2024,LT,FUTSTK,,3571.847900390625,3442.2349942450974,3596.276349307091,3440.6130869319354,4407803,3571.847900390625,175,YFINANCE
01-Nov-2023,LT,FUTSTK,,2846.173583984375,2897.438624551836,2932.532831114658,2822.335049722768,3875595,2846.173583984375,175,YFINANCE
01-Nov-2024,LT,FUTSTK,,3592.842041015625,3591.4548321093766,3608.248163013316,3586.5506192804,212796,3592.842041015625,175,YFINANCE
01-Oct-2024,LT,FUTSTK,,3619.7412109375,3633.116469278175,3689.5897822721363,3605.7220554306127,1674100,3619.7412109375,175,YFINANCE
01-Oct-2025,LT,FUTSTK,,3670.300048828125,3658.89990234375,3688.0,3615.0,2005028,3670.300048828125,175,YFINANCE
01-Sep-2023,LT,FUTSTK,,2656.251708984375,2664.017568257907,2669.8665625206936,2642.6858150652083,1263430,2656.251708984375,175,YFINANCE
01-Sep-2025,LT,FUTSTK,,3598.39990234375,3601.0,3628.60009765625,3581.89990234375,1094155,3598.39990234375,175,YFINANCE
02-Apr-2024,LT,FUTSTK,,3742.79736328125,3784.478079921172,3794.5049621323606,3707.2608389745246,3608162,3742.79736328125,175,YFINANCE
02-Apr-2025,LT,FUTSTK,,3388.299560546875,3401.2786115130666,3425.7999181355394,3376.5096149247106,1338839,3388.299560546875,175,YFINANCE
02-Apr-2026,LT,FUTSTK,,3613.10009765625,3539.300048828125,3629.0,3470.0,4121638,3613.10009765625,175,YFINANCE
02-Aug-2023,LT,FUTSTK,,2577.658203125,2593.2393620081925,2600.071388900892,2558.538271749699,1479486,2577.658203125,175,YFINANCE
02-Aug-2024,LT,FUTSTK,,3631.828369140625,3695.881139197811,3714.259541086526,3623.307979478477,2512525,3631.828369140625,175,YFINANCE
02-Dec-2024,LT,FUTSTK,,3669.823974609375,3672.5981504936294,3683.4965085580607,3638.96166095972,1158369,3669.823974609375,175,YFINANCE
