FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,LUPIN,23-Feb-2023,0,XX,N,676.05,676.75,657.3,664.65,664.2,674.9,664.65,3598900.0,2393354307.5,8369950.0,-5950.0,850.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,2393354307.5
FUTSTK,LUPIN,29-Mar-2023,0,XX,N,681.2,681.2,661.2,669.0,668.8,679.6,669.0,666400.0,445641017.5,721650.0,-61200.0,850.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,445641017.5
FUTSTK,LUPIN,27-Apr-2023,0,XX,N,674.65,676.0,668.0,673.75,673.5,684.95,673.75,23800.0,16024242.5,51850.0,6800.0,850.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,16024242.5
FUTSTK,LUPIN,27-Apr-2023,0,XX,N,673.5,677.5,667.3,676.2,677.5,673.75,676.2,17850.0,12027840.0,56100.0,4250.0,850.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,12027840.0
FUTSTK,LUPIN,23-Feb-2023,0,XX,N,664.35,670.35,656.9,669.0,670.35,664.65,669.0,1945650.0,1291522597.5,8413300.0,43350.0,850.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,1291522597.5
FUTSTK,LUPIN,29-Mar-2023,0,XX,N,667.25,674.75,661.3,673.25,674.45,669.0,673.25,349350.0,233263587.5,759900.0,38250.0,850.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,,233263587.5
FUTSTK,LUPIN,27-Apr-2023,0,XX,N,679.95,691.25,679.0,691.25,691.25,676.2,691.15,8500.0,5819185.0,55250.0,-850.0,850.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,5819185.0
FUTSTK,LUPIN,23-Feb-2023,0,XX,N,673.85,686.8,668.6,683.5,681.45,669.0,683.5,2441200.0,1657304330.0,7729900.0,-683400.0,850.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,1657304330.0
FUTSTK,LUPIN,29-Mar-2023,0,XX,N,676.7,690.6,673.3,687.35,686.1,673.25,687.35,601800.0,411046017.5,906100.0,146200.0,850.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,411046017.5
FUTSTK,LUPIN,29-Mar-2023,0,XX,N,686.1,693.2,672.85,673.9,673.0,687.35,673.9,802400.0,545784192.5,1284350.0,378250.0,850.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,545784192.5
