FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,M&M,28-Mar-2024,0,XX,N,1635.4,1681.95,1634.0,1672.65,1676.3,1644.35,1672.65,67900.0,113161790.0,101150.0,-2450.0,350.0,31-Jan-2024,2024-01-30T18:30:00.000+00:00,3749.6,113161790.0
FUTSTK,M&M,25-Apr-2024,0,XX,N,1653.4,1692.65,1653.35,1685.15,1686.2,1658.3,1685.15,18200.0,30519842.5,15750.0,8050.0,350.0,31-Jan-2024,2024-01-30T18:30:00.000+00:00,3749.6,30519842.5
FUTSTK,M&M,29-Feb-2024,0,XX,N,1623.3,1671.0,1621.1,1661.85,1663.9,1632.05,1661.85,3068100.0,5080227005.0,13466950.0,298200.0,350.0,31-Jan-2024,2024-01-30T18:30:00.000+00:00,3749.6,5080227005.0
FUTSTK,M&M,28-Mar-2024,0,XX,N,1680.3,1724.1,1667.0,1671.35,1670.85,1672.65,1671.35,133000.0,225602125.0,105000.0,3850.0,350.0,01-Feb-2024,2024-01-31T18:30:00.000+00:00,3749.6,225602125.0
FUTSTK,M&M,25-Apr-2024,0,XX,N,1697.9,1738.1,1680.4,1682.95,1685.15,1685.15,1682.95,28000.0,47811277.5,24150.0,8400.0,350.0,01-Feb-2024,2024-01-31T18:30:00.000+00:00,3749.6,47811277.5
FUTSTK,M&M,29-Feb-2024,0,XX,N,1664.95,1713.7,1654.65,1659.3,1658.15,1661.85,1659.3,3938200.0,6633641367.5,13530650.0,63700.0,350.0,01-Feb-2024,2024-01-31T18:30:00.000+00:00,3749.6,6633641367.5
FUTSTK,M&M,28-Mar-2024,0,XX,N,1675.15,1706.55,1672.0,1681.35,1680.3,1671.35,1681.35,83650.0,141111495.0,111300.0,6300.0,350.0,02-Feb-2024,2024-02-01T18:30:00.000+00:00,3749.6,141111495.0
FUTSTK,M&M,25-Apr-2024,0,XX,N,1684.9,1716.7,1684.9,1690.3,1690.3,1682.95,1690.3,11200.0,18968302.5,20300.0,-3850.0,350.0,02-Feb-2024,2024-02-01T18:30:00.000+00:00,3749.6,18968302.5
FUTSTK,M&M,29-Feb-2024,0,XX,N,1662.75,1695.95,1658.7,1669.0,1670.0,1659.3,1669.0,3091200.0,5179584917.5,13714400.0,183750.0,350.0,02-Feb-2024,2024-02-01T18:30:00.000+00:00,3749.6,5179584917.5
FUTSTK,M&M,25-Apr-2024,0,XX,N,1720.0,1743.15,1717.85,1730.0,1730.0,1690.3,1730.0,21000.0,36339327.5,26250.0,5950.0,350.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,3749.6,36339327.5
FUTSTK,M&M,28-Mar-2024,0,XX,N,1690.45,1730.0,1685.4,1721.55,1718.35,1681.35,1721.55,150850.0,258896732.5,126700.0,15400.0,350.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,3749.6,258896732.5
FUTSTK,M&M,29-Feb-2024,0,XX,N,1681.05,1719.35,1672.65,1709.0,1706.0,1669.0,1709.0,3260250.0,5558283220.0,13181350.0,-533050.0,350.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,3749.6,5558283220.0
