FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8940.0,8962.55,8907.45,8907.45,8907.45,8949.15,8907.45,600.0,5356490.0,3800.0,-100.0,100.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,15977.0,5356490.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8899.1,8916.2,8850.0,8856.55,8854.4,8895.05,8856.55,33000.0,293100280.0,69400.0,8500.0,100.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,15977.0,293100280.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8852.35,8868.9,8791.05,8801.65,8797.2,8839.7,8801.65,359900.0,3176404200.0,2131200.0,-4700.0,100.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,15977.0,3176404200.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8832.8,8969.95,8825.8,8926.8,8931.8,8856.55,8926.8,104400.0,930997255.0,113100.0,43700.0,100.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,15977.0,930997255.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8946.3,9005.0,8929.35,8976.95,8976.95,8907.45,8976.95,2000.0,17947565.0,4000.0,200.0,100.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,15977.0,17947565.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8795.65,8913.6,8767.25,8873.3,8879.0,8801.65,8873.3,574700.0,5092755795.0,2139300.0,8100.0,100.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,15977.0,5092755795.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8951.35,8951.35,8872.15,8880.95,8879.9,8926.8,8880.95,87500.0,779896530.0,149700.0,36600.0,100.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,15977.0,779896530.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8891.4,8905.0,8816.9,8826.45,8822.65,8873.3,8826.45,305600.0,2706255805.0,2108600.0,-30700.0,100.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,15977.0,2706255805.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8980.95,8980.95,8930.0,8930.0,8930.0,8976.95,8930.0,600.0,5379565.0,4200.0,200.0,100.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,15977.0,5379565.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8795.3,8874.7,8770.7,8810.35,8813.85,8826.45,8810.35,393400.0,3473767155.0,1998400.0,-110200.0,100.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,15977.0,3473767155.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8840.1,8933.8,8812.65,8869.45,8872.0,8880.95,8869.45,146100.0,1298496660.0,234300.0,84600.0,100.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,15977.0,1298496660.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8930.0,8975.15,8910.0,8922.65,8920.0,8930.0,8922.65,1800.0,16084230.0,4100.0,-100.0,100.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,15977.0,16084230.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8875.3,8905.0,8750.0,8765.2,8755.0,8869.45,8765.2,901300.0,7954113575.0,978200.0,743900.0,100.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,15977.0,7954113575.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8823.0,8848.0,8689.75,8708.1,8693.0,8810.35,8708.1,1004300.0,8805777220.0,1325700.0,-672700.0,100.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,15977.0,8805777220.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8945.0,8945.0,8812.45,8817.75,8813.5,8922.65,8817.75,2400.0,21293215.0,4400.0,300.0,100.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,15977.0,21293215.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8709.45,8721.4,8638.5,8680.05,8688.0,8708.1,8680.05,802200.0,6960059495.0,833100.0,-492600.0,100.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,15977.0,6960059495.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8763.0,8777.35,8691.9,8736.3,8742.75,8765.2,8736.3,753500.0,6580039365.0,1519500.0,541300.0,100.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,15977.0,6580039365.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8782.8,8822.0,8775.95,8784.45,8784.45,8817.75,8781.75,4100.0,36045680.0,6000.0,1600.0,100.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,15977.0,36045680.0
FUTSTK,MARUTI,23-Feb-2023,0,XX,N,8654.85,8728.1,8591.35,8650.3,8652.0,8680.05,8650.3,708400.0,6133588250.0,383200.0,-449900.0,100.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,15977.0,6133588250.0
FUTSTK,MARUTI,29-Mar-2023,0,XX,N,8735.15,8783.6,8647.15,8700.85,8704.0,8736.3,8700.85,729600.0,6356602095.0,1970900.0,451400.0,100.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,15977.0,6356602095.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8760.0,8840.0,8701.65,8762.75,8772.0,8784.45,8762.75,9900.0,86769505.0,8400.0,2400.0,100.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,15977.0,86769505.0
FUTSTK,MARUTI,27-Apr-2023,0,XX,N,8748.9,8835.2,8723.85,8794.35,8800.0,8762.75,8794.35,7600.0,66843985.0,12100.0,3700.0,100.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,15977.0,66843985.0
