FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MAZDOCK,31-Jul-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,3751.2,
FUTSTK,MAZDOCK,26-Jun-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,3751.2,
FUTSTK,MAZDOCK,28-Aug-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,3751.2,
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3465.0,3614.6,3421.9,3501.2,3495.0,3769.7,3501.2,1616300.0,5730722042.5,651175.0,651175.0,175.0,30-May-2025,2025-05-29T18:30:00.000+00:00,3478.2,5730722042.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3600.0,3607.3,3509.6,3521.4,3509.6,3813.6,3521.4,8575.0,30546705.0,7875.0,7875.0,175.0,30-May-2025,2025-05-29T18:30:00.000+00:00,3478.2,30546705.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3500.0,3621.2,3494.9,3512.8,3510.3,3794.3,3512.8,33075.0,117439507.5,18375.0,18375.0,175.0,30-May-2025,2025-05-29T18:30:00.000+00:00,3478.2,117439507.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3469.1,3473.9,3428.0,3432.0,3430.4,3521.4,3432.0,9100.0,31404677.5,12600.0,4725.0,175.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,3384.5,31404677.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3475.0,3510.1,3396.2,3403.8,3402.0,3501.2,3403.8,787325.0,2696896702.5,926800.0,275625.0,175.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,3384.5,2696896702.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3501.0,3501.0,3415.0,3422.1,3417.0,3512.8,3422.1,19425.0,66740030.0,27475.0,9100.0,175.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,3384.5,66740030.0
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3411.7,3491.9,3410.4,3446.5,3445.0,3403.8,3446.5,816375.0,2824539427.5,1074850.0,148050.0,175.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,3438.6,2824539427.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3509.0,3515.0,3471.2,3471.2,3471.2,3432.0,3471.2,7700.0,26950717.5,14175.0,1575.0,175.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,3438.6,26950717.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3421.9,3501.5,3421.9,3462.3,3457.9,3422.1,3462.3,27300.0,94851872.5,34650.0,7175.0,175.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,3438.6,94851872.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3499.5,3573.1,3440.4,3450.2,3449.9,3462.3,3450.2,71050.0,247247017.5,57400.0,22750.0,175.0,04-Jun-2025,2025-06-03T18:30:00.000+00:00,3412.7,247247017.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3509.0,3577.0,3454.6,3461.4,3465.1,3471.2,3461.4,2975.0,10434130.0,15750.0,1575.0,175.0,04-Jun-2025,2025-06-03T18:30:00.000+00:00,3412.7,10434130.0
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3473.4,3559.4,3424.1,3434.1,3438.9,3446.5,3434.1,1286600.0,4481202407.5,1314775.0,239925.0,175.0,04-Jun-2025,2025-06-03T18:30:00.000+00:00,3412.7,4481202407.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3451.1,3485.0,3425.0,3476.3,3476.3,3461.4,3476.3,3675.0,12695147.5,17150.0,1400.0,175.0,05-Jun-2025,2025-06-04T18:30:00.000+00:00,3430.2,12695147.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3441.9,3471.9,3386.2,3449.1,3451.9,3434.1,3449.1,1148525.0,3941992775.0,1697325.0,382550.0,175.0,05-Jun-2025,2025-06-04T18:30:00.000+00:00,3430.2,3941992775.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3465.9,3486.6,3400.9,3465.5,3467.3,3450.2,3465.5,39725.0,136722827.5,66150.0,8750.0,175.0,05-Jun-2025,2025-06-04T18:30:00.000+00:00,3430.2,136722827.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3499.0,3518.8,3435.5,3451.4,3447.9,3476.3,3451.4,4375.0,15171975.0,18200.0,1050.0,175.0,06-Jun-2025,2025-06-05T18:30:00.000+00:00,3404.7,15171975.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3477.7,3514.0,3412.8,3435.8,3427.7,3465.5,3435.8,35525.0,122423157.5,72800.0,6650.0,175.0,06-Jun-2025,2025-06-05T18:30:00.000+00:00,3404.7,122423157.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3463.9,3505.0,3395.0,3421.2,3413.3,3449.1,3421.2,1097775.0,3768542715.0,1909250.0,211925.0,175.0,06-Jun-2025,2025-06-05T18:30:00.000+00:00,3404.7,3768542715.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3455.7,3460.0,3406.6,3417.4,3415.7,3451.4,3417.4,8050.0,27597027.5,21875.0,3675.0,175.0,09-Jun-2025,2025-06-08T18:30:00.000+00:00,3369.1,27597027.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3426.8,3440.0,3372.4,3385.4,3381.3,3421.2,3385.4,668675.0,2272864667.5,2016175.0,106925.0,175.0,09-Jun-2025,2025-06-08T18:30:00.000+00:00,3369.1,2272864667.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3434.0,3445.1,3386.0,3402.0,3400.0,3435.8,3402.0,60550.0,206699062.5,83300.0,10500.0,175.0,09-Jun-2025,2025-06-08T18:30:00.000+00:00,3369.1,206699062.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3391.6,3458.6,3391.6,3447.0,3447.0,3417.4,3447.0,3325.0,11442270.0,21350.0,-525.0,175.0,10-Jun-2025,2025-06-09T18:30:00.000+00:00,3397.7,11442270.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3425.9,3456.3,3412.1,3430.4,3430.1,3402.0,3430.4,43750.0,150265622.5,98350.0,15050.0,175.0,10-Jun-2025,2025-06-09T18:30:00.000+00:00,3397.7,150265622.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3318.0,3444.1,3318.0,3414.0,3415.7,3385.4,3414.0,715575.0,2444515657.5,2084600.0,68425.0,175.0,10-Jun-2025,2025-06-09T18:30:00.000+00:00,3397.7,2444515657.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3428.5,3441.7,3321.1,3349.5,3351.0,3430.4,3349.5,83475.0,281608600.0,135450.0,37100.0,175.0,11-Jun-2025,2025-06-10T18:30:00.000+00:00,3314.6,281608600.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3406.3,3406.3,3346.0,3364.7,3367.7,3447.0,3364.7,4900.0,16529852.5,24850.0,3500.0,175.0,11-Jun-2025,2025-06-10T18:30:00.000+00:00,3314.6,16529852.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3411.9,3424.2,3299.1,3330.3,3331.0,3414.0,3330.3,932750.0,3126987220.0,2241400.0,156800.0,175.0,11-Jun-2025,2025-06-10T18:30:00.000+00:00,3314.6,3126987220.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3333.0,3365.0,3236.8,3241.4,3242.0,3349.5,3241.4,81375.0,267924300.0,159950.0,24500.0,175.0,12-Jun-2025,2025-06-11T18:30:00.000+00:00,3210.4,267924300.0
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3327.7,3351.6,3215.0,3224.0,3221.6,3330.3,3224.0,753900.0,2465582980.0,2388050.0,146650.0,175.0,12-Jun-2025,2025-06-11T18:30:00.000+00:00,3210.4,2465582980.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3364.7,3367.0,3253.0,3259.7,3255.6,3364.7,3259.7,7175.0,23637390.0,29925.0,5075.0,175.0,12-Jun-2025,2025-06-11T18:30:00.000+00:00,3210.4,23637390.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3226.3,3299.0,3217.0,3248.8,3248.8,3259.7,3248.8,9275.0,30198070.0,29750.0,-175.0,175.0,13-Jun-2025,2025-06-12T18:30:00.000+00:00,3200.4,30198070.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3187.4,3292.0,3180.0,3226.8,3230.5,3241.4,3226.8,92575.0,299328452.5,191800.0,31850.0,175.0,13-Jun-2025,2025-06-12T18:30:00.000+00:00,3200.4,299328452.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3150.0,3273.4,3150.0,3209.1,3214.0,3224.0,3209.1,912975.0,2934720337.5,2490775.0,102725.0,175.0,13-Jun-2025,2025-06-12T18:30:00.000+00:00,3200.4,2934720337.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3222.0,3257.0,3085.0,3175.6,3176.7,3209.1,3175.6,1187550.0,3741890950.0,2622550.0,131775.0,175.0,16-Jun-2025,2025-06-15T18:30:00.000+00:00,3165.6,3741890950.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3271.0,3271.0,3122.1,3211.6,3206.7,3248.8,3211.6,12775.0,40664050.0,32025.0,2275.0,175.0,16-Jun-2025,2025-06-15T18:30:00.000+00:00,3165.6,40664050.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3250.4,3263.7,3105.0,3193.8,3192.0,3226.8,3193.8,148575.0,469328037.5,237300.0,45500.0,175.0,16-Jun-2025,2025-06-15T18:30:00.000+00:00,3165.6,469328037.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3186.9,3369.9,3186.9,3330.3,3332.0,3193.8,3330.3,254800.0,845221562.5,277200.0,39900.0,175.0,17-Jun-2025,2025-06-16T18:30:00.000+00:00,3305.9,845221562.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3164.2,3352.9,3159.3,3312.7,3315.0,3175.6,3312.7,2419550.0,7986899112.5,2734200.0,111650.0,175.0,17-Jun-2025,2025-06-16T18:30:00.000+00:00,3305.9,7986899112.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3222.0,3381.0,3222.0,3347.2,3346.4,3211.6,3347.2,23450.0,78193290.0,28875.0,-3150.0,175.0,17-Jun-2025,2025-06-16T18:30:00.000+00:00,3305.9,78193290.0
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3324.7,3330.0,3241.5,3266.7,3261.1,3312.7,3266.7,1059625.0,3474748900.0,2801400.0,67200.0,175.0,18-Jun-2025,2025-06-17T18:30:00.000+00:00,3257.4,3474748900.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3320.3,3341.6,3290.0,3299.9,3294.4,3347.2,3299.9,6125.0,20281310.0,31500.0,2625.0,175.0,18-Jun-2025,2025-06-17T18:30:00.000+00:00,3257.4,20281310.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3347.8,3347.8,3260.5,3281.5,3277.0,3330.3,3281.5,108150.0,356578862.5,296625.0,19425.0,175.0,18-Jun-2025,2025-06-17T18:30:00.000+00:00,3257.4,356578862.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3355.8,3375.7,3250.0,3256.0,3252.9,3299.9,3256.0,15750.0,52161060.0,32725.0,1225.0,175.0,19-Jun-2025,2025-06-18T18:30:00.000+00:00,3223.5,52161060.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3265.0,3356.9,3228.7,3243.1,3239.9,3281.5,3243.1,211400.0,695198717.5,333200.0,36575.0,175.0,19-Jun-2025,2025-06-18T18:30:00.000+00:00,3223.5,695198717.5
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3241.7,3342.8,3210.6,3229.1,3218.7,3266.7,3229.1,1485050.0,4862889955.0,2711100.0,-90300.0,175.0,19-Jun-2025,2025-06-18T18:30:00.000+00:00,3223.5,4862889955.0
FUTSTK,MAZDOCK,26-Jun-2025,0,XX,N,3224.3,3269.0,3185.7,3257.8,3264.3,3229.1,3257.8,877100.0,2832470882.5,2645475.0,-65625.0,175.0,20-Jun-2025,2025-06-19T18:30:00.000+00:00,3256.4,2832470882.5
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3280.6,3297.0,3223.3,3293.8,3294.9,3256.0,3293.8,11025.0,35957775.0,35350.0,2625.0,175.0,20-Jun-2025,2025-06-19T18:30:00.000+00:00,3256.4,35957775.0
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3250.4,3281.8,3201.0,3269.6,3279.8,3243.1,3269.6,272650.0,885179837.5,421925.0,88725.0,175.0,20-Jun-2025,2025-06-19T18:30:00.000+00:00,3256.4,885179837.5
FUTSTK,MAZDOCK,31-Jul-2025,0,XX,N,3282.4,3390.5,3282.2,3369.5,3372.0,3269.6,3369.5,1142750.0,3836590240.0,1006075.0,584150.0,175.0,23-Jun-2025,2025-06-22T18:30:00.000+00:00,3342.6,3836590240.0
FUTSTK,MAZDOCK,28-Aug-2025,0,XX,N,3294.9,3401.0,3294.9,3388.3,3386.0,3293.8,3388.3,19075.0,64163592.5,36225.0,875.0,175.0,23-Jun-2025,2025-06-22T18:30:00.000+00:00,3342.6,64163592.5
