FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MPHASIS,29-Mar-2023,0,XX,N,2113.15,2137.0,2111.3,2112.4,2112.0,2117.2,2112.4,7975.0,16940550.0,46750.0,1925.0,275.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2747.1,16940550.0
FUTSTK,MPHASIS,27-Apr-2023,0,XX,N,0.0,0.0,0.0,2113.85,2113.85,2113.85,2123.05,0.0,0.0,825.0,0.0,275.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2747.1,0.0
FUTSTK,MPHASIS,23-Feb-2023,0,XX,N,2101.5,2129.75,2097.05,2101.65,2099.4,2104.0,2101.65,347600.0,734953353.75,1301025.0,38775.0,275.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,2747.1,734953353.75
FUTSTK,MPHASIS,29-Mar-2023,0,XX,N,2134.75,2167.6,2134.75,2148.15,2147.35,2112.4,2148.15,18975.0,40790805.0,44000.0,-2750.0,275.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2747.1,40790805.0
FUTSTK,MPHASIS,27-Apr-2023,0,XX,N,2164.05,2164.05,2163.0,2163.0,2163.0,2113.85,2159.45,825.0,1784763.75,1650.0,825.0,275.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2747.1,1784763.75
FUTSTK,MPHASIS,23-Feb-2023,0,XX,N,2117.95,2155.45,2117.95,2136.45,2136.0,2101.65,2136.45,460900.0,986365778.75,1284525.0,-16500.0,275.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,2747.1,986365778.75
FUTSTK,MPHASIS,23-Feb-2023,0,XX,N,2133.5,2152.25,2110.45,2149.65,2149.7,2136.45,2149.65,220275.0,470928397.5,1261150.0,-23375.0,275.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2747.1,470928397.5
FUTSTK,MPHASIS,27-Apr-2023,0,XX,N,2148.85,2155.95,2148.85,2155.95,2155.95,2163.0,2172.9,550.0,1183820.0,1925.0,275.0,275.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2747.1,1183820.0
FUTSTK,MPHASIS,29-Mar-2023,0,XX,N,2135.2,2164.95,2127.55,2162.3,2159.0,2148.15,2162.3,14575.0,31363117.5,48400.0,4400.0,275.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,2747.1,31363117.5
FUTSTK,MPHASIS,27-Apr-2023,0,XX,N,2165.0,2174.85,2165.0,2174.85,2174.85,2155.95,2174.85,1375.0,2984258.75,2475.0,550.0,275.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,2747.1,2984258.75
