FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MUTHOOTFIN,27-Mar-2025,0,XX,N,2197.55,2222.5,2141.05,2185.9,2184.0,2198.2,2185.9,43725.0,95496761.25,45375.0,5775.0,275.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,2182.85,95496761.25
FUTSTK,MUTHOOTFIN,24-Apr-2025,0,XX,N,2180.05,2210.75,2140.0,2184.95,2184.95,2191.95,2184.95,5225.0,11409653.75,7425.0,2200.0,275.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,2182.85,11409653.75
FUTSTK,MUTHOOTFIN,27-Feb-2025,0,XX,N,2196.2,2220.8,2135.0,2185.6,2187.0,2192.75,2185.6,964425.0,2104598938.75,2965600.0,-57475.0,275.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,2182.85,2104598938.75
FUTSTK,MUTHOOTFIN,27-Feb-2025,0,XX,N,2233.75,2241.8,2165.0,2192.75,2197.75,2211.2,2192.75,1115675.0,2444716106.25,3023075.0,145475.0,275.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,2188.2,2444716106.25
FUTSTK,MUTHOOTFIN,24-Apr-2025,0,XX,N,2193.05,2193.05,2191.95,2191.95,2191.95,2208.0,2216.45,825.0,1808950.0,5225.0,275.0,275.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,2188.2,1808950.0
FUTSTK,MUTHOOTFIN,27-Mar-2025,0,XX,N,2207.75,2211.4,2170.15,2198.2,2204.5,2215.45,2198.2,31075.0,68215138.75,39600.0,825.0,275.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,2188.2,68215138.75
FUTSTK,MUTHOOTFIN,27-Feb-2025,0,XX,N,2257.0,2264.3,2198.85,2211.2,2210.2,2254.6,2211.2,513700.0,1137025340.0,2877600.0,64075.0,275.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,2201.85,1137025340.0
FUTSTK,MUTHOOTFIN,24-Apr-2025,0,XX,N,2233.1,2233.1,2208.0,2208.0,2208.0,2260.9,2208.0,1100.0,2438562.5,4950.0,550.0,275.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,2201.85,2438562.5
FUTSTK,MUTHOOTFIN,27-Mar-2025,0,XX,N,2236.0,2236.0,2202.0,2215.45,2209.9,2260.0,2215.45,16225.0,35914505.0,38775.0,275.0,275.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,2201.85,35914505.0
FUTSTK,MUTHOOTFIN,27-Feb-2025,0,XX,N,2261.95,2273.6,2228.15,2254.6,2254.05,2236.5,2254.6,838200.0,1888188472.5,2813525.0,72875.0,275.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,2244.55,1888188472.5
