FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,NBCC,27-Feb-2025,0,FF,,,,,,,,,,,,,,30-Jan-2025,2025-01-29T18:30:00.000+00:00,93.16,
FUTSTK,NBCC,27-Mar-2025,0,FF,,,,,,,,,,,,,,30-Jan-2025,2025-01-29T18:30:00.000+00:00,93.16,
FUTSTK,NBCC,24-Apr-2025,0,FF,,,,,,,,,,,,,,30-Jan-2025,2025-01-29T18:30:00.000+00:00,93.16,
FUTSTK,NBCC,24-Apr-2025,0,XX,N,98.43,101.42,98.18,100.69,101.1,94.74,100.69,92800.0,9233078.0,81200.0,81200.0,5800.0,31-Jan-2025,2025-01-30T18:30:00.000+00:00,99.83,9233078.0
FUTSTK,NBCC,27-Feb-2025,0,XX,N,94.25,101.0,93.25,100.27,100.57,93.67,100.27,10167400.0,998489314.0,4999600.0,4999600.0,5800.0,31-Jan-2025,2025-01-30T18:30:00.000+00:00,99.83,998489314.0
FUTSTK,NBCC,27-Mar-2025,0,XX,N,95.47,101.06,95.38,100.64,101.06,94.21,100.64,150800.0,14945498.0,81200.0,81200.0,5800.0,31-Jan-2025,2025-01-30T18:30:00.000+00:00,99.83,14945498.0
FUTSTK,NBCC,27-Feb-2025,0,XX,N,99.99,104.46,93.83,95.65,95.6,100.27,95.65,16054400.0,1594623638.0,7812600.0,2813000.0,5800.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,95.33,1594623638.0
FUTSTK,NBCC,24-Apr-2025,0,XX,N,100.75,104.11,96.5,97.5,97.5,100.69,96.79,255200.0,25355396.0,220400.0,139200.0,5800.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,95.33,25355396.0
FUTSTK,NBCC,27-Mar-2025,0,XX,N,100.69,104.25,94.94,95.6,95.69,100.64,95.6,632200.0,62919444.0,307400.0,226200.0,5800.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,95.33,62919444.0
FUTSTK,NBCC,27-Feb-2025,0,XX,N,93.45,93.84,90.15,90.71,90.58,95.65,90.71,7058600.0,644180016.0,9001600.0,1189000.0,5800.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,90.76,644180016.0
