FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTIDX,NIFTY,27-Apr-2023,0,XX,N,17590.05,17628.45,17450.0,17504.3,17508.0,17594.6,17504.3,393600.0,6901587667.5,1298800.0,28000.0,50.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,6901587667.5
FUTIDX,NIFTY,25-May-2023,0,XX,N,17640.0,17689.85,17515.0,17565.4,17567.0,17656.2,17565.4,131300.0,2308169510.0,491400.0,23900.0,50.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,2308169510.0
FUTIDX,NIFTY,29-Mar-2023,0,XX,N,17493.05,17534.0,17345.0,17403.4,17406.05,17497.95,17403.4,9110150.0,158814684005.0,11751150.0,648650.0,50.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,158814684005.0
FUTIDX,NIFTY,27-Apr-2023,0,XX,N,17526.0,17648.0,17509.3,17634.05,17638.5,17504.3,17634.05,324950.0,5718210757.5,1298300.0,-500.0,50.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,17450.9,5718210757.5
FUTIDX,NIFTY,25-May-2023,0,XX,N,17559.0,17709.75,17558.95,17697.1,17700.0,17565.4,17697.1,111700.0,1972820270.0,523250.0,31850.0,50.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,17450.9,1972820270.0
FUTIDX,NIFTY,29-Mar-2023,0,XX,N,17433.05,17550.0,17417.35,17532.7,17538.95,17403.4,17532.7,6507550.0,113896264295.0,11488400.0,-262750.0,50.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,17450.9,113896264295.0
FUTIDX,NIFTY,29-Mar-2023,0,XX,N,17495.0,17518.0,17380.0,17399.4,17388.0,17532.7,17399.4,9296500.0,162058101360.0,11826900.0,338500.0,50.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,162058101360.0
FUTIDX,NIFTY,25-May-2023,0,XX,N,17673.4,17677.35,17547.05,17563.45,17554.95,17697.1,17563.45,175250.0,3084495497.5,514850.0,-8400.0,50.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,3084495497.5
FUTIDX,NIFTY,27-Apr-2023,0,XX,N,17594.95,17619.75,17482.9,17500.35,17489.9,17634.05,17500.35,373250.0,6545344945.0,1313300.0,15000.0,50.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,,6545344945.0
FUTIDX,NIFTY,25-May-2023,0,XX,N,17644.0,17875.45,17600.0,17827.25,17817.0,17563.45,17827.25,264850.0,4708032330.0,616150.0,101300.0,50.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,17594.35,4708032330.0
