FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,NTPC,23-Feb-2023,0,XX,N,166.85,168.5,165.05,166.0,165.9,166.8,166.0,10527900.0,1752763395.0,67265700.0,2211600.0,5700.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,326.65,1752763395.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.75,169.45,166.25,167.05,167.25,167.8,167.05,627000.0,105092610.0,1516200.0,165300.0,5700.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,326.65,105092610.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,169.2,169.2,167.1,167.9,167.9,168.5,167.9,57000.0,9575715.0,165300.0,11400.0,5700.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,326.65,9575715.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.25,167.75,166.1,167.25,167.1,167.05,167.25,444600.0,74175525.0,1578900.0,62700.0,5700.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,326.65,74175525.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,168.0,168.0,167.55,167.55,167.55,167.9,168.05,11400.0,1912635.0,171000.0,5700.0,5700.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,326.65,1912635.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,166.25,166.75,164.8,166.2,166.05,166.0,166.2,8914800.0,1478186985.0,67545000.0,279300.0,5700.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,326.65,1478186985.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,168.05,168.05,168.05,168.05,168.05,167.55,168.55,11400.0,1915770.0,159600.0,-11400.0,5700.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,326.65,1915770.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,165.6,167.35,165.15,166.8,166.8,166.2,166.8,5956500.0,991967865.0,67664700.0,119700.0,5700.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,326.65,991967865.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.7,168.25,166.25,167.8,167.75,167.25,167.8,450300.0,75449190.0,1578900.0,0.0,5700.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,326.65,75449190.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,168.5,168.5,166.95,167.0,167.0,168.05,167.5,34200.0,5727360.0,159600.0,0.0,5700.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,326.65,5727360.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,165.85,166.55,164.8,165.65,165.6,166.8,165.65,6954000.0,1151300820.0,68588100.0,923400.0,5700.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,326.65,1151300820.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.55,167.55,165.9,166.6,166.6,167.8,166.6,535800.0,89226090.0,1698600.0,119700.0,5700.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,326.65,89226090.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,165.7,168.7,165.6,168.25,168.2,165.65,168.25,13605900.0,2276515590.0,67767300.0,-820800.0,5700.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,326.65,2276515590.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.2,169.85,167.15,169.3,169.2,166.6,169.3,934800.0,157393245.0,1955100.0,256500.0,5700.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,326.65,157393245.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,168.0,170.3,168.0,170.3,170.3,167.0,170.3,39900.0,6766185.0,176700.0,17100.0,5700.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,326.65,6766185.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,169.1,169.1,165.45,166.55,166.65,168.25,166.55,9536100.0,1587575970.0,68468400.0,701100.0,5700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,326.65,1587575970.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,169.55,169.55,166.45,167.6,167.7,169.3,167.6,1761300.0,294674610.0,2542200.0,587100.0,5700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,326.65,294674610.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,168.1,168.15,167.85,168.15,168.15,170.3,168.15,39900.0,6703485.0,182400.0,5700.0,5700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,326.65,6703485.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,167.6,168.25,166.5,167.55,167.6,168.15,167.55,79800.0,13374480.0,210900.0,28500.0,5700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,326.65,13374480.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,166.45,166.95,164.45,165.9,165.85,166.55,165.9,11257500.0,1864581720.0,67476600.0,-991800.0,5700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,326.65,1864581720.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.6,167.9,165.6,166.9,166.8,167.6,166.9,2217300.0,369556080.0,3072300.0,530100.0,5700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,326.65,369556080.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,167.4,168.75,167.0,168.5,168.35,166.9,168.5,2473800.0,415225050.0,3779100.0,706800.0,5700.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,326.65,415225050.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,168.65,169.5,168.55,169.3,169.15,167.55,169.3,28500.0,4817070.0,222300.0,11400.0,5700.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,326.65,4817070.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,166.3,167.8,165.8,167.55,167.3,165.9,167.55,8880600.0,1481368440.0,66952200.0,-524400.0,5700.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,326.65,1481368440.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,169.2,171.65,169.2,170.75,170.75,169.3,170.75,91200.0,15579525.0,228000.0,5700.0,5700.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,326.65,15579525.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,167.05,169.8,166.8,168.25,167.95,167.55,168.25,15270300.0,2574989250.0,65424600.0,-1527600.0,5700.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,326.65,2574989250.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,168.7,170.95,168.05,169.45,169.1,168.5,169.45,6948300.0,1178906205.0,7073700.0,3294600.0,5700.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,326.65,1178906205.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,170.55,172.05,170.0,170.2,170.25,170.75,170.2,79800.0,13627560.0,233700.0,5700.0,5700.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,326.65,13627560.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,168.3,170.0,167.65,168.25,168.35,168.25,168.25,32227800.0,5435463570.0,42892500.0,-22532100.0,5700.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,326.65,5435463570.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,169.0,171.15,169.0,169.3,169.5,169.45,169.3,28944600.0,4913989665.0,30626100.0,23552400.0,5700.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,326.65,4913989665.0
FUTSTK,NTPC,23-Feb-2023,0,XX,N,169.85,173.95,169.5,173.1,173.15,168.25,173.1,49419000.0,8504612325.0,25997700.0,-16894800.0,5700.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,326.65,8504612325.0
FUTSTK,NTPC,27-Apr-2023,0,XX,N,172.85,175.3,171.9,175.2,175.25,170.2,175.2,592800.0,103259490.0,347700.0,114000.0,5700.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,326.65,103259490.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,171.0,175.0,170.75,174.25,174.2,169.3,174.25,41632800.0,7213788330.0,50826900.0,20200800.0,5700.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,326.65,7213788330.0
FUTSTK,NTPC,29-Mar-2023,0,XX,N,173.75,174.1,169.75,171.6,171.6,174.25,171.6,34125900.0,5849937645.0,64809000.0,13982100.0,5700.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,326.65,5849937645.0
