FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,OBEROIRLTY,27-Apr-2023,0,XX,N,833.3,846.2,833.3,846.1,846.1,828.65,841.55,2100.0,1767920.0,2800.0,700.0,700.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1655.4,1767920.0
FUTSTK,OBEROIRLTY,23-Feb-2023,0,XX,N,821.75,838.9,821.75,831.35,830.0,822.2,831.35,450100.0,373847740.0,5763800.0,-27300.0,700.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1655.4,373847740.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,834.2,840.5,830.8,834.9,833.55,825.65,834.9,13300.0,11117295.0,27300.0,-3500.0,700.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1655.4,11117295.0
FUTSTK,OBEROIRLTY,23-Feb-2023,0,XX,N,822.05,846.95,822.05,840.25,838.45,831.35,840.25,558600.0,468123390.0,5783400.0,19600.0,700.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1655.4,468123390.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,834.9,852.0,829.65,843.7,843.7,834.9,843.7,19600.0,16482445.0,31500.0,4200.0,700.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1655.4,16482445.0
FUTSTK,OBEROIRLTY,27-Apr-2023,0,XX,N,843.0,843.0,843.0,843.0,843.0,846.1,851.85,700.0,590100.0,3500.0,700.0,700.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1655.4,590100.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,866.0,871.8,847.6,852.05,853.75,843.7,852.05,86100.0,73915870.0,45500.0,14000.0,700.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1655.4,73915870.0
FUTSTK,OBEROIRLTY,23-Feb-2023,0,XX,N,875.0,884.7,842.25,846.85,849.9,840.25,846.85,2753100.0,2355477005.0,6129900.0,346500.0,700.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1655.4,2355477005.0
FUTSTK,OBEROIRLTY,27-Apr-2023,0,XX,N,868.25,872.9,857.75,857.75,857.75,843.0,857.75,4900.0,4236540.0,5600.0,2100.0,700.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1655.4,4236540.0
FUTSTK,OBEROIRLTY,27-Apr-2023,0,XX,N,851.25,868.45,851.25,866.1,866.1,857.75,872.0,2100.0,1810060.0,5600.0,0.0,700.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1655.4,1810060.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,854.65,868.0,833.0,866.55,868.0,852.05,866.55,60900.0,52189480.0,51100.0,5600.0,700.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1655.4,52189480.0
FUTSTK,OBEROIRLTY,23-Feb-2023,0,XX,N,849.85,863.45,826.25,861.9,863.4,846.85,861.9,1287300.0,1095689700.0,5953500.0,-176400.0,700.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1655.4,1095689700.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,873.65,883.5,858.7,863.85,863.3,866.55,863.85,67200.0,58544010.0,56000.0,4900.0,700.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1655.4,58544010.0
FUTSTK,OBEROIRLTY,23-Feb-2023,0,XX,N,864.8,881.0,852.6,860.15,858.25,861.9,860.15,1199800.0,1040057060.0,5837300.0,-116200.0,700.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1655.4,1040057060.0
FUTSTK,OBEROIRLTY,27-Apr-2023,0,XX,N,883.0,883.0,883.0,883.0,883.0,866.1,869.85,700.0,618100.0,5600.0,0.0,700.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1655.4,618100.0
FUTSTK,OBEROIRLTY,27-Apr-2023,0,XX,N,852.65,864.95,852.65,864.9,864.9,883.0,864.9,2100.0,1807750.0,5600.0,0.0,700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1655.4,1807750.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,860.1,864.0,845.15,861.75,857.45,863.85,861.75,133700.0,114837800.0,141400.0,85400.0,700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1655.4,114837800.0
FUTSTK,OBEROIRLTY,23-Feb-2023,0,XX,N,857.55,861.25,840.3,855.85,854.0,860.15,855.85,886900.0,754543790.0,5824700.0,-12600.0,700.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1655.4,754543790.0
FUTSTK,OBEROIRLTY,29-Mar-2023,0,XX,N,861.15,871.1,855.1,869.35,869.0,861.75,869.35,187600.0,161837270.0,170800.0,29400.0,700.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1655.4,161837270.0
