FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PAGEIND,27-Apr-2023,0,XX,N,40129.1,40129.1,40129.1,40129.1,40129.1,40552.55,40057.6,30.0,1203873.0,30.0,30.0,15.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,38885.0,1203873.0
FUTSTK,PAGEIND,29-Mar-2023,0,XX,N,39563.4,39900.0,39554.0,39696.25,39700.0,39826.4,39696.25,375.0,14886794.25,2250.0,210.0,15.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,38885.0,14886794.25
FUTSTK,PAGEIND,23-Feb-2023,0,XX,N,39350.0,39738.15,39253.5,39472.95,39499.95,39536.75,39472.95,19815.0,781586232.75,118185.0,6000.0,15.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,38885.0,781586232.75
FUTSTK,PAGEIND,29-Mar-2023,0,XX,N,39612.15,39618.0,39300.0,39548.55,39618.0,39696.25,39548.55,375.0,14804451.0,2475.0,225.0,15.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,38885.0,14804451.0
FUTSTK,PAGEIND,23-Feb-2023,0,XX,N,39434.45,39434.45,38975.0,39318.45,39302.85,39472.95,39318.45,20850.0,817117698.75,118905.0,720.0,15.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,38885.0,817117698.75
FUTSTK,PAGEIND,27-Apr-2023,0,XX,N,39700.0,39780.0,39682.6,39780.0,39780.0,40129.1,39955.75,75.0,2979378.0,60.0,30.0,15.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,38885.0,2979378.0
FUTSTK,PAGEIND,29-Mar-2023,0,XX,N,39524.25,39524.25,38049.8,38325.35,38550.0,39548.55,38325.35,3450.0,133577400.75,3525.0,1050.0,15.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,38885.0,133577400.75
FUTSTK,PAGEIND,23-Feb-2023,0,XX,N,39245.75,39318.5,37809.75,38073.6,38250.15,39318.45,38073.6,120450.0,4629373510.5,120330.0,1425.0,15.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,38885.0,4629373510.5
FUTSTK,PAGEIND,27-Apr-2023,0,XX,N,39624.95,39624.95,38101.35,38484.45,38751.9,39780.0,38484.45,75.0,2910438.0,120.0,60.0,15.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,38885.0,2910438.0
FUTSTK,PAGEIND,27-Apr-2023,0,XX,N,38150.0,40200.0,37667.35,39238.45,39238.45,38484.45,39371.35,180.0,7053159.75,180.0,60.0,15.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,38885.0,7053159.75
FUTSTK,PAGEIND,23-Feb-2023,0,XX,N,37950.9,39750.0,37120.9,38769.25,38703.75,38073.6,38769.25,98220.0,3795219384.75,126450.0,6120.0,15.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,38885.0,3795219384.75
FUTSTK,PAGEIND,29-Mar-2023,0,XX,N,38350.0,39999.0,37389.2,39020.75,38993.05,38325.35,39020.75,3975.0,155266833.75,3870.0,345.0,15.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,38885.0,155266833.75
FUTSTK,PAGEIND,27-Apr-2023,0,XX,N,39150.0,39150.0,39150.0,39150.0,39150.0,39238.45,39150.0,15.0,587250.0,195.0,15.0,15.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,38885.0,587250.0
