FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,818.7,818.7,801.1,803.25,801.1,810.85,803.25,80600.0,65384995.0,276900.0,3900.0,650.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,798.1,65384995.0
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,812.2,818.0,796.05,800.25,797.95,805.65,800.25,2752750.0,2219172052.5,20137650.0,-311350.0,650.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,798.1,2219172052.5
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,814.6,821.0,808.3,808.3,808.3,816.15,808.3,7800.0,6359177.5,22750.0,1300.0,650.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,798.1,6359177.5
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,811.5,831.35,811.5,816.15,816.15,808.3,816.15,9100.0,7487122.5,26650.0,3900.0,650.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,809.8,7487122.5
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,797.25,825.85,791.15,810.8,812.0,800.25,810.8,3929900.0,3186228857.5,19498700.0,-638950.0,650.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,809.8,3186228857.5
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,805.0,829.35,800.55,815.25,815.0,803.25,815.25,94900.0,77318410.0,280800.0,3900.0,650.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,809.8,77318410.0
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,812.8,815.9,768.55,776.7,777.0,810.8,776.7,3403400.0,2663185720.0,19121050.0,-377650.0,650.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,775.25,2663185720.0
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,805.15,805.15,783.5,787.75,787.75,816.15,787.75,9100.0,7199920.0,27300.0,650.0,650.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,775.25,7199920.0
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,815.25,815.25,772.4,780.6,780.7,815.25,780.6,92300.0,72481402.5,297700.0,16900.0,650.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,775.25,72481402.5
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,780.4,780.4,746.25,755.85,754.15,780.6,755.85,250250.0,189231640.0,319150.0,21450.0,650.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,749.85,189231640.0
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,784.4,784.4,752.3,761.65,761.05,787.75,761.65,11700.0,8897102.5,25350.0,-1950.0,650.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,749.85,8897102.5
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,777.25,778.3,742.25,753.05,751.55,776.7,753.05,4350450.0,3276764887.5,19265350.0,144300.0,650.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,749.85,3276764887.5
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,733.65,765.0,733.65,745.0,745.0,761.65,754.95,7800.0,5811097.5,25350.0,0.0,650.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,745.4,5811097.5
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,745.85,760.85,724.0,751.3,755.35,755.85,751.3,239850.0,179044775.0,303550.0,-15600.0,650.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,745.4,179044775.0
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,748.1,758.35,720.3,748.65,750.3,753.05,748.65,6898450.0,5107096182.5,19405750.0,140400.0,650.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,745.4,5107096182.5
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,754.45,776.0,742.95,758.15,759.1,748.65,758.15,3507400.0,2676779560.0,19429150.0,23400.0,650.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,755.4,2676779560.0
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,766.2,777.15,763.8,763.8,763.8,745.0,763.8,4550.0,3509610.0,26000.0,650.0,650.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,755.4,3509610.0
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,761.45,778.0,747.9,761.15,761.05,751.3,761.15,179400.0,137689175.0,310050.0,6500.0,650.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,755.4,137689175.0
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,772.1,772.1,719.35,727.2,725.0,761.15,727.2,334750.0,244526652.5,378300.0,68250.0,650.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,724.05,244526652.5
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,754.65,754.65,725.0,742.35,742.35,763.8,733.0,5200.0,3845140.0,29250.0,3250.0,650.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,724.05,3845140.0
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,764.0,772.95,714.4,726.0,722.95,758.15,726.0,4511000.0,3297805972.5,19967350.0,538200.0,650.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,724.05,3297805972.5
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,750.0,751.95,745.25,745.25,745.25,742.35,745.25,1950.0,1460680.0,29250.0,0.0,650.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,733.0,1460680.0
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,727.95,753.75,714.7,735.5,738.0,726.0,735.5,3913650.0,2883850840.0,20316400.0,349050.0,650.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,733.0,2883850840.0
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,719.85,756.85,719.85,739.35,741.0,727.2,739.35,291850.0,216194290.0,383500.0,5200.0,650.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,733.0,216194290.0
FUTSTK,PAYTM,24-Apr-2025,0,XX,N,720.0,725.0,716.7,725.0,725.0,745.25,726.35,5850.0,4215087.5,33150.0,3900.0,650.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,718.05,4215087.5
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,738.55,742.0,708.0,718.4,713.65,735.5,718.4,3071900.0,2217960452.5,20150000.0,-166400.0,650.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,718.05,2217960452.5
FUTSTK,PAYTM,27-Mar-2025,0,XX,N,740.6,743.95,711.9,722.4,717.55,739.35,722.4,271050.0,196120665.0,417950.0,34450.0,650.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,718.05,196120665.0
FUTSTK,PAYTM,27-Feb-2025,0,XX,N,711.95,752.0,707.25,745.75,744.0,718.4,745.75,4206800.0,3099123852.5,20254650.0,104650.0,650.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,744.7,3099123852.5
