FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PETRONET,24-Apr-2025,0,XX,N,322.15,322.15,316.15,316.2,316.15,322.15,316.2,9000.0,2863050.0,33000.0,1500.0,1500.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,310.5,2863050.0
FUTSTK,PETRONET,27-Feb-2025,0,XX,N,325.7,325.7,310.4,312.1,312.05,318.7,312.1,1767000.0,554682375.0,31915500.0,141000.0,1500.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,310.5,554682375.0
FUTSTK,PETRONET,27-Mar-2025,0,XX,N,320.75,321.2,312.6,314.05,313.9,320.75,314.05,69000.0,21768150.0,2169000.0,13500.0,1500.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,310.5,21768150.0
FUTSTK,PETRONET,27-Feb-2025,0,XX,N,312.85,319.2,310.6,316.6,316.4,312.1,316.6,2338500.0,736875000.0,31657500.0,-258000.0,1500.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,315.45,736875000.0
FUTSTK,PETRONET,27-Mar-2025,0,XX,N,317.35,320.7,313.0,318.6,318.2,314.05,318.6,70500.0,22371750.0,2166000.0,-3000.0,1500.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,315.45,22371750.0
FUTSTK,PETRONET,24-Apr-2025,0,XX,N,0.0,0.0,0.0,316.2,316.15,316.2,319.75,0.0,0.0,33000.0,0.0,1500.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,315.45,0.0
FUTSTK,PETRONET,24-Apr-2025,0,XX,N,321.2,321.2,317.9,317.9,317.9,316.2,317.4,7500.0,2391750.0,39000.0,6000.0,1500.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,313.3,2391750.0
FUTSTK,PETRONET,27-Feb-2025,0,XX,N,317.75,320.4,313.3,314.65,314.7,316.6,314.65,2370000.0,747411000.0,31516500.0,-141000.0,1500.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,313.3,747411000.0
FUTSTK,PETRONET,27-Mar-2025,0,XX,N,320.2,320.2,315.25,316.45,316.5,318.6,316.45,118500.0,37544550.0,2173500.0,7500.0,1500.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,313.3,37544550.0
FUTSTK,PETRONET,27-Feb-2025,0,XX,N,310.95,314.65,298.65,303.35,304.45,314.65,303.35,3475500.0,1056511500.0,31180500.0,-336000.0,1500.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,302.1,1056511500.0
