FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2348.1,2366.4,2336.95,2340.1,2342.0,2360.0,2340.1,6000.0,14065637.5,32000.0,1500.0,250.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1472.1,14065637.5
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2330.05,2351.65,2322.75,2325.35,2327.35,2342.9,2325.35,189500.0,441636500.0,2586000.0,8750.0,250.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1472.1,441636500.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,0.0,0.0,0.0,2369.0,2369.0,2369.0,2350.55,0.0,0.0,4500.0,0.0,250.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1472.1,0.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2335.5,2362.5,2328.0,2359.2,2357.1,2340.1,2359.2,10750.0,25235175.0,34750.0,2750.0,250.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1472.1,25235175.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2318.4,2349.0,2309.95,2345.6,2346.65,2325.35,2345.6,290750.0,677684137.5,2589000.0,3000.0,250.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1472.1,677684137.5
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,0.0,0.0,0.0,2369.0,2369.0,2369.0,2369.55,0.0,0.0,4500.0,0.0,250.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1472.1,0.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2372.25,2372.25,2364.05,2366.05,2368.0,2369.0,2366.05,2250.0,5328500.0,6500.0,2000.0,250.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1472.1,5328500.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2342.35,2364.0,2342.35,2353.45,2356.0,2359.2,2353.45,8250.0,19415950.0,38500.0,3750.0,250.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1472.1,19415950.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2342.5,2351.0,2328.0,2338.8,2339.8,2345.6,2338.8,257250.0,601903400.0,2617500.0,28500.0,250.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1472.1,601903400.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2337.1,2355.0,2321.0,2325.7,2322.1,2338.8,2325.7,431000.0,1007847350.0,2647000.0,29500.0,250.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1472.1,1007847350.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2370.7,2375.65,2370.7,2375.65,2375.65,2366.05,2351.1,750.0,1779262.5,6250.0,-250.0,250.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1472.1,1779262.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2360.0,2373.0,2338.15,2340.2,2338.15,2353.45,2340.2,27500.0,64742962.5,47000.0,8500.0,250.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1472.1,64742962.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2340.45,2340.45,2311.65,2324.0,2327.3,2340.2,2324.0,32000.0,74477587.5,55000.0,8000.0,250.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1472.1,74477587.5
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2343.5,2343.5,2343.5,2343.5,2343.5,2375.65,2335.15,250.0,585875.0,6500.0,250.0,250.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1472.1,585875.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2325.25,2327.35,2297.2,2309.9,2311.3,2325.7,2309.9,263750.0,608930162.5,2637500.0,-9500.0,250.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1472.1,608930162.5
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2331.85,2331.85,2325.0,2325.0,2325.0,2343.5,2328.75,1250.0,2907962.5,6750.0,250.0,250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1472.1,2907962.5
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2332.1,2332.1,2282.7,2301.35,2302.45,2309.9,2301.35,278750.0,640754550.0,2646500.0,9000.0,250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1472.1,640754550.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2337.05,2339.65,2298.0,2314.75,2314.45,2324.0,2314.75,32750.0,75680350.0,68500.0,13500.0,250.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1472.1,75680350.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2332.5,2339.3,2332.5,2332.7,2332.7,2325.0,2343.65,750.0,1751125.0,7500.0,750.0,250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1472.1,1751125.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2310.8,2325.4,2288.6,2319.4,2323.0,2301.35,2319.4,220250.0,508625762.5,2662250.0,15750.0,250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1472.1,508625762.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2320.1,2339.75,2302.85,2331.9,2338.0,2314.75,2331.9,76500.0,177645150.0,89000.0,20500.0,250.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,1472.1,177645150.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2340.95,2348.95,2324.3,2336.4,2333.0,2331.9,2336.4,190000.0,443640037.5,195500.0,106500.0,250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1472.1,443640037.5
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2324.5,2333.65,2310.15,2320.35,2318.85,2319.4,2320.35,422000.0,979706375.0,2635500.0,-26750.0,250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1472.1,979706375.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2352.5,2360.25,2341.2,2351.25,2352.45,2332.7,2351.25,1750.0,4113662.5,8500.0,1000.0,250.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,1472.1,4113662.5
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2311.15,2343.8,2304.4,2334.35,2335.8,2320.35,2334.35,459000.0,1069943787.5,2538750.0,-96750.0,250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1472.1,1069943787.5
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2354.5,2368.0,2350.1,2361.65,2355.3,2351.25,2361.65,3750.0,8835875.0,11000.0,2500.0,250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1472.1,8835875.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2320.85,2358.35,2320.85,2349.4,2350.0,2336.4,2349.4,255250.0,598852875.0,327500.0,132000.0,250.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,1472.1,598852875.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2339.1,2340.95,2308.05,2318.35,2321.5,2334.35,2318.35,727750.0,1686094537.5,2005250.0,-533500.0,250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1472.1,1686094537.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2355.9,2355.9,2322.0,2333.1,2333.0,2349.4,2333.1,698500.0,1628260837.5,869250.0,541750.0,250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1472.1,1628260837.5
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2362.0,2362.0,2342.45,2350.0,2350.0,2361.65,2350.0,4500.0,10566987.5,10500.0,-500.0,250.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,1472.1,10566987.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2338.95,2347.15,2318.1,2344.7,2342.9,2333.1,2344.7,1026500.0,2394360150.0,1585500.0,716250.0,250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,1472.1,2394360150.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2346.4,2360.0,2340.0,2359.45,2359.0,2350.0,2359.45,3750.0,8830112.5,13250.0,2750.0,250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,1472.1,8830112.5
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2324.95,2333.25,2304.15,2330.75,2330.1,2318.35,2330.75,985000.0,2283958900.0,1249500.0,-755750.0,250.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,1472.1,2283958900.0
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2314.4,2321.0,2277.3,2290.45,2292.15,2330.75,2290.45,907500.0,2079284012.5,545500.0,-704000.0,250.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,1472.1,2079284012.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2331.75,2333.05,2292.5,2304.2,2308.0,2344.7,2304.2,1142750.0,2634705750.0,2317500.0,732000.0,250.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,1472.1,2634705750.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2340.0,2348.9,2310.7,2321.35,2324.0,2359.45,2321.35,13500.0,31431962.5,22000.0,8750.0,250.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,1472.1,31431962.5
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2300.0,2316.0,2290.4,2292.25,2290.4,2321.35,2292.25,13750.0,31706500.0,32250.0,10250.0,250.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,1472.1,31706500.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2305.65,2305.65,2273.35,2278.45,2281.0,2304.2,2278.45,979250.0,2242309012.5,2805500.0,488000.0,250.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,1472.1,2242309012.5
FUTSTK,PIDILITIND,23-Feb-2023,0,XX,N,2290.3,2290.3,2258.85,2263.75,2260.75,2290.45,2268.05,703250.0,1600699550.0,93250.0,-452250.0,250.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,1472.1,1600699550.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2282.9,2314.5,2282.9,2303.45,2307.6,2292.25,2303.45,12250.0,28199825.0,38000.0,5750.0,250.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,1472.1,28199825.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2282.55,2300.1,2265.45,2283.9,2295.5,2278.45,2283.9,515250.0,1176660400.0,2884250.0,78750.0,250.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,1472.1,1176660400.0
FUTSTK,PIDILITIND,25-May-2023,0,XX,N,2323.5,2323.5,2323.5,2323.5,2323.5,2309.3,2316.7,500.0,1161750.0,500.0,500.0,250.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,1472.1,1161750.0
FUTSTK,PIDILITIND,25-May-2023,0,XX,N,2310.0,2310.0,2310.0,2310.0,2310.0,2323.5,2319.45,500.0,1155000.0,750.0,250.0,250.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,1472.1,1155000.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2298.85,2310.0,2297.0,2308.1,2310.0,2303.45,2308.1,1750.0,4029737.5,38500.0,500.0,250.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,1472.1,4029737.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2281.75,2303.5,2271.55,2291.7,2299.0,2283.9,2291.7,333750.0,763295900.0,2902000.0,17750.0,250.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,1472.1,763295900.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2334.9,2334.9,2299.7,2327.05,2327.6,2308.1,2327.05,8500.0,19688925.0,39750.0,1250.0,250.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,1472.1,19688925.0
FUTSTK,PIDILITIND,25-May-2023,0,XX,N,0.0,0.0,0.0,2310.0,2310.0,2310.0,2340.4,0.0,0.0,750.0,0.0,250.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,1472.1,0.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2304.95,2323.6,2280.0,2311.05,2310.0,2291.7,2311.05,461500.0,1064507200.0,2944500.0,42500.0,250.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,1472.1,1064507200.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2310.55,2324.85,2305.6,2316.6,2318.25,2311.05,2316.6,427000.0,988262925.0,2898750.0,-45750.0,250.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,1472.1,988262925.0
FUTSTK,PIDILITIND,25-May-2023,0,XX,N,0.0,0.0,0.0,2310.0,2310.0,2310.0,2346.8,0.0,0.0,750.0,0.0,250.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,1472.1,0.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2331.3,2336.0,2323.2,2331.85,2336.0,2327.05,2331.85,6250.0,14558250.0,40000.0,250.0,250.0,01-Mar-2023,2023-02-28T18:30:00.000+00:00,1472.1,14558250.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2326.55,2340.15,2323.6,2335.3,2335.3,2331.85,2335.3,4250.0,9893162.5,39750.0,-250.0,250.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,1472.1,9893162.5
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2318.55,2325.55,2302.3,2318.45,2314.25,2316.6,2318.45,365750.0,846943450.0,2852750.0,-46000.0,250.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,1472.1,846943450.0
FUTSTK,PIDILITIND,25-May-2023,0,XX,N,2344.0,2344.0,2344.0,2344.0,2344.0,2310.0,2344.0,250.0,586000.0,1000.0,250.0,250.0,02-Mar-2023,2023-03-01T18:30:00.000+00:00,1472.1,586000.0
FUTSTK,PIDILITIND,27-Apr-2023,0,XX,N,2331.0,2353.0,2329.05,2341.7,2339.35,2335.3,2341.7,5250.0,12282525.0,40000.0,250.0,250.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,1472.1,12282525.0
FUTSTK,PIDILITIND,25-May-2023,0,XX,N,2355.4,2356.0,2350.0,2353.5,2350.0,2344.0,2353.5,1250.0,2942350.0,2000.0,1000.0,250.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,1472.1,2942350.0
FUTSTK,PIDILITIND,29-Mar-2023,0,XX,N,2327.8,2339.25,2313.0,2327.7,2327.35,2318.45,2327.7,559000.0,1300667712.5,2781250.0,-71500.0,250.0,03-Mar-2023,2023-03-02T18:30:00.000+00:00,1472.1,1300667712.5
