FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3626.6,3678.9,3596.0,3654.5,3660.0,3626.45,3654.5,16500.0,60291081.25,31750.0,1125.0,125.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,3641.45,60291081.25
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3610.9,3663.3,3570.05,3640.45,3634.8,3607.4,3640.45,564625.0,2053782556.25,1868875.0,-15375.0,125.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,3641.45,2053782556.25
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3665.0,3684.7,3664.3,3680.35,3680.35,3647.8,3693.6,1500.0,5502825.0,3125.0,375.0,125.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,3641.45,5502825.0
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3550.0,3594.05,3550.0,3594.05,3594.05,3680.35,3592.15,1500.0,5350606.25,4125.0,1000.0,125.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,3543.85,5350606.25
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3652.55,3652.55,3469.2,3562.6,3560.85,3654.5,3562.6,29625.0,105323518.75,31500.0,-250.0,125.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,3543.85,105323518.75
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3525.9,3589.3,3448.9,3542.7,3544.95,3640.45,3542.7,1443000.0,5103214856.25,1834500.0,-34375.0,125.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,3543.85,5103214856.25
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3550.0,3602.05,3470.6,3526.05,3526.35,3542.7,3526.05,450500.0,1589563718.75,1799375.0,-35125.0,125.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,3524.2,1589563718.75
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3576.95,3607.3,3490.0,3547.35,3550.55,3562.6,3547.35,11000.0,39085125.0,33250.0,1750.0,125.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,3524.2,39085125.0
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3594.05,3594.05,3538.75,3538.75,3538.75,3594.05,3570.3,375.0,1340856.25,4000.0,-125.0,125.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,3524.2,1340856.25
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3480.05,3502.9,3383.7,3418.1,3413.6,3526.05,3418.1,634250.0,2167468575.0,1786750.0,-12625.0,125.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,3419.6,2167468575.0
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3521.05,3521.05,3408.9,3437.35,3436.25,3547.35,3437.35,11375.0,39146875.0,35000.0,1750.0,125.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,3419.6,39146875.0
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3454.7,3466.5,3448.0,3458.5,3455.0,3538.75,3458.5,750.0,2591768.75,4375.0,375.0,125.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,3419.6,2591768.75
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3421.3,3437.85,3318.75,3355.85,3357.05,3418.1,3355.85,407125.0,1367601518.75,1815375.0,28625.0,125.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,3356.65,1367601518.75
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3416.2,3416.2,3416.2,3416.2,3416.2,3458.5,3399.35,125.0,427025.0,4500.0,125.0,125.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,3356.65,427025.0
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3419.4,3425.55,3338.9,3374.25,3374.0,3437.35,3374.25,10625.0,35883787.5,36125.0,1125.0,125.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,3356.65,35883787.5
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3360.75,3360.75,3269.0,3271.45,3270.0,3416.2,3271.45,4875.0,16087843.75,7875.0,3375.0,125.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,3226.65,16087843.75
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3445.75,3445.75,3223.0,3232.9,3227.75,3355.85,3232.9,623250.0,2047639337.5,1956000.0,140625.0,125.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,3226.65,2047639337.5
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3372.8,3372.8,3243.65,3250.5,3245.85,3374.25,3250.5,67500.0,222737062.5,72000.0,35875.0,125.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,3226.65,222737062.5
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3275.0,3275.0,3200.0,3200.95,3200.1,3271.45,3200.95,4125.0,13336037.5,8750.0,875.0,125.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,3162.8,13336037.5
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3255.9,3262.2,3158.05,3181.35,3181.6,3250.5,3181.35,33500.0,107719800.0,76875.0,4875.0,125.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,3162.8,107719800.0
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3229.75,3248.95,3143.3,3165.05,3162.75,3232.9,3165.05,435875.0,1393005543.75,1975625.0,19625.0,125.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,3162.8,1393005543.75
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3226.55,3226.55,3147.7,3158.9,3160.85,3200.95,3158.9,2125.0,6750943.75,9250.0,500.0,125.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,3118.6,6750943.75
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3159.95,3200.15,3110.2,3129.9,3125.7,3165.05,3129.9,637875.0,2006954881.25,2018875.0,43250.0,125.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,3118.6,2006954881.25
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3159.75,3209.55,3127.35,3142.95,3140.85,3181.35,3142.95,35875.0,113430831.25,89500.0,12625.0,125.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,3118.6,113430831.25
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3129.4,3181.65,3104.35,3164.0,3163.15,3129.9,3164.0,362625.0,1139372975.0,1911500.0,-107375.0,125.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,3165.6,1139372975.0
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3174.25,3195.0,3121.0,3181.45,3178.35,3142.95,3181.45,45000.0,142202768.75,104375.0,14875.0,125.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,3165.6,142202768.75
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3158.6,3211.3,3148.15,3211.3,3211.3,3158.9,3211.3,1625.0,5164706.25,9750.0,500.0,125.0,18-Feb-2025,2025-02-17T18:30:00.000+00:00,3165.6,5164706.25
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3140.0,3210.4,3088.8,3203.6,3210.4,3164.0,3203.6,420250.0,1333249187.5,1883875.0,-27625.0,125.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,3203.5,1333249187.5
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3171.45,3240.0,3153.75,3238.8,3240.0,3211.3,3238.8,2625.0,8393700.0,10625.0,875.0,125.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,3203.5,8393700.0
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3114.0,3225.6,3101.0,3219.9,3225.6,3181.45,3219.9,119750.0,379317237.5,163000.0,58625.0,125.0,19-Feb-2025,2025-02-18T18:30:00.000+00:00,3203.5,379317237.5
FUTSTK,PIIND,27-Feb-2025,0,XX,N,3155.05,3227.7,3155.05,3195.0,3197.35,3203.6,3195.0,385125.0,1226653793.75,1813375.0,-70500.0,125.0,20-Feb-2025,2025-02-19T18:30:00.000+00:00,3189.05,1226653793.75
FUTSTK,PIIND,27-Mar-2025,0,XX,N,3277.6,3277.95,3176.2,3211.9,3212.25,3219.9,3211.9,269125.0,862041918.75,349125.0,186125.0,125.0,20-Feb-2025,2025-02-19T18:30:00.000+00:00,3189.05,862041918.75
FUTSTK,PIIND,24-Apr-2025,0,XX,N,3218.0,3238.0,3200.0,3225.0,3230.0,3238.8,3225.0,2625.0,8459862.5,11500.0,875.0,125.0,20-Feb-2025,2025-02-19T18:30:00.000+00:00,3189.05,8459862.5
