FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,275.55,285.25,271.65,278.75,279.0,273.8,278.75,33228000.0,9291041280.0,48524400.0,2271600.0,3600.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,277.6,9291041280.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,276.3,286.7,273.5,280.55,280.6,275.5,280.55,2192400.0,617121180.0,1335600.0,169200.0,3600.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,277.6,617121180.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,277.4,288.0,276.0,282.25,282.65,278.0,282.25,219600.0,62284140.0,208800.0,28800.0,3600.0,05-Feb-2024,2024-02-04T18:30:00.000+00:00,277.6,62284140.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,280.1,280.1,272.0,274.15,274.95,280.55,274.15,1422000.0,389625660.0,1454400.0,118800.0,3600.0,06-Feb-2024,2024-02-05T18:30:00.000+00:00,277.6,389625660.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,278.8,278.8,274.45,275.95,275.95,282.25,275.95,187200.0,51638220.0,273600.0,64800.0,3600.0,06-Feb-2024,2024-02-05T18:30:00.000+00:00,277.6,51638220.0
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,278.9,278.95,270.1,272.25,273.25,278.75,272.25,25812000.0,7025932980.0,52146000.0,3621600.0,3600.0,06-Feb-2024,2024-02-05T18:30:00.000+00:00,277.6,7025932980.0
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,270.9,272.7,265.6,266.15,266.35,272.25,266.15,28544400.0,7660095840.0,57243600.0,5097600.0,3600.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,277.6,7660095840.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,277.95,277.95,270.0,270.2,270.2,275.95,270.2,126000.0,34295760.0,360000.0,86400.0,3600.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,277.6,34295760.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,272.5,273.95,267.7,268.25,268.9,274.15,268.25,1760400.0,476992440.0,1800000.0,345600.0,3600.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,277.6,476992440.0
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,270.0,284.95,268.35,273.35,273.35,266.15,273.35,83494800.0,23231406420.0,70358400.0,13114800.0,3600.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,277.6,23231406420.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,276.9,288.1,276.9,277.4,277.35,270.2,277.4,378000.0,106632720.0,356400.0,-3600.0,3600.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,277.6,106632720.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,271.1,286.85,271.1,275.45,275.5,268.25,275.45,5140800.0,1441042920.0,2185200.0,385200.0,3600.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,277.6,1441042920.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,278.35,279.0,271.5,273.3,273.3,277.4,273.3,133200.0,36744840.0,414000.0,57600.0,3600.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,277.6,36744840.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,277.7,277.7,267.5,271.35,271.2,275.45,271.35,2289600.0,622998000.0,2379600.0,194400.0,3600.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,277.6,622998000.0
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,273.95,275.75,265.15,269.2,268.9,273.35,269.2,36957600.0,9973836900.0,67507200.0,-2851200.0,3600.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,277.6,9973836900.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,271.7,273.7,264.35,268.45,268.05,271.35,268.45,2156400.0,579713580.0,2455200.0,75600.0,3600.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,277.6,579713580.0
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,269.55,272.0,262.2,266.25,266.15,269.2,266.25,30456000.0,8121096720.0,63846000.0,-3661200.0,3600.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,277.6,8121096720.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,271.0,276.0,267.0,270.75,270.75,273.3,273.95,68400.0,18523440.0,410400.0,-3600.0,3600.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,277.6,18523440.0
FUTSTK,POWERGRID,29-Feb-2024,0,XX,N,265.4,267.4,261.05,266.3,266.4,266.25,266.3,21409200.0,5659134300.0,61891200.0,-1954800.0,3600.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,277.6,5659134300.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,267.5,269.25,262.95,268.25,268.5,268.45,268.25,1526400.0,406086120.0,2592000.0,136800.0,3600.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,277.6,406086120.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,269.05,270.5,266.5,269.75,269.75,270.75,273.85,64800.0,17369280.0,410400.0,0.0,3600.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,277.6,17369280.0
FUTSTK,POWERGRID,25-Apr-2024,0,XX,N,269.75,275.0,267.8,274.45,274.8,269.75,274.45,75600.0,20575080.0,388800.0,-21600.0,3600.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,277.6,20575080.0
FUTSTK,POWERGRID,28-Mar-2024,0,XX,N,266.55,273.2,265.35,272.55,272.9,268.25,272.55,1443600.0,389194560.0,2667600.0,75600.0,3600.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,277.6,389194560.0
