FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PPLPHARMA,26-Jun-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,205.09,
FUTSTK,PPLPHARMA,28-Aug-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,205.09,
FUTSTK,PPLPHARMA,31-Jul-2025,0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,205.09,
FUTSTK,PPLPHARMA,31-Jul-2025,0,XX,N,209.15,209.76,207.5,208.16,208.13,207.45,208.16,35000.0,7295350.0,30000.0,30000.0,2500.0,30-May-2025,2025-05-29T18:30:00.000+00:00,206.3,7295350.0
FUTSTK,PPLPHARMA,28-Aug-2025,0,XX,N,208.36,209.02,208.36,209.02,209.02,208.5,209.7,10000.0,2085600.0,10000.0,10000.0,2500.0,30-May-2025,2025-05-29T18:30:00.000+00:00,206.3,2085600.0
FUTSTK,PPLPHARMA,26-Jun-2025,0,XX,N,208.26,211.04,204.0,207.61,207.81,206.1,207.61,2050000.0,426139600.0,1070000.0,1070000.0,2500.0,30-May-2025,2025-05-29T18:30:00.000+00:00,206.3,426139600.0
FUTSTK,PPLPHARMA,26-Jun-2025,0,XX,N,208.49,210.64,206.19,206.92,206.77,207.61,206.92,1505000.0,313066300.0,1630000.0,560000.0,2500.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,205.68,313066300.0
FUTSTK,PPLPHARMA,31-Jul-2025,0,XX,N,207.0,210.95,207.0,207.34,207.69,208.16,207.34,65000.0,13512200.0,62500.0,32500.0,2500.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,205.68,13512200.0
FUTSTK,PPLPHARMA,28-Aug-2025,0,XX,N,208.0,208.32,208.0,208.32,208.32,209.02,208.94,7500.0,1561600.0,17500.0,7500.0,2500.0,02-Jun-2025,2025-06-01T18:30:00.000+00:00,205.68,1561600.0
FUTSTK,PPLPHARMA,31-Jul-2025,0,XX,N,207.01,207.01,205.0,205.18,205.16,207.34,205.18,42500.0,8758100.0,95000.0,32500.0,2500.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,203.76,8758100.0
FUTSTK,PPLPHARMA,26-Jun-2025,0,XX,N,207.46,207.5,203.84,204.51,204.04,206.92,204.51,907500.0,186047250.0,1992500.0,362500.0,2500.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,203.76,186047250.0
FUTSTK,PPLPHARMA,28-Aug-2025,0,XX,N,0.0,0.0,0.0,208.32,208.32,208.32,206.96,0.0,0.0,17500.0,0.0,2500.0,03-Jun-2025,2025-06-02T18:30:00.000+00:00,203.76,0.0
