FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,0.0,0.0,0.0,1365.1,0.0,1365.1,1385.95,0.0,0.0,0.0,0.0,325.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,1366.35,0.0
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1356.75,1398.05,1356.75,1364.3,1361.4,1383.95,1364.3,363675.0,498337953.75,3311750.0,-975.0,325.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,1366.35,498337953.75
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1393.9,1393.9,1361.3,1363.8,1361.3,1384.9,1363.8,7150.0,9808288.75,19825.0,-325.0,325.0,06-Feb-2025,2025-02-05T18:30:00.000+00:00,1366.35,9808288.75
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1359.0,1384.05,1335.55,1351.4,1343.05,1364.3,1351.4,580450.0,788322811.25,3313375.0,1625.0,325.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,1347.7,788322811.25
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1355.0,1367.0,1337.9,1350.0,1350.0,1363.8,1350.0,11050.0,14933295.0,23400.0,3575.0,325.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,1347.7,14933295.0
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,0.0,0.0,0.0,1365.1,0.0,1365.1,1366.05,0.0,0.0,0.0,0.0,325.0,07-Feb-2025,2025-02-06T18:30:00.000+00:00,1347.7,0.0
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1344.95,1348.85,1303.2,1327.65,1325.0,1351.4,1327.65,409175.0,541100007.5,3388125.0,74750.0,325.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,1324.85,541100007.5
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,0.0,0.0,0.0,1365.1,0.0,1365.1,1342.2,0.0,0.0,0.0,0.0,325.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,1324.85,0.0
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1340.0,1343.15,1312.25,1332.0,1332.0,1350.0,1332.0,5850.0,7734610.0,24050.0,650.0,325.0,10-Feb-2025,2025-02-09T18:30:00.000+00:00,1324.85,7734610.0
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,0.0,0.0,0.0,1365.1,0.0,1365.1,1328.05,0.0,0.0,0.0,0.0,325.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,1311.15,0.0
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1310.25,1317.45,1281.2,1314.85,1314.55,1332.0,1314.85,16575.0,21513618.75,24375.0,325.0,325.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,1311.15,21513618.75
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1326.4,1326.4,1276.3,1311.5,1312.1,1327.65,1311.5,532675.0,690440432.5,3398200.0,10075.0,325.0,11-Feb-2025,2025-02-10T18:30:00.000+00:00,1311.15,690440432.5
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,1240.5,1240.5,1228.0,1229.35,1230.7,1365.1,1229.35,1300.0,1601340.0,1300.0,1300.0,325.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,1220.15,1601340.0
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1273.5,1282.25,1219.35,1227.55,1229.75,1314.85,1227.55,31850.0,39738822.5,32825.0,8450.0,325.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,1220.15,39738822.5
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1312.55,1312.55,1216.5,1225.9,1227.0,1311.5,1225.9,2877875.0,3619310012.5,3960775.0,562575.0,325.0,12-Feb-2025,2025-02-11T18:30:00.000+00:00,1220.15,3619310012.5
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1221.0,1258.65,1208.8,1243.15,1243.25,1227.55,1243.15,44200.0,54992161.25,37700.0,4875.0,325.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,1237.9,54992161.25
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,1250.0,1250.0,1248.0,1248.0,1248.0,1229.35,1253.45,1300.0,1624350.0,1625.0,325.0,325.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,1237.9,1624350.0
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1214.4,1260.65,1203.65,1241.3,1243.0,1225.9,1241.3,1510275.0,1876485975.0,4169750.0,208975.0,325.0,13-Feb-2025,2025-02-12T18:30:00.000+00:00,1237.9,1876485975.0
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,1235.0,1235.0,1235.0,1235.0,1235.0,1248.0,1242.3,325.0,401375.0,1300.0,-325.0,325.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,1227.15,401375.0
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1243.0,1247.75,1206.75,1226.55,1226.1,1241.3,1226.55,673400.0,824069577.5,4101175.0,-68575.0,325.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,1227.15,824069577.5
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1242.6,1250.0,1213.55,1231.7,1228.85,1243.15,1231.7,16900.0,20766606.25,43875.0,6175.0,325.0,14-Feb-2025,2025-02-13T18:30:00.000+00:00,1227.15,20766606.25
FUTSTK,PRESTIGE,27-Feb-2025,0,XX,N,1205.35,1250.45,1186.35,1245.1,1246.4,1226.55,1245.1,1089400.0,1344327058.75,3947450.0,-153725.0,325.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,1240.4,1344327058.75
FUTSTK,PRESTIGE,24-Apr-2025,0,XX,N,0.0,0.0,0.0,1235.0,1235.0,1235.0,1255.05,0.0,0.0,1300.0,0.0,325.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,1240.4,0.0
FUTSTK,PRESTIGE,27-Mar-2025,0,XX,N,1200.6,1253.45,1189.6,1248.2,1249.85,1231.7,1248.2,15275.0,18846863.75,40300.0,-3575.0,325.0,17-Feb-2025,2025-02-16T18:30:00.000+00:00,1240.4,18846863.75
