FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,RBLBANK,29-Mar-2023,0,XX,N,165.45,166.5,163.05,164.6,164.9,164.4,164.6,545000.0,89696250.0,1025000.0,5000.0,5000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,312.45,89696250.0
FUTSTK,RBLBANK,23-Feb-2023,0,XX,N,164.5,166.0,162.05,163.8,164.0,163.65,163.8,9270000.0,1519061500.0,27620000.0,-970000.0,5000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,312.45,1519061500.0
FUTSTK,RBLBANK,27-Apr-2023,0,XX,N,167.0,167.0,164.45,165.05,165.05,165.7,166.0,15000.0,2482500.0,160000.0,5000.0,5000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,312.45,2482500.0
FUTSTK,RBLBANK,29-Mar-2023,0,XX,N,165.5,168.2,164.5,167.95,167.9,164.6,167.95,445000.0,74167000.0,1015000.0,-10000.0,5000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,312.45,74167000.0
FUTSTK,RBLBANK,23-Feb-2023,0,XX,N,163.8,167.4,163.55,166.95,167.1,163.8,166.95,7035000.0,1165665250.0,26775000.0,-845000.0,5000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,312.45,1165665250.0
FUTSTK,RBLBANK,27-Apr-2023,0,XX,N,167.3,168.8,167.3,168.65,168.6,165.05,168.65,50000.0,8423000.0,180000.0,20000.0,5000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,312.45,8423000.0
FUTSTK,RBLBANK,27-Apr-2023,0,XX,N,167.0,170.2,166.0,170.2,170.2,168.65,170.2,70000.0,11809750.0,170000.0,-10000.0,5000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,312.45,11809750.0
FUTSTK,RBLBANK,29-Mar-2023,0,XX,N,166.9,169.65,165.2,169.25,169.0,167.95,169.25,695000.0,116909000.0,980000.0,-35000.0,5000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,312.45,116909000.0
FUTSTK,RBLBANK,23-Feb-2023,0,XX,N,167.0,168.85,164.0,168.35,168.45,166.95,168.35,8425000.0,1405388250.0,27005000.0,230000.0,5000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,312.45,1405388250.0
FUTSTK,RBLBANK,27-Apr-2023,0,XX,N,171.2,172.4,170.5,171.5,171.45,170.2,171.5,55000.0,9433250.0,185000.0,15000.0,5000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,312.45,9433250.0
FUTSTK,RBLBANK,29-Mar-2023,0,XX,N,168.25,171.7,168.25,170.55,170.3,169.25,170.55,605000.0,103233250.0,1065000.0,85000.0,5000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,312.45,103233250.0
FUTSTK,RBLBANK,23-Feb-2023,0,XX,N,166.55,171.0,166.55,169.6,169.25,168.35,169.6,6735000.0,1143062000.0,27000000.0,-5000.0,5000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,312.45,1143062000.0
FUTSTK,RBLBANK,29-Mar-2023,0,XX,N,170.4,170.75,165.25,167.3,166.85,170.55,167.3,920000.0,154378750.0,1065000.0,0.0,5000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,312.45,154378750.0
