FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,RELIANCE,24-Apr-2025,0,XX,N,1303.3,1309.65,1298.45,1299.6,1300.05,1303.3,1299.6,176500.0,230114100.0,366000.0,81500.0,500.0,05-Feb-2025,2025-02-04T18:30:00.000+00:00,1278.2,230114100.0
FUTSTK,RELIANCE,27-Feb-2025,0,XX,N,1288.55,1294.9,1283.3,1284.6,1284.7,1288.45,1284.6,10109000.0,13025053350.0,140711000.0,-377500.0,500.0,05-Feb-2025,2025-02-04T18:30:00.000+00:00,1278.2,13025053350.0
FUTSTK,RELIANCE,27-Mar-2025,0,XX,N,1296.45,1302.0,1291.0,1291.8,1292.35,1295.5,1291.8,786500.0,1019544275.0,4165500.0,130000.0,500.0,05-Feb-2025,2025-02-04T18:30:00.000+00:00,1278.2,1019544275.0
FUTSTK,RELIANCE,24-Apr-2025,0,XX,N,1269.95,1306.5,1268.15,1303.3,1302.4,1269.2,1303.3,278500.0,359496125.0,284500.0,-10500.0,500.0,04-Feb-2025,2025-02-03T18:30:00.000+00:00,1285.2,359496125.0
FUTSTK,RELIANCE,27-Feb-2025,0,XX,N,1254.9,1291.95,1253.2,1288.45,1286.7,1253.2,1288.45,28885500.0,36899977825.0,141088500.0,-2286000.0,500.0,04-Feb-2025,2025-02-03T18:30:00.000+00:00,1285.2,36899977825.0
FUTSTK,RELIANCE,27-Mar-2025,0,XX,N,1261.7,1298.9,1261.0,1295.5,1294.45,1260.65,1295.5,1417000.0,1818282775.0,4035500.0,-302000.0,500.0,04-Feb-2025,2025-02-03T18:30:00.000+00:00,1285.2,1818282775.0
FUTSTK,RELIANCE,27-Mar-2025,0,XX,N,1264.0,1267.6,1251.45,1260.65,1261.7,1275.4,1260.65,934000.0,1175901450.0,4337500.0,225500.0,500.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,1245.9,1175901450.0
FUTSTK,RELIANCE,24-Apr-2025,0,XX,N,1271.8,1275.85,1260.0,1269.2,1269.95,1283.6,1269.2,184000.0,233298200.0,295000.0,110000.0,500.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,1245.9,233298200.0
FUTSTK,RELIANCE,27-Feb-2025,0,XX,N,1258.25,1260.9,1243.55,1253.2,1254.9,1267.95,1253.2,12930500.0,16198678225.0,143374500.0,-74500.0,500.0,03-Feb-2025,2025-02-02T18:30:00.000+00:00,1245.9,16198678225.0
FUTSTK,RELIANCE,27-Mar-2025,0,XX,N,1280.2,1280.4,1252.7,1275.4,1275.25,1277.55,1275.4,1148000.0,1457677600.0,4112000.0,185500.0,500.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,1264.6,1457677600.0
FUTSTK,RELIANCE,24-Apr-2025,0,XX,N,1286.65,1288.0,1262.0,1283.6,1282.85,1285.55,1283.6,184000.0,235093975.0,185000.0,104000.0,500.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,1264.6,235093975.0
FUTSTK,RELIANCE,27-Feb-2025,0,XX,N,1270.0,1274.7,1244.25,1267.95,1267.05,1270.05,1267.95,15689000.0,19806170025.0,143449000.0,-3283500.0,500.0,01-Feb-2025,2025-01-31T18:30:00.000+00:00,1264.6,19806170025.0
FUTSTK,RELIANCE,24-Apr-2025,0,XX,N,1276.0,1286.65,1274.7,1285.55,1285.0,1274.25,1285.55,112000.0,143478075.0,81000.0,81000.0,500.0,31-Jan-2025,2025-01-30T18:30:00.000+00:00,1265.1,143478075.0
