FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SAIL,28-Apr-2026,0,XX,N,158.95,160.3,158.08,158.97,158.39,156.43,158.97,338400.0,53902843.0,643900.0,98700.0,4700.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,157.29,53902843.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,155.5,158.86,155.19,157.7,157.5,155.09,157.7,22494200.0,3543227070.0,196234400.0,-244400.0,4700.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,157.29,3543227070.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,156.05,159.4,155.99,158.15,157.99,155.62,158.15,2006900.0,317128458.0,4403900.0,164500.0,4700.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,157.29,317128458.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,155.24,156.25,149.79,155.09,154.54,149.66,155.09,32458200.0,4985865703.0,196478800.0,1532200.0,4700.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,154.36,4985865703.0
FUTSTK,SAIL,28-Apr-2026,0,XX,N,154.27,157.15,151.4,156.43,156.53,150.42,156.43,357200.0,55158072.0,545200.0,42300.0,4700.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,154.36,55158072.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,155.27,156.84,150.5,155.62,155.5,150.39,155.62,3384000.0,520473629.0,4239400.0,155100.0,4700.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,154.36,520473629.0
FUTSTK,SAIL,28-Apr-2026,0,XX,N,149.96,151.27,143.84,150.42,151.27,150.24,150.42,338400.0,49640742.0,502900.0,51700.0,4700.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,148.67,49640742.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,149.13,151.38,142.24,150.39,150.5,149.43,150.39,4648300.0,679530230.0,4084300.0,-643900.0,4700.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,148.67,679530230.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,149.0,150.78,141.81,149.66,149.88,149.14,149.66,41378800.0,6058997433.0,194946600.0,3243000.0,4700.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,148.67,6058997433.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,149.97,155.42,142.19,149.14,147.62,152.05,149.14,44518400.0,6665066005.0,191703600.0,-2716600.0,4700.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,148.63,6665066005.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,150.0,156.0,142.85,149.43,148.5,152.77,149.43,3388700.0,508899738.0,4728200.0,56400.0,4700.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,148.63,508899738.0
FUTSTK,SAIL,28-Apr-2026,0,XX,N,151.0,155.77,144.0,150.24,149.04,154.3,150.24,423000.0,63761986.0,451200.0,56400.0,4700.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,148.63,63761986.0
FUTSTK,SAIL,28-Apr-2026,0,XX,N,154.0,155.42,150.03,154.3,154.4,159.71,154.3,173900.0,26636451.0,394800.0,65800.0,4700.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,151.13,26636451.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,156.0,156.0,149.25,152.77,152.7,158.86,152.77,3463900.0,526877661.0,4671800.0,1400600.0,4700.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,151.13,526877661.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,155.5,155.5,148.31,152.05,151.75,158.07,152.05,41045100.0,6222489659.0,194420200.0,2100900.0,4700.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,151.13,6222489659.0
FUTSTK,SAIL,28-Apr-2026,0,XX,N,159.75,162.67,159.0,159.71,160.17,158.67,159.71,324300.0,52053205.0,329000.0,122200.0,4700.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,157.18,52053205.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,157.0,161.2,156.48,158.07,158.55,156.82,158.07,37524800.0,5955771239.0,192319300.0,-2185500.0,4700.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,157.18,5955771239.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,158.57,161.89,157.74,158.86,159.35,157.54,158.86,2053900.0,327628070.0,3271200.0,455900.0,4700.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,157.18,327628070.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,157.72,159.27,154.6,157.54,157.28,157.75,157.54,2166700.0,340445064.0,2815300.0,484100.0,4700.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,155.74,340445064.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,157.8,158.42,153.71,156.82,156.49,156.8,156.82,33186700.0,5193397493.0,194504800.0,4615400.0,4700.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,155.74,5193397493.0
FUTSTK,SAIL,28-Apr-2026,0,XX,N,157.25,159.5,155.8,158.67,158.34,157.98,158.67,249100.0,39417631.0,206800.0,206800.0,4700.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,155.74,39417631.0
FUTSTK,SAIL,30-Mar-2026,0,XX,N,153.95,158.96,150.6,157.75,158.35,150.36,157.75,2039800.0,315805314.0,2331200.0,817800.0,4700.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,155.56,315805314.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,149.7,158.1,149.69,156.8,157.4,150.05,156.8,73672500.0,11315901326.0,189889400.0,35691800.0,4700.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,155.56,11315901326.0
FUTSTK,SAIL,27-Jan-2026,0,XX,N,149.74,157.32,149.25,156.01,157.24,149.37,155.55,55958200.0,8547071213.0,14828500.0,-27636000.0,4700.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,155.56,8547071213.0
FUTSTK,SAIL,24-Feb-2026,0,XX,N,153.0,157.6,149.5,150.05,149.7,152.7,150.05,46121100.0,7079958223.0,154197600.0,14917800.0,4700.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,149.03,7079958223.0
FUTSTK,SAIL,27-Jan-2026,0,XX,N,151.85,157.01,148.9,149.37,149.12,152.09,149.37,44692300.0,6846973771.0,42464500.0,-10485700.0,4700.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,149.03,6846973771.0
