FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SAMMAANCAP,28-Apr-2026,0,XX,N,0.0,0.0,0.0,143.33,143.33,143.33,148.64,0.0,0.0,933100.0,0.0,4300.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,146.73,0.0
FUTSTK,SAMMAANCAP,30-Mar-2026,0,XX,N,144.25,147.68,142.61,147.34,147.68,144.16,147.34,94600.0,13635988.0,5792100.0,-43000.0,4300.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,146.73,13635988.0
FUTSTK,SAMMAANCAP,24-Feb-2026,0,XX,N,143.0,148.69,141.11,146.84,147.1,143.3,146.84,1505000.0,217107817.0,111662400.0,-1122300.0,4300.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,146.73,217107817.0
FUTSTK,SAMMAANCAP,28-Apr-2026,0,XX,N,143.33,143.33,143.33,143.33,143.33,152.81,144.76,4300.0,616319.0,933100.0,-4300.0,4300.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,142.89,616319.0
FUTSTK,SAMMAANCAP,24-Feb-2026,0,XX,N,150.12,151.0,141.96,143.3,142.69,151.34,143.3,2094100.0,306420967.0,112784700.0,-1406100.0,4300.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,142.89,306420967.0
FUTSTK,SAMMAANCAP,30-Mar-2026,0,XX,N,149.0,149.52,143.02,144.16,143.02,152.21,144.16,120400.0,17671022.0,5835100.0,-98900.0,4300.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,142.89,17671022.0
FUTSTK,SAMMAANCAP,24-Feb-2026,0,XX,N,149.0,153.4,145.65,151.34,151.49,148.77,151.34,31205100.0,4698020943.0,114190800.0,6905800.0,4300.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,150.71,4698020943.0
FUTSTK,SAMMAANCAP,28-Apr-2026,0,XX,N,151.17,155.3,151.17,152.81,153.15,151.04,152.81,111800.0,17075988.0,937400.0,43000.0,4300.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,150.71,17075988.0
FUTSTK,SAMMAANCAP,30-Mar-2026,0,XX,N,148.47,154.23,146.73,152.21,152.0,149.7,152.21,2717600.0,411342644.0,5934000.0,1143800.0,4300.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,150.71,411342644.0
FUTSTK,SAMMAANCAP,30-Mar-2026,0,XX,N,143.75,150.7,143.75,149.7,150.7,143.77,149.7,3121800.0,460401000.0,4790200.0,1376000.0,4300.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,147.57,460401000.0
