FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,751.85,756.9,744.1,753.55,751.7,759.15,753.55,1197600.0,899759760.0,7400000.0,-2400.0,800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,878.05,899759760.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,761.0,761.0,754.0,757.2,757.2,765.0,762.2,7200.0,5457360.0,18400.0,1600.0,800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,878.05,5457360.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,757.45,759.4,748.35,756.3,756.05,761.3,756.3,63200.0,47646560.0,292800.0,-1600.0,800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,878.05,47646560.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,757.15,758.7,749.0,756.4,756.1,756.3,756.4,119200.0,89892160.0,305600.0,12800.0,800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,878.05,89892160.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,761.95,761.95,761.95,761.95,761.95,757.2,763.25,800.0,609560.0,18400.0,0.0,800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,878.05,609560.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,750.25,756.45,745.7,753.15,753.75,753.55,753.15,1423200.0,1070145120.0,7703200.0,303200.0,800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,878.05,1070145120.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,753.35,766.35,753.35,764.0,763.8,756.4,764.0,128800.0,98078080.0,324800.0,19200.0,800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,878.05,98078080.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,762.0,771.05,762.0,766.25,766.25,761.95,766.25,17600.0,13491680.0,19200.0,800.0,800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,878.05,13491680.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,746.15,763.75,746.15,760.8,761.0,753.15,760.8,1312000.0,996395080.0,7689600.0,-13600.0,800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,878.05,996395080.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,766.0,770.85,762.8,762.8,762.8,766.25,762.8,9600.0,7359280.0,22400.0,3200.0,800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,878.05,7359280.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,759.65,765.05,752.85,755.85,757.8,760.8,755.85,1184800.0,899889160.0,7813600.0,124000.0,800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,878.05,899889160.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,761.15,768.5,757.2,759.05,759.0,764.0,759.05,153600.0,117224040.0,335200.0,10400.0,800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,878.05,117224040.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,764.75,764.75,752.45,752.45,752.45,762.8,752.45,7200.0,5466400.0,23200.0,800.0,800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,878.05,5466400.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,754.95,761.2,743.35,745.6,748.95,755.85,745.6,1212000.0,908081200.0,7759200.0,-54400.0,800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,878.05,908081200.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,758.1,762.25,747.0,748.85,752.25,759.05,748.85,180000.0,135567240.0,376800.0,41600.0,800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,878.05,135567240.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,749.95,754.25,742.4,752.85,753.15,748.85,752.85,120000.0,89866520.0,404800.0,28000.0,800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,878.05,89866520.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,746.0,751.4,739.25,749.7,750.0,745.6,749.7,882400.0,658909240.0,7832800.0,73600.0,800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,878.05,658909240.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,752.9,755.3,747.0,753.5,753.5,752.45,758.35,11200.0,8416160.0,25600.0,2400.0,800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,878.05,8416160.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,742.7,757.75,742.7,756.95,757.2,749.7,756.95,587200.0,442875160.0,7795200.0,-37600.0,800.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,878.05,442875160.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,759.1,759.1,758.0,758.0,758.0,753.5,767.0,1600.0,1213680.0,27200.0,1600.0,800.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,878.05,1213680.0
FUTSTK,SBICARD,29-Mar-2023,0,XX,N,756.25,760.6,752.85,760.05,760.15,752.85,760.05,52000.0,39370640.0,409600.0,4800.0,800.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,878.05,39370640.0
FUTSTK,SBICARD,23-Feb-2023,0,XX,N,758.0,762.05,753.7,759.55,760.2,756.95,759.55,1034400.0,783821680.0,7745600.0,-49600.0,800.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,878.05,783821680.0
FUTSTK,SBICARD,27-Apr-2023,0,XX,N,767.0,770.75,761.0,767.35,765.0,758.0,767.35,18400.0,14082480.0,38400.0,11200.0,800.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,878.05,14082480.0
