FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,SHREECEM,FUTSTK,,26232.90625,25630.12921242235,26260.470513671025,25580.504242573137,20317,26232.90625,25,YFINANCE
01-Apr-2025,SHREECEM,FUTSTK,,30102.15234375,30400.472806631784,30463.46975644371,29913.8048955419,19571,30102.15234375,25,YFINANCE
01-Apr-2026,SHREECEM,FUTSTK,,23265.0,23490.0,23510.0,23080.0,19991,23265.0,25,YFINANCE
01-Aug-2023,SHREECEM,FUTSTK,,23854.505859375,23951.44907112903,23951.44907112903,23734.54950832024,47864,23854.505859375,25,YFINANCE
01-Aug-2024,SHREECEM,FUTSTK,,27586.6015625,27642.731457463044,27717.0422538297,27307.989435227348,29621,27586.6015625,25,YFINANCE
01-Aug-2025,SHREECEM,FUTSTK,,30588.31640625,30902.426256876526,30947.299092680318,30453.69789883863,29448,30588.31640625,25,YFINANCE
01-Dec-2023,SHREECEM,FUTSTK,,26748.970703125,26564.285658819135,26787.469628626313,26351.54410694518,16305,26748.970703125,25,YFINANCE
01-Dec-2025,SHREECEM,FUTSTK,,26415.0,26550.0,26565.0,26320.0,16587,26415.0,25,YFINANCE
01-Feb-2024,SHREECEM,FUTSTK,,29309.396484375,29197.011958339914,30422.04929906653,28902.17123740865,174274,29309.396484375,25,YFINANCE
01-Feb-2025,SHREECEM,FUTSTK,,27184.50390625,27736.0662955737,27760.803576326973,26246.68757305371,30109,27184.50390625,25,YFINANCE
01-Jan-2024,SHREECEM,FUTSTK,,28169.27734375,28454.715643109867,28454.715643109867,28059.81367644549,5760,28169.27734375,25,YFINANCE
01-Jan-2025,SHREECEM,FUTSTK,,25337.18359375,25541.93314103465,25730.242263822813,25011.182762765893,16145,25337.18359375,25,YFINANCE
01-Jan-2026,SHREECEM,FUTSTK,,26835.0,26600.0,26865.0,26425.0,9497,26835.0,25,YFINANCE
01-Jul-2024,SHREECEM,FUTSTK,,28112.1328125,27755.84037848262,28371.50685696974,27513.916214292087,59357,28112.1328125,25,YFINANCE
01-Jul-2025,SHREECEM,FUTSTK,,31036.275390625,30956.656919204444,31499.057755756974,30956.656919204444,46618,31036.275390625,25,YFINANCE
01-Jun-2023,SHREECEM,FUTSTK,,24908.814453125,25040.150755203962,25134.22529638578,24844.381530619095,31272,24908.814453125,25,YFINANCE
01-Mar-2023,SHREECEM,FUTSTK,,26002.125,25587.84096735601,26091.49974363357,25577.91515522854,29240,26002.125,25,YFINANCE
01-Mar-2024,SHREECEM,FUTSTK,,25419.685546875,25470.449184987927,25675.63776998714,25287.270957461496,18817,25419.685546875,25,YFINANCE
01-Nov-2023,SHREECEM,FUTSTK,,25159.5625,25507.601194727573,25525.118630099958,25066.033081211925,12977,25159.5625,25,YFINANCE
01-Nov-2024,SHREECEM,FUTSTK,,25075.708984375,25182.951080511364,25184.93797948809,24918.94187897892,609,25075.708984375,25,YFINANCE
01-Oct-2024,SHREECEM,FUTSTK,,26349.509765625,26219.6162419484,26406.683561165373,26027.682572388134,27911,26349.509765625,25,YFINANCE
01-Oct-2025,SHREECEM,FUTSTK,,29212.216796875,29182.30157230063,29371.764661271656,28848.248231220132,26328,29212.216796875,25,YFINANCE
01-Sep-2023,SHREECEM,FUTSTK,,23891.419921875,23585.247570927495,23931.157937106225,23575.35027861909,27413,23891.419921875,25,YFINANCE
01-Sep-2025,SHREECEM,FUTSTK,,29785.591796875,29267.061239982635,29890.295082401342,29222.188403328488,37442,29785.591796875,25,YFINANCE
02-Apr-2024,SHREECEM,FUTSTK,,26307.171875,26232.908699068706,26495.257228607734,25810.831114265107,41507,26307.171875,25,YFINANCE
02-Apr-2025,SHREECEM,FUTSTK,,30129.0234375,30353.34887053148,30353.547139186816,29893.801003666355,52150,30129.0234375,25,YFINANCE
02-Apr-2026,SHREECEM,FUTSTK,,23125.0,22955.0,23265.0,22675.0,20490,23125.0,25,YFINANCE
02-Aug-2023,SHREECEM,FUTSTK,,23798.138671875,23852.47519492789,23852.47519492789,23659.47798899383,34126,23798.138671875,25,YFINANCE
02-Aug-2024,SHREECEM,FUTSTK,,27116.55078125,27375.047499242788,27613.92164974302,26875.390920821337,39746,27116.55078125,25,YFINANCE
02-Dec-2024,SHREECEM,FUTSTK,,26608.552734375,25829.688287550405,26877.777562295236,25829.688287550405,38030,26608.552734375,25,YFINANCE
02-Dec-2025,SHREECEM,FUTSTK,,26545.0,26250.0,26645.0,26165.0,34844,26545.0,25,YFINANCE
02-Feb-2024,SHREECEM,FUTSTK,,28161.70703125,29197.014130974516,29394.811143482708,28082.87663954839,64360,28161.70703125,25,YFINANCE
02-Feb-2026,SHREECEM,FUTSTK,,26800.0,26385.0,26850.0,26110.0,42072,26800.0,25,YFINANCE
02-Jan-2024,SHREECEM,FUTSTK,,27800.060546875,28316.154095675938,28316.154095675938,27662.93278483546,16850,27800.060546875,25,YFINANCE
02-Jan-2025,SHREECEM,FUTSTK,,26515.068359375,25595.430987433338,26575.71728752022,25420.087149616935,41231,26515.068359375,25,YFINANCE
02-Jan-2026,SHREECEM,FUTSTK,,27045.0,26775.0,27095.0,26705.0,36285,27045.0,25,YFINANCE
02-Jul-2024,SHREECEM,FUTSTK,,27462.109375,28112.181772184074,28284.602692572877,27372.776294612566,21261,27462.109375,25,YFINANCE
02-Jul-2025,SHREECEM,FUTSTK,,31489.107421875,31285.08507606323,31548.821279185762,30882.01653921559,20945,31489.107421875,25,YFINANCE
02-Jun-2023,SHREECEM,FUTSTK,,24781.23828125,25040.151077317878,25040.201337008468,24713.490151401405,43663,24781.23828125,25,YFINANCE
02-Jun-2025,SHREECEM,FUTSTK,,29269.740234375,29642.95181505812,29642.95181505812,29050.789440374236,25260,29269.740234375,25,YFINANCE
02-Mar-2023,SHREECEM,FUTSTK,,26246.34765625,25972.93843674464,26455.908412397384,25833.741765646464,45919,26246.34765625,25,YFINANCE
02-Mar-2026,SHREECEM,FUTSTK,,26125.0,25200.0,26215.0,25185.0,28282,26125.0,25,YFINANCE
02-May-2023,SHREECEM,FUTSTK,,23890.853515625,24047.234219741847,24096.6125240945,23659.170897370353,34660,23890.853515625,25,YFINANCE
02-May-2024,SHREECEM,FUTSTK,,24615.982421875,24291.516493335028,25156.694419147076,24263.95416306795,98202,24615.982421875,25,YFINANCE
02-May-2025,SHREECEM,FUTSTK,,29140.36328125,29568.31260539404,29682.76416882791,28841.793985335553,17300,29140.36328125,25,YFINANCE
02-Nov-2023,SHREECEM,FUTSTK,,25626.318359375,25238.097043094458,25683.47522620789,25165.301680161796,15029,25626.318359375,25,YFINANCE
02-Sep-2024,SHREECEM,FUTSTK,,25260.73828125,25422.371732585038,25581.224689625065,25094.533410124975,60617,25260.73828125,25,YFINANCE
02-Sep-2025,SHREECEM,FUTSTK,,29910.23828125,29815.506738102184,30069.786143393692,29660.944746650483,23155,29910.23828125,25,YFINANCE
03-Apr-2023,SHREECEM,FUTSTK,,25934.328125,25972.941578645787,26056.9348576537,25508.835602546715,39037,25934.328125,25,YFINANCE
03-Apr-2024,SHREECEM,FUTSTK,,26130.091796875,26374.692224170005,26515.782382762827,26061.47935336705,150756,26130.091796875,25,YFINANCE
03-Apr-2025,SHREECEM,FUTSTK,,30754.626953125,29856.92863224872,30991.44138120227,29757.456075879796,26224,30754.626953125,25,YFINANCE
03-Aug-2023,SHREECEM,FUTSTK,,23866.677734375,23793.09174945837,23974.954503574965,23615.336758442303,24563,23866.677734375,25,YFINANCE
03-Dec-2024,SHREECEM,FUTSTK,,26981.443359375,26608.552462833824,27215.550131396827,26608.552462833824,31134,26981.443359375,25,YFINANCE
03-Dec-2025,SHREECEM,FUTSTK,,26300.0,26645.0,26685.0,26115.0,36102,26300.0,25,YFINANCE
03-Feb-2025,SHREECEM,FUTSTK,,27374.849609375,26823.137791061017,27541.848090296822,26680.62822955912,31317,27374.849609375,25,YFINANCE
03-Feb-2026,SHREECEM,FUTSTK,,27020.0,27200.0,27435.0,26780.0,51933,27020.0,25,YFINANCE
03-Jan-2024,SHREECEM,FUTSTK,,27931.890625,27800.059466072562,28142.950381244078,27732.609033091314,9011,27931.890625,25,YFINANCE
03-Jan-2025,SHREECEM,FUTSTK,,25925.306640625,26675.062205793707,26778.431402904513,25830.680575289196,27472,25925.306640625,25,YFINANCE
03-Jul-2023,SHREECEM,FUTSTK,,23873.26171875,23951.450337620747,23961.34763114869,23704.017999422183,30015,23873.26171875,25,YFINANCE
03-Jul-2024,SHREECEM,FUTSTK,,27150.9296875,27661.647046119495,27661.647046119495,27053.763430267853,68891,27150.9296875,25,YFINANCE
03-Jul-2025,SHREECEM,FUTSTK,,31270.15625,31489.10705760662,31732.938638804902,31190.537774506683,26592,31270.15625,25,YFINANCE
03-Jun-2024,SHREECEM,FUTSTK,,25093.931640625,24985.61108463309,25407.293620914956,24874.662686205516,42209,25093.931640625,25,YFINANCE
03-Jun-2025,SHREECEM,FUTSTK,,29234.908203125,29259.788976063828,29493.66824168883,29110.504338430852,26184,29234.908203125,25,YFINANCE
03-Mar-2023,SHREECEM,FUTSTK,,25336.900390625,26126.06416568862,26283.631126513537,25133.610271440983,93972,25336.900390625,25,YFINANCE
03-Mar-2025,SHREECEM,FUTSTK,,27546.8984375,27153.881345059417,27676.029653763064,27139.948111705406,39731,27546.8984375,25,YFINANCE
03-May-2023,SHREECEM,FUTSTK,,23956.923828125,23829.971426795546,24022.546827882372,23653.393825955256,28202,23956.923828125,25,YFINANCE
03-May-2024,SHREECEM,FUTSTK,,25527.509765625,24787.310329948625,25675.490008294793,24715.824114258776,221844,25527.509765625,25,YFINANCE
03-Nov-2023,SHREECEM,FUTSTK,,25691.244140625,25731.97188764327,25876.4723644153,25614.19410178114,7457,25691.244140625,25,YFINANCE
03-Nov-2025,SHREECEM,FUTSTK,,27975.0,28310.0,28395.0,27860.0,12006,27975.0,25,YFINANCE
03-Oct-2023,SHREECEM,FUTSTK,,25360.921875,25237.99827059353,25432.6772484167,25049.157149120532,14992,25360.921875,25,YFINANCE
03-Oct-2024,SHREECEM,FUTSTK,,26087.1875,26214.995162153926,26524.00839537911,25780.3125115287,29136,26087.1875,25,YFINANCE
03-Oct-2025,SHREECEM,FUTSTK,,29097.541015625,29217.20191082291,29291.989970321603,28908.077931561646,13811,29097.541015625,25,YFINANCE
03-Sep-2024,SHREECEM,FUTSTK,,25340.51171875,25261.433527737714,25533.986006131112,25188.91171526623,45076,25340.51171875,25,YFINANCE
03-Sep-2025,SHREECEM,FUTSTK,,29855.39453125,30014.942397816467,30189.44787687354,29795.564081287575,23539,29855.39453125,25,YFINANCE
04-Apr-2024,SHREECEM,FUTSTK,,25689.818359375,26243.81478967964,26243.81478967964,25631.072429181622,85718,25689.818359375,25,YFINANCE
04-Apr-2025,SHREECEM,FUTSTK,,30548.115234375,30754.6256486555,30852.15827805063,30367.978439267674,14821,30548.115234375,25,YFINANCE
04-Aug-2023,SHREECEM,FUTSTK,,23975.400390625,23981.141593947814,24036.566436261517,23854.951104751428,18589,23975.400390625,25,YFINANCE
04-Aug-2025,SHREECEM,FUTSTK,,30558.40234375,30638.17627709965,31022.088331344836,30034.88590614293,91108,30558.40234375,25,YFINANCE
04-Dec-2023,SHREECEM,FUTSTK,,27432.326171875,26841.60664379003,27628.29256730132,26773.858515431184,29221,27432.326171875,25,YFINANCE
04-Dec-2024,SHREECEM,FUTSTK,,27224.390625,26823.38435386101,27340.72317117837,26823.38435386101,64106,27224.390625,25,YFINANCE
04-Dec-2025,SHREECEM,FUTSTK,,26450.0,26270.0,26490.0,26180.0,9275,26450.0,25,YFINANCE
04-Feb-2025,SHREECEM,FUTSTK,,27750.421875,27419.205432900144,27846.23930046192,27170.59470248046,22726,27750.421875,25,YFINANCE
04-Feb-2026,SHREECEM,FUTSTK,,27350.0,27080.0,27525.0,26905.0,25807,27350.0,25,YFINANCE
04-Jan-2024,SHREECEM,FUTSTK,,28066.64453125,28147.900919090487,28205.305217729983,27885.622658065207,14453,28066.64453125,25,YFINANCE
04-Jul-2023,SHREECEM,FUTSTK,,23834.609375,23873.259075172842,23950.359369830934,23723.860219138114,17326,23834.609375,25,YFINANCE
04-Jul-2024,SHREECEM,FUTSTK,,27225.44140625,27313.63388466092,27320.475569835613,26938.84974031644,40849,27225.44140625,25,YFINANCE
04-Jul-2025,SHREECEM,FUTSTK,,31165.65625,31399.535516126456,31424.41628911863,31026.323921243813,12514,31165.65625,25,YFINANCE
04-Jun-2024,SHREECEM,FUTSTK,,24671.111328125,25134.33586781909,25134.434629771233,23498.37317819773,77396,24671.111328125,25,YFINANCE
04-Jun-2025,SHREECEM,FUTSTK,,29299.59765625,29210.026875371517,29558.35768989895,29075.670704053795,16028,29299.59765625,25,YFINANCE
04-Mar-2024,SHREECEM,FUTSTK,,25511.400390625,25570.5917186039,25625.917775018126,25203.739491543667,29764,25511.400390625,25,YFINANCE
04-Mar-2025,SHREECEM,FUTSTK,,27232.853515625,27232.007958045786,27493.355227201737,27021.567142779546,74924,27232.853515625,25,YFINANCE
04-Mar-2026,SHREECEM,FUTSTK,,25355.0,25865.0,25865.0,24955.0,37304,25355.0,25,YFINANCE
04-May-2023,SHREECEM,FUTSTK,,24152.310546875,23948.47652994084,24261.484815566302,23820.092944419506,22757,24152.310546875,25,YFINANCE
04-Nov-2024,SHREECEM,FUTSTK,,24702.419921875,25075.708560822157,25233.616578197812,24602.974077504783,12419,24702.419921875,25,YFINANCE
04-Nov-2025,SHREECEM,FUTSTK,,27600.0,28095.0,28095.0,27540.0,12031,27600.0,25,YFINANCE
04-Oct-2023,SHREECEM,FUTSTK,,25205.38671875,25327.17368666711,25361.715627077112,25053.958130470983,16317,25205.38671875,25,YFINANCE
04-Oct-2024,SHREECEM,FUTSTK,,25863.662109375,26197.362183363646,26326.411661043803,25695.571230675396,35441,25863.662109375,25,YFINANCE
04-Sep-2023,SHREECEM,FUTSTK,,25407.88671875,24337.444190180737,25528.780609785954,24197.89235484867,119316,25407.88671875,25,YFINANCE
04-Sep-2024,SHREECEM,FUTSTK,,25601.939453125,25233.618040195764,25696.565520775734,25189.26013065337,46475,25601.939453125,25,YFINANCE
04-Sep-2025,SHREECEM,FUTSTK,,29860.37890625,30294.149646748207,30663.1040697007,29760.66149464122,25439,29860.37890625,25,YFINANCE
