FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SHRIRAMFIN,29-Mar-2023,0,XX,N,1262.65,1281.0,1256.75,1276.4,1275.65,1265.1,1276.4,48600.0,61567890.0,250800.0,-12000.0,600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,823.3,61567890.0
FUTSTK,SHRIRAMFIN,23-Feb-2023,0,XX,N,1262.15,1278.75,1251.35,1274.65,1273.0,1261.25,1274.65,385200.0,487906200.0,4923600.0,-13200.0,600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,823.3,487906200.0
FUTSTK,SHRIRAMFIN,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1272.0,1272.0,1272.0,1288.25,0.0,0.0,6600.0,0.0,600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,823.3,0.0
FUTSTK,SHRIRAMFIN,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1272.0,1272.0,1272.0,1290.5,0.0,0.0,6600.0,0.0,600.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,823.3,0.0
FUTSTK,SHRIRAMFIN,23-Feb-2023,0,XX,N,1260.25,1281.15,1260.0,1276.05,1274.45,1274.65,1276.05,405600.0,516554310.0,4954200.0,30600.0,600.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,823.3,516554310.0
FUTSTK,SHRIRAMFIN,29-Mar-2023,0,XX,N,1268.15,1285.0,1268.05,1279.15,1279.0,1276.4,1279.15,61200.0,78211140.0,259800.0,9000.0,600.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,823.3,78211140.0
FUTSTK,SHRIRAMFIN,29-Mar-2023,0,XX,N,1277.6,1279.3,1252.0,1264.0,1260.0,1279.15,1264.0,324600.0,409534140.0,340200.0,80400.0,600.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,823.3,409534140.0
FUTSTK,SHRIRAMFIN,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1272.0,1272.0,1272.0,1276.05,0.0,0.0,6600.0,0.0,600.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,823.3,0.0
FUTSTK,SHRIRAMFIN,23-Feb-2023,0,XX,N,1270.15,1276.2,1247.85,1260.15,1255.55,1276.05,1260.15,1214400.0,1528430700.0,4810800.0,-143400.0,600.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,823.3,1528430700.0
FUTSTK,SHRIRAMFIN,27-Apr-2023,0,XX,N,1265.55,1265.55,1244.0,1246.0,1246.0,1272.0,1246.0,4800.0,6000900.0,9600.0,3000.0,600.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,823.3,6000900.0
FUTSTK,SHRIRAMFIN,29-Mar-2023,0,XX,N,1256.95,1265.0,1237.75,1239.75,1238.0,1264.0,1239.75,357600.0,445765740.0,441000.0,100800.0,600.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,823.3,445765740.0
FUTSTK,SHRIRAMFIN,23-Feb-2023,0,XX,N,1256.5,1262.5,1231.3,1235.3,1233.9,1260.15,1235.3,894600.0,1113182520.0,4724400.0,-86400.0,600.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,823.3,1113182520.0
FUTSTK,SHRIRAMFIN,27-Apr-2023,0,XX,N,1250.0,1255.0,1247.15,1249.6,1247.15,1246.0,1249.6,6600.0,8252400.0,10200.0,600.0,600.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,823.3,8252400.0
FUTSTK,SHRIRAMFIN,23-Feb-2023,0,XX,N,1252.15,1256.0,1235.45,1237.7,1236.55,1235.3,1237.7,2292000.0,2855956380.0,3167400.0,-1557000.0,600.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,823.3,2855956380.0
FUTSTK,SHRIRAMFIN,29-Mar-2023,0,XX,N,1255.35,1260.1,1240.4,1242.4,1242.0,1239.75,1242.4,1866000.0,2333613840.0,1674000.0,1233000.0,600.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,823.3,2333613840.0
FUTSTK,SHRIRAMFIN,27-Apr-2023,0,XX,N,1255.2,1255.2,1221.05,1224.0,1224.95,1249.6,1224.0,5400.0,6649170.0,13800.0,3600.0,600.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,823.3,6649170.0
FUTSTK,SHRIRAMFIN,29-Mar-2023,0,XX,N,1243.85,1258.95,1218.25,1219.7,1220.4,1242.4,1219.7,2434800.0,3010468080.0,3501000.0,1827000.0,600.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,823.3,3010468080.0
FUTSTK,SHRIRAMFIN,23-Feb-2023,0,XX,N,1242.05,1255.65,1213.6,1215.35,1214.2,1237.7,1215.35,2415000.0,2976815640.0,1584600.0,-1582800.0,600.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,823.3,2976815640.0
