FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SIEMENS,29-Mar-2023,0,XX,N,3159.95,3174.95,3103.0,3153.2,3148.55,3149.5,3153.2,73700.0,231464681.25,76725.0,11000.0,275.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,3173.5,231464681.25
FUTSTK,SIEMENS,27-Apr-2023,0,XX,N,3143.0,3175.0,3125.0,3162.6,3163.55,3152.7,3162.6,5225.0,16438661.25,7700.0,2475.0,275.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,3173.5,16438661.25
FUTSTK,SIEMENS,23-Feb-2023,0,XX,N,3147.2,3155.0,3087.0,3135.4,3137.0,3137.2,3135.4,2209350.0,6901404290.0,2243450.0,338800.0,275.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,3173.5,6901404290.0
FUTSTK,SIEMENS,23-Feb-2023,0,XX,N,3154.9,3247.0,3093.15,3235.55,3239.9,3135.4,3235.55,3068175.0,9796263083.75,2028950.0,-214500.0,275.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,3173.5,9796263083.75
FUTSTK,SIEMENS,27-Apr-2023,0,XX,N,3150.0,3270.0,3150.0,3266.1,3267.9,3162.6,3266.1,17325.0,56109817.5,21175.0,13475.0,275.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,3173.5,56109817.5
FUTSTK,SIEMENS,29-Mar-2023,0,XX,N,3172.95,3263.55,3114.05,3252.05,3254.95,3153.2,3252.05,255200.0,821635072.5,131175.0,54450.0,275.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,3173.5,821635072.5
FUTSTK,SIEMENS,27-Apr-2023,0,XX,N,3259.55,3279.45,3248.25,3264.45,3264.45,3266.1,3264.45,5500.0,17926755.0,24750.0,3575.0,275.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,3173.5,17926755.0
FUTSTK,SIEMENS,23-Feb-2023,0,XX,N,3234.45,3254.0,3217.4,3232.5,3234.95,3235.55,3232.5,732875.0,2370218647.5,1940675.0,-88275.0,275.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,3173.5,2370218647.5
FUTSTK,SIEMENS,29-Mar-2023,0,XX,N,3240.0,3274.0,3236.05,3250.3,3251.55,3252.05,3250.3,127875.0,416053880.0,159500.0,28325.0,275.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,3173.5,416053880.0
FUTSTK,SIEMENS,23-Feb-2023,0,XX,N,3228.7,3251.3,3190.95,3204.7,3214.8,3232.5,3204.7,702350.0,2262792688.75,1840850.0,-99825.0,275.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,3173.5,2262792688.75
