FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SRF,24-Feb-2026,0,XX,N,2948.3,2952.0,2907.7,2934.7,2941.8,2920.2,2934.7,447600.0,1313150600.0,3434800.0,25200.0,200.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,2920.6,1313150600.0
FUTSTK,SRF,28-Apr-2026,0,XX,N,2962.0,2965.0,2962.0,2965.0,2965.0,2952.6,2965.0,800.0,2371400.0,4200.0,400.0,200.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,2920.6,2371400.0
FUTSTK,SRF,30-Mar-2026,0,XX,N,2935.1,2961.0,2933.3,2948.9,2948.8,2934.8,2948.9,7600.0,22408880.0,52400.0,-400.0,200.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,2920.6,22408880.0
FUTSTK,SRF,28-Apr-2026,0,XX,N,3056.8,3088.8,2948.0,2952.6,2953.0,2832.7,2952.6,9200.0,27397480.0,3800.0,1800.0,200.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,2912.2,27397480.0
FUTSTK,SRF,24-Feb-2026,0,XX,N,3087.8,3087.8,2911.5,2920.2,2919.9,2807.1,2920.2,1276600.0,3790418000.0,3409600.0,13400.0,200.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,2912.2,3790418000.0
FUTSTK,SRF,30-Mar-2026,0,XX,N,3088.0,3093.0,2928.0,2934.8,2935.1,2821.2,2934.8,41000.0,122406980.0,52800.0,600.0,200.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,2912.2,122406980.0
FUTSTK,SRF,28-Apr-2026,0,XX,N,2776.0,2835.2,2776.0,2832.7,2835.2,2754.8,2832.7,1000.0,2813820.0,2000.0,-200.0,200.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,2801.6,2813820.0
FUTSTK,SRF,24-Feb-2026,0,XX,N,2737.3,2813.1,2728.7,2807.1,2808.3,2731.9,2807.1,708400.0,1960618020.0,3396200.0,152600.0,200.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,2801.6,1960618020.0
FUTSTK,SRF,30-Mar-2026,0,XX,N,2746.6,2822.2,2744.9,2821.2,2820.4,2747.8,2821.2,11200.0,31143460.0,52200.0,4000.0,200.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,2801.6,31143460.0
FUTSTK,SRF,28-Apr-2026,0,XX,N,2905.6,2905.6,2754.8,2754.8,2754.8,2870.0,2754.8,3000.0,8546900.0,2200.0,1200.0,200.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,2726.5,8546900.0
FUTSTK,SRF,24-Feb-2026,0,XX,N,2820.0,2887.0,2715.3,2731.9,2725.1,2820.9,2731.9,502200.0,1411799680.0,3243600.0,-27400.0,200.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,2726.5,1411799680.0
