FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,556.9,567.0,548.55,552.15,550.0,563.45,552.15,1637000.0,912317700.0,2712000.0,731000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,629.25,912317700.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,565.45,565.45,557.0,558.0,558.95,568.85,558.0,8000.0,4480850.0,7000.0,5000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,629.25,4480850.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,562.0,565.0,550.15,554.9,550.15,566.9,554.9,33000.0,18395550.0,87000.0,3000.0,1000.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,629.25,18395550.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,555.75,567.0,555.75,567.0,567.0,558.0,570.25,4000.0,2256450.0,6000.0,-1000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,629.25,2256450.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,551.55,564.0,546.5,563.15,562.2,552.15,563.15,1045000.0,580043000.0,2929000.0,217000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,629.25,580043000.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,550.2,565.5,550.0,564.0,565.5,554.9,564.0,40000.0,22287700.0,90000.0,3000.0,1000.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,629.25,22287700.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,557.1,579.9,553.85,573.25,572.65,563.15,573.25,1131000.0,648217700.0,2964000.0,35000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,629.25,648217700.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,582.0,582.0,582.0,582.0,582.0,567.0,579.85,1000.0,582000.0,6000.0,0.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,629.25,582000.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,564.1,580.9,564.0,575.3,575.25,564.0,575.3,19000.0,10917200.0,85000.0,-5000.0,1000.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,629.25,10917200.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,0.0,0.0,0.0,582.0,582.0,582.0,575.05,0.0,0.0,6000.0,0.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,629.25,0.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,573.0,573.2,563.35,569.2,568.7,575.3,569.2,29000.0,16493000.0,93000.0,8000.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,629.25,16493000.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,571.6,575.9,560.75,567.35,567.4,573.25,567.35,644000.0,365569300.0,2904000.0,-60000.0,1000.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,629.25,365569300.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,575.05,575.05,569.75,569.75,569.75,582.0,569.75,2000.0,1144800.0,7000.0,1000.0,1000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,629.25,1144800.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,567.45,567.45,563.55,566.85,567.0,569.2,566.85,14000.0,7941800.0,99000.0,6000.0,1000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,629.25,7941800.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,565.9,569.0,561.25,564.3,564.9,567.35,564.3,306000.0,172699100.0,2868000.0,-36000.0,1000.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,629.25,172699100.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,566.85,570.95,556.25,564.0,564.0,564.3,564.0,517000.0,290850750.0,2913000.0,45000.0,1000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,629.25,290850750.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,563.0,563.0,563.0,563.0,563.0,569.75,571.3,1000.0,563000.0,8000.0,1000.0,1000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,629.25,563000.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,565.1,566.75,560.2,566.3,566.1,566.85,566.3,14000.0,7894250.0,99000.0,0.0,1000.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,629.25,7894250.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,566.7,571.25,561.0,570.9,571.1,566.3,570.9,45000.0,25494900.0,120000.0,21000.0,1000.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,629.25,25494900.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,575.0,575.0,575.0,575.0,575.0,563.0,576.0,1000.0,575000.0,9000.0,1000.0,1000.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,629.25,575000.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,563.35,570.2,558.25,568.95,569.2,564.0,568.95,521000.0,294699900.0,2794000.0,-119000.0,1000.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,629.25,294699900.0
FUTSTK,SYNGENE,23-Feb-2023,0,XX,N,567.95,575.0,562.5,572.6,570.55,568.95,572.6,595000.0,338942850.0,2747000.0,-47000.0,1000.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,629.25,338942850.0
FUTSTK,SYNGENE,29-Mar-2023,0,XX,N,572.65,578.25,566.0,574.45,574.4,570.9,574.45,144000.0,82287150.0,179000.0,59000.0,1000.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,629.25,82287150.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,572.4,578.0,572.4,578.0,578.0,575.0,580.1,4000.0,2298800.0,5000.0,-4000.0,1000.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,629.25,2298800.0
FUTSTK,SYNGENE,27-Apr-2023,0,XX,N,571.95,571.95,571.95,571.95,571.95,578.0,575.2,1000.0,571950.0,6000.0,1000.0,1000.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,629.25,571950.0
