FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,TATACONSUM,FUTSTK,,1071.516357421875,1084.43091976143,1088.7686675089888,1067.7700933802187,2229535,1071.516357421875,550,YFINANCE
01-Apr-2025,TATACONSUM,FUTSTK,,984.9501342773438,995.6210478006307,1007.0860637014482,981.9722049220078,1045548,984.9501342773438,550,YFINANCE
01-Apr-2026,TATACONSUM,FUTSTK,,1023.7999877929688,1025.0,1036.0,1013.0,1309809,1023.7999877929688,550,YFINANCE
01-Aug-2023,TATACONSUM,FUTSTK,,844.6238403320312,849.7009729826402,851.081121737138,841.0254771713529,987812,844.6238403320312,550,YFINANCE
01-Aug-2024,TATACONSUM,FUTSTK,,1199.4603271484375,1180.20302578664,1207.0540714872293,1179.2600632621943,1675363,1199.4603271484375,550,YFINANCE
01-Aug-2025,TATACONSUM,FUTSTK,,1070.4000244140625,1067.0999755859375,1089.9000244140625,1067.0,1040166,1070.4000244140625,550,YFINANCE
01-Dec-2023,TATACONSUM,FUTSTK,,929.505126953125,932.5120061986144,939.4129300541073,926.449027599919,1129388,929.505126953125,550,YFINANCE
01-Dec-2025,TATACONSUM,FUTSTK,,1163.800048828125,1172.4000244140625,1178.0,1159.5999755859375,487062,1163.800048828125,550,YFINANCE
01-Feb-2024,TATACONSUM,FUTSTK,,1113.661376953125,1102.1762426636517,1118.837070400338,1092.3177789546744,4728358,1113.661376953125,550,YFINANCE
01-Feb-2025,TATACONSUM,FUTSTK,,1061.979248046875,1018.4518702253973,1067.0913844954212,1007.2846348062592,3077657,1061.979248046875,550,YFINANCE
01-Jan-2024,TATACONSUM,FUTSTK,,1064.8125,1078.3678858031128,1078.3678858031128,1060.7705544835835,936544,1064.8125,550,YFINANCE
