FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,6789.95,6789.95,6550.05,6707.55,6703.75,6793.9,6707.55,62100.0,417849660.0,43000.0,43000.0,100.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,6670.75,417849660.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,6784.0,6824.95,6773.7,6819.9,6819.9,6881.1,6791.75,400.0,2720255.0,200.0,200.0,100.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,6670.75,2720255.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,0.0,0.0,0.0,6842.7,0.0,6842.7,6753.9,0.0,0.0,0.0,0.0,100.0,29-Nov-2024,2024-11-28T18:30:00.000+00:00,6670.75,0.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,6774.5,6845.5,6725.0,6825.05,6825.05,6819.9,6821.9,400.0,2717005.0,600.0,400.0,100.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,6712.95,2717005.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,6631.0,6821.2,6590.25,6752.55,6744.0,6707.55,6752.55,57800.0,390440475.0,63500.0,20500.0,100.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,6712.95,390440475.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,6730.55,6811.9,6718.85,6790.6,6775.0,6842.7,6790.6,1200.0,8130265.0,600.0,600.0,100.0,02-Dec-2024,2024-12-01T18:30:00.000+00:00,6712.95,8130265.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,6848.2,7250.6,6848.2,7185.05,7180.25,6790.6,7185.05,16900.0,121131105.0,6800.0,6200.0,100.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,7098.55,121131105.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,6787.35,7214.75,6787.0,7136.65,7117.05,6752.55,7136.65,597100.0,4250773500.0,269000.0,205500.0,100.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,7098.55,4250773500.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,6961.9,7287.95,6961.9,7213.9,7220.4,6825.05,7213.9,2500.0,17979470.0,2100.0,1500.0,100.0,03-Dec-2024,2024-12-02T18:30:00.000+00:00,7098.55,17979470.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7220.4,7280.3,7164.1,7240.6,7240.6,7213.9,7252.1,600.0,4338735.0,2200.0,100.0,100.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,7138.95,4338735.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7165.85,7269.0,7144.5,7220.1,7224.0,7185.05,7220.1,7200.0,51816395.0,8000.0,1200.0,100.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,7138.95,51816395.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7159.75,7235.0,7092.0,7168.85,7180.9,7136.65,7168.85,238500.0,1706802620.0,322300.0,53300.0,100.0,04-Dec-2024,2024-12-03T18:30:00.000+00:00,7138.95,1706802620.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7401.9,7560.4,7392.5,7475.4,7482.8,7240.6,7475.4,2400.0,17920850.0,3000.0,800.0,100.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,7367.75,17920850.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7254.75,7562.65,7254.75,7448.75,7446.15,7220.1,7448.75,20900.0,155160780.0,10200.0,2200.0,100.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,7367.75,155160780.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7201.0,7514.8,7182.2,7400.75,7395.05,7168.85,7400.75,545900.0,4023398680.0,379900.0,57600.0,100.0,05-Dec-2024,2024-12-04T18:30:00.000+00:00,7367.75,4023398680.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7399.45,7464.85,7342.0,7433.4,7435.0,7400.75,7433.4,140200.0,1039124810.0,399400.0,19500.0,100.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,7396.45,1039124810.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7482.8,7542.35,7446.85,7530.05,7532.75,7475.4,7530.05,4500.0,33734240.0,4400.0,1400.0,100.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,7396.45,33734240.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7420.0,7505.0,7390.05,7483.6,7483.8,7448.75,7483.6,5900.0,44003185.0,12000.0,1800.0,100.0,06-Dec-2024,2024-12-05T18:30:00.000+00:00,7396.45,44003185.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7540.0,7540.0,7440.55,7470.55,7471.05,7530.05,7470.55,3500.0,26154050.0,4500.0,100.0,100.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,7356.0,26154050.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7504.95,7525.0,7390.0,7439.65,7445.0,7483.6,7439.65,7300.0,54310565.0,13600.0,1600.0,100.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,7356.0,54310565.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7405.1,7484.85,7332.95,7387.8,7395.0,7433.4,7387.8,146200.0,1079877565.0,427900.0,28500.0,100.0,09-Dec-2024,2024-12-08T18:30:00.000+00:00,7356.0,1079877565.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7491.0,7539.9,7443.6,7494.7,7490.35,7470.55,7494.7,7100.0,53249960.0,4300.0,-200.0,100.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,7403.15,53249960.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7355.15,7450.0,7355.15,7417.0,7411.0,7387.8,7417.0,125500.0,929771025.0,431800.0,3900.0,100.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,7403.15,929771025.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7439.65,7489.95,7421.3,7468.35,7449.0,7439.65,7468.35,6500.0,48520005.0,14800.0,1200.0,100.0,10-Dec-2024,2024-12-09T18:30:00.000+00:00,7403.15,48520005.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7452.0,7454.0,7391.05,7437.7,7445.9,7468.35,7437.7,4800.0,35648450.0,16000.0,1200.0,100.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,7350.25,35648450.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7440.0,7484.8,7437.2,7484.8,7484.8,7494.7,7456.8,400.0,2979920.0,4300.0,0.0,100.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,7350.25,2979920.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7459.6,7459.6,7332.65,7382.65,7387.95,7417.0,7382.65,100000.0,737933885.0,445100.0,13300.0,100.0,11-Dec-2024,2024-12-10T18:30:00.000+00:00,7350.25,737933885.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7472.45,7520.65,7380.0,7400.9,7393.0,7437.7,7400.9,17400.0,129725545.0,20400.0,4400.0,100.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,7319.7,129725545.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7384.0,7471.55,7310.0,7350.45,7337.65,7382.65,7350.45,330200.0,2445989105.0,511600.0,66500.0,100.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,7319.7,2445989105.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7515.35,7546.7,7437.75,7441.85,7450.0,7484.8,7441.85,3100.0,23223065.0,6000.0,1700.0,100.0,12-Dec-2024,2024-12-11T18:30:00.000+00:00,7319.7,23223065.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7385.65,7536.1,7335.6,7493.15,7473.2,7441.85,7493.15,4800.0,35675005.0,6500.0,500.0,100.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,7364.4,35675005.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7348.65,7439.0,7227.3,7388.85,7387.95,7350.45,7388.85,256800.0,1884379185.0,487500.0,-24100.0,100.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,7364.4,1884379185.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7380.0,7491.95,7285.35,7445.2,7439.0,7400.9,7445.2,21000.0,155967995.0,23000.0,2600.0,100.0,13-Dec-2024,2024-12-12T18:30:00.000+00:00,7364.4,155967995.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7480.4,7480.4,7410.0,7436.65,7426.9,7445.2,7436.65,9400.0,69869795.0,26500.0,3500.0,100.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,7357.0,69869795.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7500.0,7500.0,7497.55,7497.65,7497.7,7493.15,7497.65,300.0,2249525.0,6800.0,300.0,100.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,7357.0,2249525.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7387.85,7442.45,7336.0,7384.85,7378.4,7388.85,7384.85,90500.0,667863310.0,491900.0,4400.0,100.0,16-Dec-2024,2024-12-15T18:30:00.000+00:00,7357.0,667863310.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7390.8,7423.85,7255.9,7301.45,7290.0,7384.85,7301.45,138600.0,1015198165.0,501400.0,9500.0,100.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,7273.65,1015198165.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7502.1,7527.0,7386.85,7396.75,7400.0,7497.65,7396.75,1700.0,12663615.0,6600.0,-200.0,100.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,7273.65,12663615.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7436.65,7482.7,7315.15,7351.55,7356.85,7436.65,7351.55,20000.0,147689070.0,33900.0,7400.0,100.0,17-Dec-2024,2024-12-16T18:30:00.000+00:00,7273.65,147689070.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7299.4,7384.9,7225.0,7242.1,7238.4,7301.45,7242.1,212000.0,1544082720.0,533200.0,31800.0,100.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,7230.55,1544082720.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7452.65,7462.85,7330.25,7339.75,7346.95,7396.75,7339.75,3800.0,28043480.0,6800.0,200.0,100.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,7230.55,28043480.0
FUTSTK,TATAELXSI,30-Jan-2025,0,XX,N,7351.55,7435.0,7267.15,7282.1,7285.9,7351.55,7282.1,44200.0,323077695.0,57900.0,24000.0,100.0,18-Dec-2024,2024-12-17T18:30:00.000+00:00,7230.55,323077695.0
FUTSTK,TATAELXSI,27-Feb-2025,0,XX,N,7239.65,7384.9,7221.7,7343.2,7343.2,7339.75,7343.2,4000.0,29339685.0,7400.0,600.0,100.0,19-Dec-2024,2024-12-18T18:30:00.000+00:00,7235.3,29339685.0
FUTSTK,TATAELXSI,26-Dec-2024,0,XX,N,7157.0,7319.95,7092.85,7259.8,7255.0,7242.1,7259.8,247200.0,1789445645.0,533900.0,700.0,100.0,19-Dec-2024,2024-12-18T18:30:00.000+00:00,7235.3,1789445645.0
