FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TATASTEEL,27-Apr-2023,0,XX,N,110.5,111.3,110.0,111.05,110.95,110.8,111.05,440000.0,48706900.0,1408000.0,0.0,5500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,168.0,48706900.0
FUTSTK,TATASTEEL,29-Mar-2023,0,XX,N,110.2,110.8,109.3,110.3,110.45,109.8,110.3,5527500.0,608523575.0,14047000.0,1474000.0,5500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,168.0,608523575.0
FUTSTK,TATASTEEL,23-Feb-2023,0,XX,N,109.7,110.15,108.55,109.65,109.65,109.1,109.65,30426000.0,3330013775.0,182611000.0,-3927000.0,5500.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,168.0,3330013775.0
FUTSTK,TATASTEEL,29-Mar-2023,0,XX,N,110.25,111.6,109.8,111.2,111.2,110.3,111.2,11412500.0,1263080500.0,19288500.0,5241500.0,5500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,168.0,1263080500.0
FUTSTK,TATASTEEL,27-Apr-2023,0,XX,N,111.45,112.2,110.7,111.95,111.95,111.05,111.95,418000.0,46653750.0,1468500.0,60500.0,5500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,168.0,46653750.0
FUTSTK,TATASTEEL,23-Feb-2023,0,XX,N,109.5,110.9,109.05,110.5,110.5,109.65,110.5,45177000.0,4972081125.0,177716000.0,-4895000.0,5500.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,168.0,4972081125.0
FUTSTK,TATASTEEL,29-Mar-2023,0,XX,N,111.75,112.95,111.55,112.8,112.75,111.2,112.8,12699500.0,1424258550.0,23336500.0,4048000.0,5500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,168.0,1424258550.0
FUTSTK,TATASTEEL,23-Feb-2023,0,XX,N,111.0,112.2,110.85,112.1,112.1,110.5,112.1,38346000.0,4274476800.0,168091000.0,-9625000.0,5500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,168.0,4274476800.0
FUTSTK,TATASTEEL,27-Apr-2023,0,XX,N,112.5,113.6,112.3,113.55,113.55,111.95,113.55,610500.0,68882550.0,1281500.0,-187000.0,5500.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,168.0,68882550.0
FUTSTK,TATASTEEL,27-Apr-2023,0,XX,N,111.0,114.55,111.0,113.75,113.55,113.55,113.75,594000.0,67734425.0,1298000.0,16500.0,5500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,168.0,67734425.0
FUTSTK,TATASTEEL,23-Feb-2023,0,XX,N,111.85,113.2,111.5,112.15,112.1,112.1,112.15,42212500.0,4751340825.0,157261500.0,-10829500.0,5500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,168.0,4751340825.0
FUTSTK,TATASTEEL,29-Mar-2023,0,XX,N,112.35,113.95,112.35,112.9,112.75,112.8,112.9,17968500.0,2036080750.0,31394000.0,8057500.0,5500.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,168.0,2036080750.0
FUTSTK,TATASTEEL,29-Mar-2023,0,XX,N,113.05,113.55,111.65,112.95,113.0,112.9,112.95,45859000.0,5177756375.0,61858500.0,30464500.0,5500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,168.0,5177756375.0
FUTSTK,TATASTEEL,27-Apr-2023,0,XX,N,113.4,114.3,112.6,113.7,113.7,113.75,113.7,940500.0,106940625.0,1749000.0,451000.0,5500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,168.0,106940625.0
FUTSTK,TATASTEEL,23-Feb-2023,0,XX,N,112.15,112.95,110.9,112.25,112.15,112.15,112.25,54714000.0,6136017525.0,122985500.0,-34276000.0,5500.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,168.0,6136017525.0
