FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TITAN,28-Apr-2026,0,XX,N,4006.4,4040.0,4006.4,4040.0,4040.0,4007.0,4030.5,2275.0,9134457.5,4375.0,700.0,175.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,3977.4,9134457.5
FUTSTK,TITAN,24-Feb-2026,0,XX,N,3961.8,3999.5,3928.3,3986.3,3983.1,3961.7,3986.3,1110025.0,4410908005.0,8149575.0,-113225.0,175.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,3977.4,4410908005.0
FUTSTK,TITAN,30-Mar-2026,0,XX,N,3980.0,4022.0,3956.7,4011.0,4010.7,3985.7,4011.0,47075.0,188181682.5,369950.0,-3850.0,175.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,3977.4,188181682.5
FUTSTK,TITAN,24-Feb-2026,0,XX,N,3970.0,3987.1,3864.0,3961.7,3957.1,3990.6,3961.7,1393700.0,5464656312.5,8262800.0,168350.0,175.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,3939.7,5464656312.5
FUTSTK,TITAN,30-Mar-2026,0,XX,N,3981.4,3993.3,3892.0,3985.7,3982.0,4013.8,3985.7,77175.0,304816260.0,373800.0,16275.0,175.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,3939.7,304816260.0
FUTSTK,TITAN,28-Apr-2026,0,XX,N,3994.4,4007.0,3920.0,4007.0,4007.0,4033.0,4007.0,3500.0,13863937.5,3675.0,1400.0,175.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,3939.7,13863937.5
FUTSTK,TITAN,28-Apr-2026,0,XX,N,4058.4,4062.6,4033.0,4033.0,4033.0,4059.2,4029.5,2800.0,11317215.0,2275.0,2275.0,175.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,3975.2,11317215.0
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4065.0,4065.0,4007.6,4013.8,4012.5,4053.2,4013.8,18200.0,73280147.5,357525.0,2275.0,175.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,3975.2,73280147.5
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4059.0,4059.0,3978.0,3990.6,3988.0,4025.5,3990.6,858550.0,3430605185.0,8094450.0,-24675.0,175.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,3975.2,3430605185.0
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4021.2,4049.1,3957.9,3998.0,3991.7,4018.7,3997.0,1058750.0,4227551930.0,657125.0,-334775.0,175.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,3997.0,4227551930.0
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4082.4,4082.4,4009.0,4053.2,4062.0,4060.7,4053.2,43750.0,176834000.0,355250.0,17150.0,175.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,3997.0,176834000.0
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4029.5,4065.6,3978.9,4025.5,4024.6,4035.1,4025.5,2372300.0,9533440735.0,8119125.0,546175.0,175.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,3997.0,9533440735.0
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4016.8,4088.9,4001.7,4035.1,4026.0,4038.4,4035.1,3918250.0,15896758045.0,7572950.0,2675750.0,175.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,4021.8,15896758045.0
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4030.0,4065.4,3977.2,4018.7,4014.2,4015.9,4018.7,3457825.0,13956878880.0,991900.0,-2794050.0,175.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,4021.8,13956878880.0
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4031.0,4110.0,4031.0,4060.7,4059.8,4071.0,4060.7,34300.0,140214392.5,338100.0,5250.0,175.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,4021.8,140214392.5
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4094.6,4124.8,3977.8,4015.9,4017.3,4076.0,4015.9,3564400.0,14394960177.5,3785950.0,-2509500.0,175.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,4018.6,14394960177.5
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4167.0,4167.0,4028.1,4071.0,4071.5,4127.4,4071.0,15925.0,64977902.5,332850.0,2275.0,175.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,4018.6,64977902.5
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4111.0,4148.4,4001.2,4038.4,4038.4,4098.0,4038.4,3124625.0,12690416042.5,4897200.0,2383850.0,175.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,4018.6,12690416042.5
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4130.0,4164.0,4104.3,4127.4,4128.2,4131.7,4127.4,12600.0,52063882.5,330575.0,1575.0,175.0,21-Jan-2026,2026-01-20T18:30:00.000+00:00,4079.2,52063882.5
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4080.0,4115.3,4055.0,4076.0,4085.7,4080.9,4076.0,2637950.0,10764825120.0,6295450.0,-1926400.0,175.0,21-Jan-2026,2026-01-20T18:30:00.000+00:00,4079.2,10764825120.0
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4105.6,4138.6,4077.2,4098.0,4108.2,4104.6,4098.0,2212875.0,9079472640.0,2513350.0,1839775.0,175.0,21-Jan-2026,2026-01-20T18:30:00.000+00:00,4079.2,9079472640.0
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4122.8,4155.2,4070.0,4080.9,4080.0,4150.9,4080.9,1030225.0,4234157935.0,8221850.0,-516250.0,175.0,20-Jan-2026,2026-01-19T18:30:00.000+00:00,4075.5,4234157935.0
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4175.0,4175.0,4092.9,4104.6,4105.0,4173.9,4104.6,419825.0,1736522760.0,673575.0,284375.0,175.0,20-Jan-2026,2026-01-19T18:30:00.000+00:00,4075.5,1736522760.0
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4198.0,4198.0,4121.7,4131.7,4134.1,4197.8,4131.7,115850.0,480835022.5,329000.0,96600.0,175.0,20-Jan-2026,2026-01-19T18:30:00.000+00:00,4075.5,480835022.5
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4206.1,4212.8,4138.2,4150.9,4149.1,4204.4,4150.9,702450.0,2925765675.0,8738100.0,-297500.0,175.0,19-Jan-2026,2026-01-18T18:30:00.000+00:00,4144.1,2925765675.0
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4217.1,4237.4,4161.1,4173.9,4170.2,4228.9,4173.9,109375.0,457603667.5,389200.0,26250.0,175.0,19-Jan-2026,2026-01-18T18:30:00.000+00:00,4144.1,457603667.5
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4260.0,4260.0,4190.0,4197.8,4199.6,4257.5,4197.8,103600.0,436204387.5,232400.0,91175.0,175.0,19-Jan-2026,2026-01-18T18:30:00.000+00:00,4144.1,436204387.5
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4236.9,4251.0,4192.9,4204.4,4201.2,4231.2,4204.4,568925.0,2399433365.0,9035600.0,-53725.0,175.0,16-Jan-2026,2026-01-15T18:30:00.000+00:00,4196.9,2399433365.0
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4259.1,4272.2,4217.7,4228.9,4227.3,4254.9,4228.9,84175.0,357575557.5,362950.0,33075.0,175.0,16-Jan-2026,2026-01-15T18:30:00.000+00:00,4196.9,357575557.5
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4271.7,4294.2,4246.0,4257.5,4258.5,4282.2,4257.5,5600.0,23963537.5,141225.0,875.0,175.0,16-Jan-2026,2026-01-15T18:30:00.000+00:00,4196.9,23963537.5
FUTSTK,TITAN,30-Mar-2026,0,XX,N,4287.6,4338.8,4278.4,4282.2,4282.9,4291.1,4282.2,7000.0,30160602.5,140350.0,4375.0,175.0,14-Jan-2026,2026-01-13T18:30:00.000+00:00,4221.5,30160602.5
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4257.8,4315.7,4243.9,4254.9,4255.3,4266.2,4254.9,44625.0,190666980.0,329875.0,7350.0,175.0,14-Jan-2026,2026-01-13T18:30:00.000+00:00,4221.5,190666980.0
FUTSTK,TITAN,27-Jan-2026,0,XX,N,4269.0,4292.1,4217.8,4231.2,4231.9,4242.1,4231.2,688450.0,2924916942.5,9089325.0,-85050.0,175.0,14-Jan-2026,2026-01-13T18:30:00.000+00:00,4221.5,2924916942.5
FUTSTK,TITAN,24-Feb-2026,0,XX,N,4278.2,4295.0,4243.3,4266.2,4261.0,4273.0,4266.2,51450.0,219822470.0,322525.0,8575.0,175.0,13-Jan-2026,2026-01-12T18:30:00.000+00:00,4239.2,219822470.0
