FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1359.4,1399.2,1357.0,1395.3,1390.0,1359.5,1395.3,630275.0,874312380.0,3060000.0,88825.0,425.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,1407.5,874312380.0
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1383.6,1413.5,1383.0,1413.2,1412.4,1345.7,1413.2,2125.0,2977550.0,3400.0,425.0,425.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,1407.5,2977550.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1374.6,1403.9,1374.6,1400.4,1396.6,1362.9,1400.4,27625.0,38508102.5,37400.0,1700.0,425.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,1407.5,38508102.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1398.8,1398.8,1332.3,1359.5,1353.1,1326.2,1359.5,490875.0,662935570.0,2971175.0,-18275.0,425.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,1370.3,662935570.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1373.6,1373.6,1338.0,1362.9,1362.1,1330.0,1362.9,19125.0,25948800.0,35700.0,425.0,425.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,1370.3,25948800.0
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1345.7,1345.7,1345.7,1345.7,1345.7,1318.6,1387.8,425.0,571922.5,2975.0,-425.0,425.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,1370.3,571922.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1271.0,1329.4,1271.0,1326.2,1324.3,1287.9,1326.2,639625.0,840437330.0,2989450.0,70975.0,425.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,1329.6,840437330.0
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1320.0,1328.2,1310.5,1318.6,1318.6,1303.0,1346.7,2550.0,3366637.5,3400.0,425.0,425.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,1329.6,3366637.5
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1298.1,1332.0,1298.1,1330.0,1328.6,1293.3,1330.0,11900.0,15650157.5,35275.0,425.0,425.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,1329.6,15650157.5
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1393.2,1393.2,1281.2,1293.3,1281.2,1380.9,1293.3,26775.0,35555797.5,34850.0,425.0,425.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,1297.5,35555797.5
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1385.0,1385.0,1303.0,1303.0,1303.0,1370.3,1303.0,3400.0,4517622.5,2975.0,1700.0,425.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,1297.5,4517622.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1375.5,1393.2,1251.1,1287.9,1286.8,1375.4,1287.9,701675.0,931345425.0,2918475.0,-76075.0,425.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,1297.5,931345425.0
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1370.3,1370.3,1370.3,1370.3,1370.3,1345.0,1406.1,425.0,582377.5,1275.0,0.0,425.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,1387.6,582377.5
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1360.0,1383.7,1344.3,1380.9,1376.6,1370.1,1380.9,19975.0,27221335.0,34425.0,425.0,425.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,1387.6,27221335.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1365.3,1378.0,1334.4,1375.4,1375.1,1365.6,1375.4,1107550.0,1509530725.0,2994550.0,112625.0,425.0,30-Jan-2026,2026-01-29T18:30:00.000+00:00,1387.6,1509530725.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1338.8,1370.9,1327.9,1365.6,1365.3,1331.4,1365.6,552075.0,746693890.0,2881925.0,62475.0,425.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,1371.2,746693890.0
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1341.4,1345.0,1341.4,1345.0,1345.0,1339.0,1389.7,850.0,1141720.0,1275.0,425.0,425.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,1371.2,1141720.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1346.4,1375.0,1332.4,1370.1,1375.0,1345.1,1370.1,20400.0,27713570.0,34000.0,2975.0,425.0,29-Jan-2026,2026-01-28T18:30:00.000+00:00,1371.2,27713570.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1330.7,1346.8,1328.0,1345.1,1345.7,1316.2,1345.1,9775.0,13098032.5,31025.0,2550.0,425.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,1332.9,13098032.5
FUTSTK,TORNTPOWER,28-Apr-2026,0,XX,N,1339.0,1339.0,1339.0,1339.0,1339.0,1330.1,1351.1,850.0,1138150.0,850.0,850.0,425.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,1332.9,1138150.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1314.9,1339.4,1314.8,1331.4,1337.0,1306.5,1331.4,640050.0,851459875.0,2819450.0,-36975.0,425.0,28-Jan-2026,2026-01-27T18:30:00.000+00:00,1332.9,851459875.0
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1271.8,1319.5,1269.5,1308.5,1318.5,1270.2,1309.75,735675.0,953853935.0,361675.0,-258825.0,425.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,1309.7,953853935.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1286.0,1316.2,1280.7,1316.2,1316.2,1273.6,1316.2,8925.0,11600332.5,28475.0,4675.0,425.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,1309.7,11600332.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1274.2,1315.1,1268.6,1306.5,1296.2,1267.5,1306.5,1258425.0,1628609732.5,2856425.0,314500.0,425.0,27-Jan-2026,2026-01-26T18:30:00.000+00:00,1309.7,1628609732.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1301.7,1314.5,1262.4,1267.5,1273.2,1314.7,1267.5,1465400.0,1879935862.5,2541925.0,617100.0,425.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,1270.7,1879935862.5
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1315.8,1320.2,1266.3,1270.2,1278.0,1322.1,1270.2,1194675.0,1542662280.0,620500.0,-529125.0,425.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,1270.7,1542662280.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1300.0,1300.0,1273.5,1273.6,1273.6,1313.9,1273.6,2975.0,3805917.5,23800.0,2125.0,425.0,23-Jan-2026,2026-01-22T18:30:00.000+00:00,1270.7,3805917.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1304.8,1318.2,1296.0,1314.7,1315.1,1293.5,1314.7,1532975.0,2001974995.0,1924825.0,935850.0,425.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,1321.4,2001974995.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1305.7,1315.0,1305.7,1313.9,1313.9,1303.0,1334.9,4250.0,5582672.5,21675.0,850.0,425.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,1321.4,5582672.5
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1316.8,1325.8,1303.4,1322.1,1324.3,1303.3,1322.1,1420350.0,1864762895.0,1149625.0,-904400.0,425.0,22-Jan-2026,2026-01-21T18:30:00.000+00:00,1321.4,1864762895.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1311.4,1316.0,1285.0,1293.5,1298.8,1313.5,1293.5,1581000.0,2053840422.5,988975.0,757350.0,425.0,21-Jan-2026,2026-01-20T18:30:00.000+00:00,1300.2,2053840422.5
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1311.1,1327.0,1297.9,1303.3,1306.9,1320.6,1303.3,1626050.0,2131973315.0,2054025.0,-748000.0,425.0,21-Jan-2026,2026-01-20T18:30:00.000+00:00,1300.2,2131973315.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1325.0,1325.0,1295.5,1303.0,1303.0,1320.8,1303.0,17850.0,23284900.0,20825.0,7225.0,425.0,21-Jan-2026,2026-01-20T18:30:00.000+00:00,1300.2,23284900.0
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1320.3,1351.4,1315.7,1320.6,1316.8,1339.8,1320.6,578850.0,770710130.0,2802025.0,-86700.0,425.0,20-Jan-2026,2026-01-19T18:30:00.000+00:00,1321.5,770710130.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1326.8,1326.8,1320.8,1320.8,1320.8,1365.7,1320.8,1700.0,2252330.0,13600.0,425.0,425.0,20-Jan-2026,2026-01-19T18:30:00.000+00:00,1321.5,2252330.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1318.2,1344.4,1308.8,1313.5,1308.8,1334.4,1313.5,142800.0,189369927.5,231625.0,35275.0,425.0,20-Jan-2026,2026-01-19T18:30:00.000+00:00,1321.5,189369927.5
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1347.0,1363.0,1331.9,1334.4,1334.9,1350.5,1334.4,69700.0,93940852.5,196350.0,34425.0,425.0,19-Jan-2026,2026-01-18T18:30:00.000+00:00,1337.4,93940852.5
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1359.4,1365.7,1359.4,1365.7,1365.7,1353.5,1351.5,1275.0,1736167.5,13175.0,850.0,425.0,19-Jan-2026,2026-01-18T18:30:00.000+00:00,1337.4,1736167.5
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1355.0,1370.5,1335.4,1339.8,1341.0,1356.6,1339.8,403325.0,545495957.5,2888725.0,8075.0,425.0,19-Jan-2026,2026-01-18T18:30:00.000+00:00,1337.4,545495957.5
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1346.2,1374.8,1346.2,1356.6,1356.5,1349.5,1356.6,494700.0,673860662.5,2880650.0,100725.0,425.0,16-Jan-2026,2026-01-15T18:30:00.000+00:00,1357.7,673860662.5
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,0.0,0.0,0.0,1353.5,1353.5,1353.5,1372.7,0.0,0.0,12325.0,0.0,425.0,16-Jan-2026,2026-01-15T18:30:00.000+00:00,1357.7,0.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1355.3,1368.0,1347.5,1350.5,1349.2,1344.3,1350.5,48875.0,66372760.0,161925.0,19975.0,425.0,16-Jan-2026,2026-01-15T18:30:00.000+00:00,1357.7,66372760.0
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1331.3,1358.0,1327.9,1349.5,1350.5,1345.7,1349.5,352325.0,474906730.0,2779925.0,17425.0,425.0,14-Jan-2026,2026-01-13T18:30:00.000+00:00,1345.1,474906730.0
FUTSTK,TORNTPOWER,24-Feb-2026,0,XX,N,1326.5,1350.3,1326.5,1344.3,1346.0,1343.8,1344.3,41225.0,55333300.0,141950.0,4250.0,425.0,14-Jan-2026,2026-01-13T18:30:00.000+00:00,1345.1,55333300.0
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1353.5,1353.5,1353.5,1353.5,1353.5,1342.5,1360.4,425.0,575237.5,12325.0,0.0,425.0,14-Jan-2026,2026-01-13T18:30:00.000+00:00,1345.1,575237.5
FUTSTK,TORNTPOWER,27-Jan-2026,0,XX,N,1358.7,1361.7,1334.1,1345.7,1341.0,1353.3,1345.7,264350.0,355370592.5,2762500.0,-9350.0,425.0,13-Jan-2026,2026-01-12T18:30:00.000+00:00,1346.5,355370592.5
FUTSTK,TORNTPOWER,30-Mar-2026,0,XX,N,1342.1,1342.5,1342.1,1342.5,1342.5,1345.5,1362.0,1275.0,1711475.0,12325.0,1275.0,425.0,13-Jan-2026,2026-01-12T18:30:00.000+00:00,1346.5,1711475.0
