FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TRENT,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1230.0,1230.0,1230.0,1231.7,0.0,0.0,800.0,0.0,400.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,4359.1,0.0
FUTSTK,TRENT,29-Mar-2023,0,XX,N,1247.7,1252.65,1216.3,1224.05,1224.0,1239.35,1224.05,10000.0,12359060.0,53200.0,2800.0,400.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,4359.1,12359060.0
FUTSTK,TRENT,23-Feb-2023,0,XX,N,1233.8,1249.8,1208.0,1218.35,1217.2,1231.95,1218.35,666000.0,815105240.0,4764400.0,22400.0,400.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,4359.1,815105240.0
FUTSTK,TRENT,29-Mar-2023,0,XX,N,1224.1,1247.85,1221.0,1242.3,1240.05,1224.05,1242.3,6000.0,7436380.0,52800.0,-400.0,400.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,4359.1,7436380.0
FUTSTK,TRENT,27-Apr-2023,0,XX,N,0.0,0.0,0.0,1230.0,1230.0,1230.0,1255.0,0.0,0.0,800.0,0.0,400.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,4359.1,0.0
FUTSTK,TRENT,23-Feb-2023,0,XX,N,1222.0,1242.9,1211.15,1237.7,1238.5,1218.35,1237.7,722400.0,889682620.0,4683200.0,-81200.0,400.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,4359.1,889682620.0
FUTSTK,TRENT,27-Apr-2023,0,XX,N,1315.0,1360.0,1304.2,1357.65,1356.5,1230.0,1357.65,19600.0,25798040.0,14800.0,14000.0,400.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,4359.1,25798040.0
FUTSTK,TRENT,23-Feb-2023,0,XX,N,1271.65,1346.95,1267.0,1343.7,1342.9,1237.7,1343.7,4364000.0,5724967320.0,4573200.0,-110000.0,400.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,4359.1,5724967320.0
FUTSTK,TRENT,29-Mar-2023,0,XX,N,1281.15,1354.15,1274.5,1350.9,1350.75,1242.3,1350.9,139200.0,183690900.0,66400.0,13600.0,400.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,4359.1,183690900.0
FUTSTK,TRENT,29-Mar-2023,0,XX,N,1348.4,1362.75,1335.0,1338.6,1338.45,1350.9,1338.6,53600.0,72178080.0,65600.0,-800.0,400.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,4359.1,72178080.0
