FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,788.5,794.8,784.35,794.8,794.8,790.0,792.25,3750.0,2959343.75,10625.0,1875.0,625.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,780.3,2959343.75
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,781.1,787.5,774.35,783.8,784.55,783.1,783.8,1424375.0,1112235781.25,14050000.0,-15000.0,625.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,780.3,1112235781.25
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,787.95,791.45,779.2,788.3,789.0,787.6,788.3,88125.0,69167312.5,147500.0,3750.0,625.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,780.3,69167312.5
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,788.2,799.55,788.2,797.0,796.15,788.3,797.0,90000.0,71335156.25,173125.0,25625.0,625.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,791.2,71335156.25
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,801.0,801.0,801.0,801.0,801.0,794.8,801.0,1250.0,1001250.0,10000.0,-625.0,625.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,791.2,1001250.0
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,784.35,794.7,781.0,792.65,791.75,783.8,792.65,1327500.0,1049044000.0,13999375.0,-50625.0,625.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,791.2,1049044000.0
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,792.35,796.0,788.85,793.25,793.3,792.65,793.25,725625.0,574965968.75,13937500.0,-61875.0,625.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,791.9,574965968.75
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,799.0,802.5,799.0,802.5,802.5,801.0,802.5,2500.0,2001875.0,12500.0,2500.0,625.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,791.9,2001875.0
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,796.1,800.2,794.45,798.0,798.0,797.0,798.0,35000.0,27897437.5,183125.0,10000.0,625.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,791.9,27897437.5
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,789.3,794.65,781.0,782.55,783.15,793.25,782.55,1300000.0,1021255093.75,14095000.0,157500.0,625.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,1021255093.75
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,796.95,796.95,791.5,791.95,791.5,802.5,791.95,3750.0,2975812.5,13750.0,1250.0,625.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,2975812.5
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,795.0,798.95,786.0,787.6,787.2,798.0,787.6,79375.0,62764500.0,225000.0,41875.0,625.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,,62764500.0
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,786.25,796.0,782.2,784.25,784.0,787.6,784.25,70625.0,55516968.75,255625.0,30625.0,625.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,777.75,55516968.75
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,795.0,795.0,790.0,790.0,790.0,791.95,789.0,3750.0,2968156.25,15625.0,1875.0,625.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,777.75,2968156.25
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,781.0,790.65,776.55,779.2,777.15,782.55,779.2,1389375.0,1086301250.0,14191250.0,96250.0,625.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,777.75,1086301250.0
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,776.95,779.0,772.05,775.25,775.85,779.2,775.25,866250.0,671721687.5,14176875.0,-14375.0,625.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,671721687.5
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,780.2,783.5,778.2,780.25,781.0,784.25,780.25,115625.0,90231968.75,310000.0,54375.0,625.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,90231968.75
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,786.55,786.65,783.9,783.9,783.9,790.0,783.85,4375.0,3434875.0,19375.0,3750.0,625.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,,3434875.0
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,788.4,797.5,788.4,797.5,797.5,783.9,797.5,2500.0,1985093.75,20625.0,1250.0,625.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,787.85,1985093.75
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,780.8,796.0,779.0,793.95,796.0,780.25,793.95,366875.0,289338843.75,408750.0,98750.0,625.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,787.85,289338843.75
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,775.8,792.0,773.7,788.65,790.0,775.25,788.65,1718750.0,1348145218.75,14028750.0,-148125.0,625.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,787.85,1348145218.75
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,793.75,793.75,784.7,786.45,786.9,788.65,786.45,1156875.0,912226843.75,13833125.0,-195625.0,625.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,912226843.75
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,795.7,800.85,795.7,798.35,798.35,797.5,797.5,2500.0,1994125.0,20625.0,0.0,625.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,1994125.0
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,795.15,798.2,790.0,791.45,790.5,793.95,791.45,378750.0,300635968.75,621250.0,212500.0,625.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,,300635968.75
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,788.1,790.0,777.0,781.45,780.25,798.35,781.45,23750.0,18640812.5,21250.0,625.0,625.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,18640812.5
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,783.2,788.6,771.55,776.95,776.15,791.45,776.95,1447500.0,1128238593.75,1468750.0,847500.0,625.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,1128238593.75
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,780.6,785.0,766.7,771.9,770.85,786.45,771.9,2280625.0,1766146437.5,12813125.0,-1020000.0,625.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,,1766146437.5
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,774.9,781.25,767.85,770.15,769.0,776.95,770.15,4094375.0,3167843562.5,4876250.0,3407500.0,625.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,765.75,3167843562.5
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,768.5,776.15,762.75,765.15,763.55,771.9,765.15,5234375.0,4024326156.25,9045625.0,-3767500.0,625.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,765.75,4024326156.25
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,776.95,782.35,773.0,775.95,776.2,781.45,775.95,20000.0,15560562.5,32500.0,11250.0,625.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,765.75,15560562.5
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,774.75,774.75,763.5,764.65,765.35,775.95,764.65,18125.0,13937656.25,41250.0,8750.0,625.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,13937656.25
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,767.35,768.95,752.6,753.8,754.8,765.15,753.8,3776250.0,2876698250.0,6092500.0,-2953125.0,625.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,2876698250.0
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,772.5,774.1,757.6,758.7,759.65,770.15,758.7,3873125.0,2968880656.25,7805625.0,2929375.0,625.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,,2968880656.25
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,754.55,757.45,746.55,750.7,752.0,758.7,750.7,5360000.0,4019594843.75,11385000.0,3579375.0,625.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,745.55,4019594843.75
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,750.95,752.4,742.0,746.15,745.7,753.8,746.15,4799375.0,3576748156.25,2301250.0,-3791250.0,625.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,745.55,3576748156.25
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,760.0,762.1,753.3,756.1,756.5,764.65,756.1,40000.0,30230937.5,73750.0,32500.0,625.0,22-Feb-2023,2023-02-21T18:30:00.000+00:00,745.55,30230937.5
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,755.85,762.9,747.0,752.95,753.65,756.1,752.95,133125.0,100530218.75,160000.0,86250.0,625.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,741.7,100530218.75
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,751.2,757.8,741.1,746.8,748.9,750.7,746.8,4257500.0,3192006656.25,13392500.0,2007500.0,625.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,741.7,3192006656.25
FUTSTK,MCDOWELL-N,23-Feb-2023,0,XX,N,746.3,752.75,736.4,741.0,741.85,746.15,741.7,3673125.0,2735579937.5,485000.0,-1816250.0,625.0,23-Feb-2023,2023-02-22T18:30:00.000+00:00,741.7,2735579937.5
FUTSTK,MCDOWELL-N,25-May-2023,0,XX,N,0.0,0.0,0.0,755.15,0.0,755.15,756.85,0.0,0.0,0.0,0.0,625.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,0.0
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,748.5,750.7,743.6,747.45,749.95,746.8,747.45,755625.0,565149031.25,13412500.0,20000.0,625.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,565149031.25
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,755.4,755.5,749.95,751.7,752.7,752.95,751.7,68125.0,51316750.0,165625.0,5625.0,625.0,24-Feb-2023,2023-02-23T18:30:00.000+00:00,,51316750.0
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,749.35,750.5,735.35,744.05,745.9,747.45,744.05,1001875.0,742490250.0,13313750.0,-98750.0,625.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,740.0,742490250.0
FUTSTK,MCDOWELL-N,27-Apr-2023,0,XX,N,755.45,755.45,740.55,748.55,748.1,751.7,748.55,68750.0,51257187.5,158750.0,-6875.0,625.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,740.0,51257187.5
FUTSTK,MCDOWELL-N,25-May-2023,0,XX,N,755.15,755.15,749.95,754.1,754.1,755.15,754.1,3125.0,2352687.5,3125.0,3125.0,625.0,27-Feb-2023,2023-02-26T18:30:00.000+00:00,740.0,2352687.5
FUTSTK,MCDOWELL-N,29-Mar-2023,0,XX,N,742.55,753.35,740.5,744.7,743.5,744.05,744.7,1072500.0,798807906.25,13341250.0,27500.0,625.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,798807906.25
FUTSTK,MCDOWELL-N,25-May-2023,0,XX,N,752.55,752.55,752.1,752.1,752.1,754.1,753.35,1250.0,940406.25,4375.0,1250.0,625.0,28-Feb-2023,2023-02-27T18:30:00.000+00:00,,940406.25
