FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE
01-Apr-2024,VEDL,FUTSTK,,244.13780212402344,232.24935262928838,244.77468334695567,232.1219815676546,17331916,244.13780212402344,1150,YFINANCE
01-Apr-2025,VEDL,FUTSTK,,427.14935302734375,427.709677081452,434.90044069409953,424.53454544052573,4385769,427.14935302734375,1150,YFINANCE
01-Apr-2026,VEDL,FUTSTK,,677.2000122070312,664.0,689.5,663.1500244140625,16756679,677.2000122070312,1150,YFINANCE
01-Aug-2023,VEDL,FUTSTK,,225.2531280517578,226.96144496823098,226.96144496823098,224.19561153586804,5615483,225.2531280517578,1150,YFINANCE
01-Aug-2024,VEDL,FUTSTK,,389.58111572265625,398.1882360424647,401.8832142153479,385.6252996417882,19749880,389.58111572265625,1150,YFINANCE
01-Aug-2025,VEDL,FUTSTK,,402.6440124511719,403.2606130944099,408.85749646723724,400.6518935693869,4291007,402.6440124511719,1150,YFINANCE
01-Dec-2023,VEDL,FUTSTK,,194.74754333496094,191.0055343992332,196.86260103849,189.98868212114184,9817732,194.74754333496094,1150,YFINANCE
01-Dec-2025,VEDL,FUTSTK,,524.5397338867188,526.2118208379499,528.8183146177421,521.2939533534831,10279499,524.5397338867188,1150,YFINANCE
01-Feb-2024,VEDL,FUTSTK,,228.0034942626953,233.90527105365067,234.7968944641909,225.07383005989428,7974578,228.0034942626953,1150,YFINANCE
01-Feb-2025,VEDL,FUTSTK,,410.8067626953125,415.52279293512197,417.11034461544745,402.915629094852,6736515,410.8067626953125,1150,YFINANCE
01-Jan-2024,VEDL,FUTSTK,,218.3653564453125,219.55419631886167,221.04025263948958,217.388810331853,6352734,218.3653564453125,1150,YFINANCE
01-Jan-2025,VEDL,FUTSTK,,415.05584716796875,415.33599495541597,417.8574390395061,409.7794930104937,5403126,415.05584716796875,1150,YFINANCE
01-Jan-2026,VEDL,FUTSTK,,592.7506103515625,593.0948370731566,596.9307978433717,587.8819093840015,4250535,592.7506103515625,1150,YFINANCE
01-Jul-2024,VEDL,FUTSTK,,404.27410888671875,397.31885540049564,407.62132993340094,396.6668003861622,15408362,404.27410888671875,1150,YFINANCE
01-Jul-2025,VEDL,FUTSTK,,441.96453857421875,438.26490555107483,446.0910645787726,432.9051781887223,11455315,441.96453857421875,1150,YFINANCE
01-Jun-2023,VEDL,FUTSTK,,226.22927856445312,226.14792542474137,228.18162979007178,225.82253769138705,5137986,226.22927856445312,1150,YFINANCE
01-Mar-2023,VEDL,FUTSTK,,197.4454803466797,189.25991371574597,198.36678942278994,188.6220826916705,18728209,197.4454803466797,1150,YFINANCE
01-Mar-2024,VEDL,FUTSTK,,230.8057861328125,225.11632840521474,231.73988394324434,223.84256573138074,12244554,230.8057861328125,1150,YFINANCE
01-Nov-2023,VEDL,FUTSTK,,182.01657104492188,176.52556834300805,184.5790340073823,175.9561335083222,11714180,182.01657104492188,1150,YFINANCE
01-Nov-2024,VEDL,FUTSTK,,428.6015930175781,426.44642805253324,430.1147844228776,426.44642805253324,995005,428.6015930175781,1150,YFINANCE
01-Oct-2024,VEDL,FUTSTK,,473.3555908203125,467.9905856665457,478.12440965742076,464.18467126210277,14071685,473.3555908203125,1150,YFINANCE
01-Oct-2025,VEDL,FUTSTK,,457.2141418457031,460.85334574110203,462.1320092851185,450.96844419438946,7779725,457.2141418457031,1150,YFINANCE
01-Sep-2023,VEDL,FUTSTK,,192.1037139892578,188.97181663921677,192.6324845845676,188.97181663921677,6220159,192.1037139892578,1150,YFINANCE
01-Sep-2025,VEDL,FUTSTK,,423.920166015625,415.8548515466346,427.75609654940126,415.8548515466346,7817717,423.920166015625,1150,YFINANCE
02-Apr-2024,VEDL,FUTSTK,,255.85643005371094,243.67078892020155,256.40841456339524,242.73669119008088,27928247,255.85643005371094,1150,YFINANCE
02-Apr-2025,VEDL,FUTSTK,,427.3828125,423.97421493004094,429.06378463672644,420.00529331450645,4104869,427.3828125,1150,YFINANCE
02-Apr-2026,VEDL,FUTSTK,,687.6500244140625,669.9000244140625,689.5999755859375,652.7999877929688,16016248,687.6500244140625,1150,YFINANCE
02-Aug-2023,VEDL,FUTSTK,,221.38906860351562,225.537830780446,225.6598480862833,219.9248112824788,10728356,221.38906860351562,1150,YFINANCE
02-Aug-2024,VEDL,FUTSTK,,380.89642333984375,385.9843886637673,387.69501200380785,379.22965115368885,13093052,380.89642333984375,1150,YFINANCE
02-Dec-2024,VEDL,FUTSTK,,422.3653869628906,415.8999198014856,422.9615172863252,415.44137523720616,5709168,422.3653869628906,1150,YFINANCE
02-Dec-2025,VEDL,FUTSTK,,529.5559692382812,522.1299416683062,531.0313294125715,521.392261581161,9490883,529.5559692382812,1150,YFINANCE
02-Feb-2024,VEDL,FUTSTK,,231.4426727294922,229.447131893616,235.0516670540398,228.21581758168645,9665486,231.4426727294922,1150,YFINANCE
02-Feb-2026,VEDL,FUTSTK,,649.7978515625,642.6177170441912,663.4694870830185,628.5526281138119,35747809,649.7978515625,1150,YFINANCE
02-Jan-2024,VEDL,FUTSTK,,219.2145233154297,218.66256474272137,220.2759920763167,214.92619988735208,5803881,219.2145233154297,1150,YFINANCE
02-Jan-2025,VEDL,FUTSTK,,420.00531005859375,415.14920613569745,421.9664300466583,413.001330457839,7704338,420.00531005859375,1150,YFINANCE
02-Jan-2026,VEDL,FUTSTK,,606.815673828125,594.2751118891906,608.2910340562349,593.6849317784098,9255218,606.815673828125,1150,YFINANCE
02-Jul-2024,VEDL,FUTSTK,,398.05780029296875,406.0128650403201,411.3162503826152,395.57998628125404,11050920,398.05780029296875,1150,YFINANCE
02-Jul-2025,VEDL,FUTSTK,,445.3321533203125,443.1502977866497,450.5970120922284,439.07122062550275,11881474,445.3321533203125,1150,YFINANCE
02-Jun-2023,VEDL,FUTSTK,,227.8562774658203,227.49020069297504,228.7917766541513,226.67671882042694,4851414,227.8562774658203,1150,YFINANCE
02-Jun-2025,VEDL,FUTSTK,,403.80279541015625,405.11019933461813,406.184165754006,397.73267929726296,9008143,403.80279541015625,1150,YFINANCE
02-Mar-2023,VEDL,FUTSTK,,194.8232879638672,198.4376931285936,199.89053187351678,193.97285368439708,11979398,194.8232879638672,1150,YFINANCE
