FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,VOLTAS,29-Mar-2023,0,XX,N,830.1,836.55,811.5,819.7,819.0,833.2,819.7,181800.0,149481510.0,249000.0,19200.0,600.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1395.8,149481510.0
FUTSTK,VOLTAS,23-Feb-2023,0,XX,N,827.2,832.65,807.05,816.4,814.15,829.1,816.4,3624600.0,2965325340.0,5977800.0,177600.0,600.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1395.8,2965325340.0
FUTSTK,VOLTAS,27-Apr-2023,0,XX,N,830.0,831.0,818.0,826.9,826.9,837.0,827.65,11400.0,9417690.0,22200.0,1200.0,600.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,1395.8,9417690.0
FUTSTK,VOLTAS,23-Feb-2023,0,XX,N,818.15,833.45,810.05,829.25,828.5,816.4,829.25,3157800.0,2598825630.0,6077400.0,99600.0,600.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1395.8,2598825630.0
FUTSTK,VOLTAS,29-Mar-2023,0,XX,N,822.75,837.5,815.0,832.9,832.8,819.7,832.9,352200.0,291722610.0,302400.0,53400.0,600.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1395.8,291722610.0
FUTSTK,VOLTAS,27-Apr-2023,0,XX,N,821.8,839.0,821.8,838.05,837.1,826.9,838.05,6000.0,5000700.0,22200.0,0.0,600.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,1395.8,5000700.0
FUTSTK,VOLTAS,23-Feb-2023,0,XX,N,824.95,832.5,815.0,825.7,825.9,829.25,825.7,2752200.0,2269266960.0,6204000.0,126600.0,600.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1395.8,2269266960.0
FUTSTK,VOLTAS,27-Apr-2023,0,XX,N,832.5,840.0,824.0,834.25,834.1,838.05,834.25,11400.0,9496260.0,25200.0,3000.0,600.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1395.8,9496260.0
FUTSTK,VOLTAS,29-Mar-2023,0,XX,N,825.0,835.7,819.25,829.7,830.65,832.9,829.7,135600.0,112233990.0,314400.0,12000.0,600.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,1395.8,112233990.0
FUTSTK,VOLTAS,23-Feb-2023,0,XX,N,800.0,859.6,800.0,851.7,851.5,825.7,851.7,10632600.0,8835145230.0,6683400.0,479400.0,600.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1395.8,8835145230.0
FUTSTK,VOLTAS,29-Mar-2023,0,XX,N,815.0,862.5,805.0,854.45,855.0,829.7,854.45,650400.0,545664030.0,322800.0,8400.0,600.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1395.8,545664030.0
FUTSTK,VOLTAS,27-Apr-2023,0,XX,N,817.15,865.65,810.0,858.25,857.6,834.25,858.25,39600.0,33490920.0,25200.0,0.0,600.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,1395.8,33490920.0
FUTSTK,VOLTAS,29-Mar-2023,0,XX,N,856.15,858.0,842.6,852.55,851.8,854.45,852.55,209400.0,178092030.0,331200.0,8400.0,600.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1395.8,178092030.0
FUTSTK,VOLTAS,23-Feb-2023,0,XX,N,858.65,858.65,838.7,849.55,847.95,851.7,849.55,3097200.0,2625224520.0,6358800.0,-324600.0,600.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1395.8,2625224520.0
FUTSTK,VOLTAS,27-Apr-2023,0,XX,N,859.0,859.0,847.0,857.6,856.4,858.25,857.6,36000.0,30740460.0,37800.0,12600.0,600.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,1395.8,30740460.0
FUTSTK,VOLTAS,29-Mar-2023,0,XX,N,854.7,873.85,854.7,860.3,860.1,852.55,860.3,440400.0,380061090.0,378000.0,46800.0,600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1395.8,380061090.0
FUTSTK,VOLTAS,27-Apr-2023,0,XX,N,861.5,876.4,861.5,864.7,864.2,857.6,864.7,34800.0,30173430.0,45000.0,7200.0,600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1395.8,30173430.0
FUTSTK,VOLTAS,23-Feb-2023,0,XX,N,848.55,870.5,848.55,857.2,856.0,849.55,857.2,3199800.0,2753000310.0,5911200.0,-447600.0,600.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,1395.8,2753000310.0
