FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,YESBANK,28-Apr-2026,0,XX,N,21.65,21.97,21.65,21.88,21.88,21.69,21.88,3825300.0,83676727.0,7153000.0,2519100.0,31100.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,21.55,83676727.0
FUTSTK,YESBANK,30-Mar-2026,0,XX,N,21.47,21.82,21.47,21.73,21.73,21.56,21.73,14337100.0,311247867.0,68171200.0,2550200.0,31100.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,21.55,311247867.0
FUTSTK,YESBANK,24-Feb-2026,0,XX,N,21.42,21.67,21.33,21.6,21.58,21.41,21.6,109627500.0,2365305524.0,968858300.0,-20463800.0,31100.0,04-Feb-2026,2026-02-03T18:30:00.000+00:00,21.55,2365305524.0
FUTSTK,YESBANK,24-Feb-2026,0,XX,N,21.8,21.87,21.28,21.41,21.44,21.25,21.41,166944800.0,3582933968.0,989322100.0,-1306200.0,31100.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,21.31,3582933968.0
FUTSTK,YESBANK,28-Apr-2026,0,XX,N,22.05,22.05,21.59,21.69,21.69,21.54,21.69,2612400.0,56750347.0,4633900.0,1181800.0,31100.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,21.31,56750347.0
FUTSTK,YESBANK,30-Mar-2026,0,XX,N,21.84,21.95,21.44,21.56,21.6,21.42,21.56,21427900.0,463042302.0,65621000.0,4354000.0,31100.0,03-Feb-2026,2026-02-02T18:30:00.000+00:00,21.31,463042302.0
FUTSTK,YESBANK,30-Mar-2026,0,XX,N,21.5,21.59,21.04,21.42,21.45,21.38,21.42,13155300.0,279875431.0,61267000.0,3856400.0,31100.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,21.19,279875431.0
FUTSTK,YESBANK,24-Feb-2026,0,XX,N,21.2,21.43,20.87,21.25,21.33,21.23,21.25,134134300.0,2831719377.0,990628300.0,11444800.0,31100.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,21.19,2831719377.0
FUTSTK,YESBANK,28-Apr-2026,0,XX,N,21.4,21.58,21.17,21.54,21.58,21.42,21.54,1119600.0,23901594.0,3452100.0,808600.0,31100.0,02-Feb-2026,2026-02-01T18:30:00.000+00:00,21.19,23901594.0
FUTSTK,YESBANK,24-Feb-2026,0,XX,N,21.45,21.61,20.96,21.23,21.23,21.48,21.23,109316500.0,2333507951.0,979183500.0,7184100.0,31100.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,21.14,2333507951.0
FUTSTK,YESBANK,30-Mar-2026,0,XX,N,21.59,21.74,21.12,21.38,21.38,21.63,21.38,12719900.0,273682177.0,57410600.0,2363600.0,31100.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,21.14,273682177.0
FUTSTK,YESBANK,28-Apr-2026,0,XX,N,21.68,21.87,21.4,21.42,21.42,21.77,21.42,1990400.0,43134767.0,2643500.0,279900.0,31100.0,01-Feb-2026,2026-01-31T18:30:00.000+00:00,21.14,43134767.0
