FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,471.35,482.25,470.7,480.7,479.8,472.4,480.7,3193200.0,1527443640.0,9144000.0,75600.0,1800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,924.3,1527443640.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,473.55,484.0,473.05,482.95,483.45,474.95,482.95,185400.0,89042760.0,561600.0,36000.0,1800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,924.3,89042760.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,483.4,486.0,480.3,486.0,486.0,477.7,486.8,27000.0,13076280.0,46800.0,21600.0,1800.0,07-Feb-2023,2023-02-06T18:30:00.000+00:00,924.3,13076280.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,480.15,483.0,470.7,475.2,473.6,480.7,475.2,2775600.0,1318696560.0,8794800.0,-349200.0,1800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,924.3,1318696560.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,483.25,483.35,477.2,477.2,477.2,486.0,481.3,16200.0,7790040.0,50400.0,3600.0,1800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,924.3,7790040.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,482.75,483.85,474.0,477.35,477.5,482.95,477.35,124200.0,59300100.0,541800.0,-19800.0,1800.0,08-Feb-2023,2023-02-07T18:30:00.000+00:00,924.3,59300100.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,475.5,481.5,473.35,475.05,475.1,475.2,475.05,1773000.0,844875900.0,8519400.0,-275400.0,1800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,924.3,844875900.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,481.6,481.6,481.2,481.2,481.2,477.2,481.55,7200.0,3465360.0,45000.0,-5400.0,1800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,924.3,3465360.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,482.0,482.6,476.0,477.6,477.9,477.35,477.6,45000.0,21518730.0,541800.0,0.0,1800.0,09-Feb-2023,2023-02-08T18:30:00.000+00:00,924.3,21518730.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,477.85,477.85,477.85,477.85,477.85,481.2,477.85,1800.0,860130.0,45000.0,0.0,1800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,924.3,860130.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,474.9,478.55,472.35,474.65,474.7,475.05,474.65,811800.0,385399980.0,8505000.0,-14400.0,1800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,924.3,385399980.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,476.5,478.0,475.55,476.75,476.25,477.6,476.75,28800.0,13733190.0,536400.0,-5400.0,1800.0,10-Feb-2023,2023-02-09T18:30:00.000+00:00,924.3,13733190.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,476.25,478.9,473.25,477.1,477.1,477.85,478.25,25200.0,12002760.0,50400.0,5400.0,1800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,924.3,12002760.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,474.1,475.95,469.9,474.45,475.0,476.75,474.45,158400.0,74942280.0,541800.0,5400.0,1800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,924.3,74942280.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,474.95,476.55,466.7,471.95,472.7,474.65,471.95,1540800.0,725545800.0,8107200.0,-397800.0,1800.0,13-Feb-2023,2023-02-12T18:30:00.000+00:00,924.3,725545800.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,472.3,476.4,472.3,475.65,476.1,474.45,475.65,73800.0,35061300.0,572400.0,30600.0,1800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,924.3,35061300.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,476.85,479.25,476.85,479.25,479.25,477.1,479.8,14400.0,6887250.0,50400.0,0.0,1800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,924.3,6887250.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,471.9,474.95,469.1,473.3,474.0,471.95,473.3,795600.0,376130070.0,8042400.0,-64800.0,1800.0,14-Feb-2023,2023-02-13T18:30:00.000+00:00,924.3,376130070.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,476.85,476.85,474.3,474.3,474.3,479.25,475.85,7200.0,3420180.0,45000.0,-5400.0,1800.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,924.3,3420180.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,472.7,474.55,467.6,471.0,471.5,473.3,471.0,1875600.0,881322660.0,7880400.0,-162000.0,1800.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,924.3,881322660.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,474.75,474.75,470.45,473.45,473.4,475.65,473.45,162000.0,76547160.0,574200.0,1800.0,1800.0,15-Feb-2023,2023-02-14T18:30:00.000+00:00,924.3,76547160.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,475.25,482.2,474.25,479.6,479.9,473.45,479.6,597600.0,286027290.0,770400.0,196200.0,1800.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,924.3,286027290.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,476.3,484.0,476.3,484.0,484.0,474.3,483.9,27000.0,12971340.0,48600.0,3600.0,1800.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,924.3,12971340.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,473.65,479.9,471.9,477.25,476.55,471.0,477.25,1994400.0,950613660.0,7777800.0,-102600.0,1800.0,16-Feb-2023,2023-02-15T18:30:00.000+00:00,924.3,950613660.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,475.8,478.9,470.7,471.9,473.1,477.25,471.9,1751400.0,830106180.0,7434000.0,-343800.0,1800.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,924.3,830106180.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,479.5,480.35,476.5,477.1,478.0,484.0,477.1,19800.0,9467370.0,54000.0,5400.0,1800.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,924.3,9467370.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,480.5,480.5,473.4,474.85,475.8,479.6,474.85,894600.0,426158100.0,1051200.0,280800.0,1800.0,17-Feb-2023,2023-02-16T18:30:00.000+00:00,924.3,426158100.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,472.3,474.0,466.1,469.3,467.45,474.85,469.3,2142000.0,1009705590.0,2332800.0,1281600.0,1800.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,924.3,1009705590.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,472.4,472.4,463.5,466.45,465.0,471.9,466.45,2059200.0,964546110.0,6253200.0,-1180800.0,1800.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,924.3,964546110.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,475.05,475.05,472.7,473.5,472.7,477.1,473.5,37800.0,17909010.0,50400.0,-3600.0,1800.0,20-Feb-2023,2023-02-19T18:30:00.000+00:00,924.3,17909010.0
FUTSTK,ZYDUSLIFE,29-Mar-2023,0,XX,N,468.35,474.4,466.5,470.85,471.7,469.3,470.85,3252600.0,1536408270.0,4773600.0,2440800.0,1800.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,924.3,1536408270.0
FUTSTK,ZYDUSLIFE,27-Apr-2023,0,XX,N,471.65,476.05,471.65,474.85,476.0,473.5,474.85,48600.0,23050440.0,63000.0,12600.0,1800.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,924.3,23050440.0
FUTSTK,ZYDUSLIFE,23-Feb-2023,0,XX,N,465.7,471.7,463.4,468.1,468.6,466.45,468.1,3855600.0,1808696430.0,3304800.0,-2948400.0,1800.0,21-Feb-2023,2023-02-20T18:30:00.000+00:00,924.3,1808696430.0
