FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,360ONE,31-Jul-2025,0.0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,1164.85,
FUTSTK,360ONE,28-Aug-2025,0.0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,1164.85,
FUTSTK,360ONE,30-Sep-2025,0.0,FF,,,,,,,,,,,,,,26-Jun-2025,2025-06-25T18:30:00.000+00:00,1164.85,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1190.55,1216.6,1178.0,1205.1,1208.65,1171.75,1205.1,1383.0,828058750.0,334500.0,334500.0,500.0,27-Jun-2025,,1195.75,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1209.05,1213.4,1185.0,1212.9,1213.4,1177.3,1212.9,25.0,15055850.0,7500.0,7500.0,500.0,27-Jun-2025,,1195.75,
FUTSTK,360ONE,30-Sep-2025,,XX,N,1210.0,1210.0,1210.0,1210.0,1210.0,1183.85,1210.0,1.0,605000.0,500.0,500.0,500.0,27-Jun-2025,,1195.75,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1199.05,1212.0,1187.3,1201.6,1195.0,1205.1,1201.6,936.0,563153600.0,535000.0,200500.0,500.0,30-Jun-2025,,1194.5,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1216.0,1216.0,1195.6,1202.8,1195.6,1212.9,1202.8,12.0,7243025.0,9000.0,1500.0,500.0,30-Jun-2025,,1194.5,
FUTSTK,360ONE,30-Sep-2025,,XX,N,0.0,0.0,0.0,1210.0,1210.0,1210.0,1210.0,0.0,0.0,500.0,0.0,500.0,30-Jun-2025,,1194.5,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1201.9,1211.4,1176.9,1182.5,1185.2,1201.6,1182.5,1239.0,738530800.0,890500.0,355500.0,500.0,01-Jul-2025,,1175.5,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1205.2,1215.1,1186.7,1187.4,1189.0,1202.8,1187.4,12.0,7187350.0,10000.0,1000.0,500.0,01-Jul-2025,,1175.5,
FUTSTK,360ONE,30-Sep-2025,,XX,N,0.0,0.0,0.0,1210.0,1210.0,1210.0,1210.0,0.0,0.0,500.0,0.0,500.0,01-Jul-2025,,1175.5,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1189.2,1196.6,1163.0,1184.0,1186.1,1182.5,1184.0,594.0,351113900.0,990500.0,100000.0,500.0,02-Jul-2025,,1177.2,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1173.8,1187.7,1172.4,1187.7,1187.7,1187.4,1187.7,7.0,4134100.0,10500.0,500.0,500.0,02-Jul-2025,,1177.2,
FUTSTK,360ONE,30-Sep-2025,,XX,N,0.0,0.0,0.0,1210.0,1210.0,1210.0,1210.0,0.0,0.0,500.0,0.0,500.0,02-Jul-2025,,1177.2,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1191.8,1243.0,1180.3,1233.7,1232.0,1184.0,1233.7,1713.0,1046059750.0,1265500.0,275000.0,500.0,03-Jul-2025,,1226.6,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1200.0,1236.3,1197.0,1235.0,1234.9,1187.7,1235.0,25.0,15155300.0,9500.0,-1000.0,500.0,03-Jul-2025,,1226.6,
FUTSTK,360ONE,30-Sep-2025,,XX,N,1235.0,1238.2,1234.1,1235.8,1238.2,1210.0,1235.8,3.0,1853650.0,500.0,0.0,500.0,03-Jul-2025,,1226.6,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1229.0,1255.0,1197.6,1247.8,1242.0,1233.7,1247.8,1960.0,1207468450.0,1266000.0,500.0,500.0,04-Jul-2025,,1245.4,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1215.0,1248.8,1215.0,1245.0,1244.0,1235.0,1245.0,17.0,10544800.0,9500.0,0.0,500.0,04-Jul-2025,,1245.4,
FUTSTK,360ONE,30-Sep-2025,,XX,N,0.0,0.0,0.0,1235.8,1238.2,1235.8,1235.8,0.0,0.0,500.0,0.0,500.0,04-Jul-2025,,1245.4,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1244.1,1274.0,1236.1,1253.2,1246.3,1247.8,1253.2,1481.0,927989900.0,1154000.0,-112000.0,500.0,07-Jul-2025,,1252.9,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1248.0,1268.0,1238.3,1253.2,1250.3,1245.0,1253.2,24.0,15004000.0,14000.0,4500.0,500.0,07-Jul-2025,,1252.9,
FUTSTK,360ONE,30-Sep-2025,,XX,N,0.0,0.0,0.0,1235.8,1238.2,1235.8,1235.8,0.0,0.0,500.0,0.0,500.0,07-Jul-2025,,1252.9,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1238.0,1251.0,1175.2,1227.7,1226.5,1253.2,1227.7,3433.0,2076073250.0,1286500.0,132500.0,500.0,08-Jul-2025,,1220.4,
FUTSTK,360ONE,28-Aug-2025,,XX,N,1227.5,1229.7,1176.0,1227.8,1228.4,1253.2,1227.8,28.0,16968100.0,21000.0,7000.0,500.0,08-Jul-2025,,1220.4,
FUTSTK,360ONE,30-Sep-2025,,XX,N,1187.8,1215.0,1187.8,1215.0,1215.0,1235.8,1215.0,2.0,1201400.0,1000.0,500.0,500.0,08-Jul-2025,,1220.4,
FUTSTK,360ONE,31-Jul-2025,,XX,N,1217.7,1219.7,1194.6,1201.0,1201.2,1227.7,1201.0,1274.0,769075850.0,1397500.0,111000.0,500.0,09-Jul-2025,,1194.6,
