FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ABB,24-Feb-2022,0.0,XX,2250.0,2326.0,2160.75,2281.6,2281.6,433.0,2456.23,64250.0,64250.0,28-Jan-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2280.1,2352.15,2246.95,2317.05,2317.05,8.0,45.8,1250.0,1250.0,28-Jan-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2247.9,2294.5,0.0,0.0,0.0,0.0,28-Jan-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2300.0,2344.95,2200.0,2314.6,2314.6,629.0,3590.75,96000.0,31750.0,31-Jan-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2190.9,2331.05,2190.9,2331.05,2316.75,7.0,39.62,2000.0,750.0,31-Jan-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2247.9,2324.2,0.0,0.0,0.0,0.0,31-Jan-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2339.9,2382.1,2245.05,2296.85,2296.85,1328.0,7692.1,224500.0,128500.0,01-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2272.0,2360.0,2266.0,2299.0,2302.45,17.0,98.12,4000.0,2000.0,01-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2247.9,2309.9,0.0,0.0,0.0,0.0,01-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2313.0,2388.35,2266.35,2301.25,2301.25,1304.0,7566.98,211500.0,-13000.0,02-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2361.45,2380.0,2281.9,2287.8,2311.9,20.0,116.67,4000.0,0.0,02-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2300.0,2300.0,2295.0,2295.0,2295.0,2.0,11.48,250.0,250.0,02-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2300.25,2337.95,2278.3,2301.85,2301.85,648.0,3728.28,199750.0,-11750.0,03-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2310.0,2330.0,2283.0,2327.1,2320.7,10.0,57.83,3750.0,-250.0,03-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2295.0,2328.2,0.0,0.0,250.0,0.0,03-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2249.75,2374.7,2249.7,2341.9,2341.9,994.0,5819.24,196250.0,-3500.0,04-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2295.1,2379.75,2293.05,2347.85,2347.85,20.0,117.43,4750.0,1000.0,04-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2355.0,2355.0,2355.0,2355.0,2357.9,1.0,5.88,250.0,0.0,04-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2336.0,2346.6,2224.05,2257.5,2257.5,619.0,3503.88,192500.0,-3750.0,07-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2320.05,2320.05,2245.75,2260.1,2260.1,8.0,45.58,5250.0,500.0,07-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2270.0,2270.0,2270.0,2270.0,2270.0,1.0,5.67,250.0,0.0,07-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2268.85,2280.0,2196.55,2223.35,2223.35,422.0,2363.24,202750.0,10250.0,08-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2272.0,2272.0,2220.9,2220.9,2234.35,7.0,39.4,5250.0,0.0,08-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2270.0,2241.6,0.0,0.0,250.0,0.0,08-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2230.65,2260.0,2212.65,2251.2,2251.2,269.0,1506.51,204250.0,1500.0,09-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,0.0,0.0,0.0,2220.9,2254.0,0.0,0.0,5250.0,0.0,09-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,0.0,0.0,0.0,2270.0,2261.3,0.0,0.0,250.0,0.0,09-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2246.95,2344.4,2209.0,2236.15,2236.15,1491.0,8439.85,258750.0,54500.0,10-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2276.2,2302.25,2220.0,2240.0,2240.0,57.0,323.88,6750.0,1500.0,10-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2308.65,2308.65,2247.8,2247.8,2247.8,10.0,57.04,1750.0,1500.0,10-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2210.0,2244.4,2168.4,2177.2,2177.2,656.0,3622.07,256250.0,-2500.0,11-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2217.45,2233.05,2192.6,2198.55,2198.55,23.0,127.22,11000.0,4250.0,11-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2200.0,2200.0,2200.0,2200.0,2198.45,1.0,5.5,1500.0,-250.0,11-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2110.9,2209.95,2051.15,2097.25,2097.25,805.0,4234.85,252250.0,-4000.0,14-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2142.7,2142.7,2073.2,2101.45,2101.45,95.0,502.07,19000.0,8000.0,14-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2132.25,2132.25,2132.25,2132.25,2108.65,1.0,5.33,1750.0,250.0,14-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2092.0,2141.75,2036.0,2056.15,2056.15,793.0,4117.42,323250.0,71000.0,15-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2119.4,2133.15,2042.8,2059.4,2059.4,51.0,265.61,25250.0,6250.0,15-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2108.65,2108.65,2050.0,2050.0,2050.0,2.0,10.39,1750.0,0.0,15-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2074.75,2086.9,2020.0,2041.7,2041.7,992.0,5063.93,422000.0,98750.0,16-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2093.85,2093.9,2020.8,2047.1,2047.1,177.0,904.68,40500.0,15250.0,16-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2054.7,2054.7,2054.7,2054.7,2050.05,1.0,5.13,1500.0,-250.0,16-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2051.0,2069.95,2030.6,2060.95,2060.95,592.0,3040.5,419750.0,-2250.0,17-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2059.6,2070.35,2038.0,2051.35,2051.35,121.0,621.01,41500.0,1000.0,17-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2055.0,2055.0,2051.9,2054.35,2054.35,3.0,15.4,1500.0,0.0,17-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2041.25,2080.05,2041.25,2064.95,2064.95,552.0,2844.27,381000.0,-38750.0,18-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2047.3,2070.9,2031.65,2058.35,2058.35,251.0,1286.44,44750.0,3250.0,18-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2047.0,2047.0,2047.0,2047.0,2082.25,2.0,10.23,2000.0,500.0,18-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2052.55,2115.0,2026.7,2100.35,2100.35,1035.0,5381.48,295000.0,-86000.0,21-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2029.4,2115.6,2022.45,2102.95,2102.95,681.0,3548.82,121000.0,76250.0,21-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2075.0,2075.0,2068.9,2071.0,2117.15,6.0,31.05,3000.0,1000.0,21-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2082.95,2118.0,2043.25,2075.0,2075.0,1003.0,5218.38,197250.0,-97750.0,22-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2058.05,2123.15,2048.0,2079.35,2079.35,898.0,4673.31,245750.0,124750.0,22-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2109.0,2110.45,2070.0,2070.0,2082.7,3.0,15.72,3500.0,500.0,22-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2077.45,2119.95,2077.45,2096.7,2096.7,480.0,2522.33,116500.0,-80750.0,23-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2099.65,2126.2,2090.0,2102.75,2102.75,593.0,3124.65,305000.0,59250.0,23-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2099.0,2099.0,2099.0,2099.0,2112.9,1.0,5.24,3250.0,-250.0,23-Feb-2022,,,N,,,,,
FUTSTK,ABB,24-Feb-2022,0.0,XX,2032.1,2090.35,1993.3,2044.3,2043.6,775.0,3991.53,16250.0,-100250.0,24-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2041.35,2096.65,2001.15,2047.25,2047.25,1012.0,5220.66,313750.0,8750.0,24-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2074.0,2085.9,2051.0,2051.0,2051.0,8.0,41.43,3500.0,250.0,24-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2097.95,2138.85,2077.75,2130.8,2130.8,641.0,3373.5,325500.0,11750.0,25-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2098.2,2149.65,2086.0,2136.95,2136.95,31.0,163.5,9250.0,5750.0,25-Feb-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2154.2,0.0,0.0,0.0,0.0,25-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2105.05,2168.15,2098.0,2160.0,2160.0,306.0,1637.41,323000.0,-2500.0,28-Feb-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2129.95,2161.2,2129.95,2161.1,2161.1,8.0,42.93,8750.0,-500.0,28-Feb-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2181.25,0.0,0.0,0.0,0.0,28-Feb-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2123.1,2212.8,2123.1,2182.95,2182.95,443.0,2420.19,325500.0,2500.0,02-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2201.0,2204.25,2173.9,2179.85,2179.85,7.0,38.24,8500.0,-250.0,02-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2200.7,0.0,0.0,0.0,0.0,02-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2197.0,2241.65,2155.1,2166.85,2166.85,609.0,3361.65,320500.0,-5000.0,03-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2177.0,2181.15,2161.2,2172.4,2172.4,7.0,38.02,9000.0,500.0,03-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2180.5,0.0,0.0,0.0,0.0,03-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2135.1,2207.0,2135.1,2161.75,2161.75,411.0,2233.74,326750.0,6250.0,04-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2125.25,2125.25,2125.25,2125.25,2169.15,1.0,5.31,8750.0,-250.0,04-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2176.2,0.0,0.0,0.0,0.0,04-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2130.25,2149.85,2080.05,2106.1,2106.1,400.0,2113.64,329250.0,2500.0,07-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2106.3,2147.0,2096.45,2103.5,2103.5,14.0,73.85,8750.0,0.0,07-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2128.4,0.0,0.0,0.0,0.0,07-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2149.9,2158.0,2115.8,2140.4,2140.4,414.0,2213.65,313000.0,-16250.0,08-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2115.0,2148.65,2115.0,2134.5,2147.55,5.0,26.73,8500.0,-250.0,08-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2154.5,0.0,0.0,0.0,0.0,08-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2134.95,2165.0,2102.75,2142.75,2142.75,523.0,2797.11,277750.0,-35250.0,09-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2130.0,2150.0,2130.0,2140.0,2155.2,8.0,42.84,8750.0,250.0,09-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2162.2,0.0,0.0,0.0,0.0,09-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2174.95,2175.0,2143.0,2159.65,2159.65,578.0,3116.75,228250.0,-49500.0,10-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2162.2,2178.85,2146.5,2146.5,2170.1,4.0,21.62,9750.0,1000.0,10-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2177.1,0.0,0.0,0.0,0.0,10-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2166.35,2170.25,2111.55,2129.1,2129.1,316.0,1686.12,206750.0,-21500.0,11-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2170.1,2170.1,2129.65,2131.2,2131.2,9.0,48.21,10250.0,500.0,11-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2138.7,0.0,0.0,0.0,0.0,11-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2103.55,2141.95,2074.4,2083.35,2083.35,320.0,1673.6,202500.0,-4250.0,14-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2088.0,2105.4,2073.1,2080.5,2080.5,22.0,115.16,11250.0,1000.0,14-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2096.0,0.0,0.0,0.0,0.0,14-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2012.75,2100.0,2012.75,2094.7,2094.7,589.0,3057.85,195500.0,-7000.0,15-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2098.65,2098.65,2050.1,2093.45,2093.45,23.0,119.5,11250.0,0.0,15-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2109.0,0.0,0.0,0.0,0.0,15-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2103.1,2208.2,2103.1,2194.8,2194.8,604.0,3294.16,212250.0,16750.0,16-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2142.35,2205.85,2142.35,2199.5,2199.5,34.0,185.33,11500.0,250.0,16-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2208.8,0.0,0.0,0.0,0.0,16-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2209.95,2209.95,2097.65,2108.1,2108.1,758.0,4067.45,214250.0,2000.0,17-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2174.3,2181.1,2101.3,2108.35,2108.35,92.0,492.05,20500.0,9000.0,17-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2118.5,0.0,0.0,0.0,0.0,17-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2124.4,2127.8,2088.2,2098.85,2098.85,372.0,1959.47,216750.0,2500.0,21-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2115.0,2121.0,2094.9,2098.6,2098.6,57.0,300.81,21750.0,1250.0,21-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2107.7,0.0,0.0,0.0,0.0,21-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2103.0,2103.0,2062.35,2085.05,2085.05,350.0,1823.58,216750.0,0.0,22-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2088.0,2096.7,2074.45,2085.9,2085.9,27.0,140.87,23500.0,1750.0,22-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2092.8,0.0,0.0,0.0,0.0,22-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2091.05,2100.15,2043.55,2052.9,2052.9,244.0,1261.42,217250.0,500.0,23-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2095.05,2098.0,2046.1,2056.45,2056.45,75.0,387.47,32250.0,8750.0,23-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,2099.9,2099.9,2099.9,2099.9,2065.75,1.0,5.24,250.0,250.0,23-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2002.0,2060.3,1985.25,2044.0,2044.0,676.0,3419.18,206500.0,-10750.0,24-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2004.95,2061.5,1985.7,2047.9,2047.9,248.0,1255.01,46500.0,14250.0,24-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2099.9,2053.55,0.0,0.0,250.0,0.0,24-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2055.35,2055.35,1986.5,1990.4,1990.4,439.0,2215.25,179250.0,-27250.0,25-Mar-2022,,,N,,,,,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2047.9,2047.9,1983.55,1986.7,1986.7,356.0,1794.93,73000.0,26500.0,25-Mar-2022,,,N,,,,,
FUTSTK,ABB,26-May-2022,0.0,XX,2050.65,2050.65,2050.65,2050.65,2003.6,2.0,10.25,500.0,250.0,25-Mar-2022,,,N,,,,,
FUTSTK,ABB,31-Mar-2022,0.0,XX,1990.0,2018.95,1950.1,2006.1,2006.1,777.0,3865.33,119250.0,-60000.0,28-Mar-2022,,,N,,,,,
