FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,125.0,126.25,123.0,124.75,124.75,1429.0,7836.4,4778400.0,4778400.0,31-Dec-2021,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,125.75,125.95,124.15,125.35,125.35,39.0,214.47,110000.0,110000.0,31-Dec-2021,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,0.0,0.0,0.0,122.25,125.2,0.0,0.0,0.0,0.0,31-Dec-2021,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,124.4,131.25,124.4,130.25,130.25,2570.0,14536.86,7194000.0,2415600.0,03-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,125.5,131.7,125.5,130.8,130.8,46.0,262.08,224400.0,114400.0,03-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,128.3,131.85,127.8,130.95,130.95,8.0,45.63,22000.0,22000.0,03-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,133.7,133.7,127.5,131.55,131.55,1827.0,10520.44,8289600.0,1095600.0,04-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,131.35,133.75,128.2,131.95,131.95,78.0,450.28,255200.0,30800.0,04-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,132.05,133.0,128.8,132.5,132.5,17.0,98.55,44000.0,22000.0,04-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,132.6,132.6,128.1,130.0,130.0,1551.0,8852.88,8698800.0,409200.0,05-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,130.2,131.35,128.9,130.3,130.3,42.0,240.5,294800.0,39600.0,05-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,130.25,131.15,130.0,130.75,130.75,13.0,74.68,66000.0,22000.0,05-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,129.0,134.8,127.5,133.9,133.9,2194.0,12807.25,10705200.0,2006400.0,06-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,129.7,134.95,129.55,134.5,134.5,34.0,199.86,281600.0,-13200.0,06-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,130.75,135.0,130.0,134.7,134.7,6.0,35.03,57200.0,-8800.0,06-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,134.7,136.2,131.55,133.45,133.45,2071.0,12216.36,11721600.0,1016400.0,07-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,134.4,136.7,132.2,133.95,133.95,74.0,437.93,316800.0,35200.0,07-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,136.2,137.0,133.45,133.6,134.05,11.0,65.1,70400.0,13200.0,07-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,134.35,135.0,132.35,133.1,133.1,716.0,4207.65,12056000.0,334400.0,10-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,134.5,134.85,132.8,133.4,133.4,37.0,218.19,325600.0,8800.0,10-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,134.05,134.05,133.85,133.85,133.85,3.0,17.68,74800.0,4400.0,10-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,133.4,139.8,133.4,136.5,136.5,4648.0,28141.55,14476000.0,2420000.0,11-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,134.5,140.2,134.5,136.9,136.9,259.0,1576.35,453200.0,127600.0,11-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,139.55,139.65,136.95,138.0,136.95,12.0,73.15,110000.0,35200.0,11-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,137.2,137.25,133.05,134.9,134.9,1104.0,6564.97,14784000.0,308000.0,12-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,137.55,137.55,134.0,135.3,135.3,87.0,519.59,576400.0,123200.0,12-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,0.0,0.0,0.0,138.0,135.45,0.0,0.0,110000.0,0.0,12-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,134.55,136.5,132.5,133.8,133.8,1293.0,7626.78,15092000.0,308000.0,13-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,134.75,136.45,133.05,134.35,134.35,111.0,656.8,787600.0,211200.0,13-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,135.2,136.0,133.9,135.6,135.6,15.0,89.22,92400.0,-17600.0,13-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,133.5,136.7,133.35,134.3,134.3,1213.0,7201.78,15276800.0,184800.0,14-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,133.85,137.3,133.85,134.8,134.8,82.0,489.01,924000.0,136400.0,14-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,137.6,137.6,134.7,135.9,135.9,9.0,53.9,101200.0,8800.0,14-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,134.3,136.2,132.15,132.7,132.7,1235.0,7265.65,14462800.0,-814000.0,17-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,24-Feb-2022,0.0,XX,134.05,136.6,132.8,133.15,133.15,182.0,1078.22,1337600.0,413600.0,17-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,31-Mar-2022,0.0,XX,134.8,134.95,133.8,133.8,133.8,3.0,17.75,110000.0,8800.0,17-Jan-2022,,,N,,,,,
FUTSTK,ABCAPITAL,27-Jan-2022,0.0,XX,132.7,133.5,127.3,128.1,128.1,1194.0,6860.59,14128400.0,-334400.0,18-Jan-2022,,,N,,,,,
