FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,480.95,495.8,480.95,493.25,493.25,2987.0,29323.58,19100000.0,576000.0,01-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,481.6,497.55,481.6,494.7,494.7,24.0,236.33,86000.0,12000.0,01-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,486.1,486.45,486.1,486.45,495.9,2.0,19.45,4000.0,4000.0,01-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,494.0,504.9,487.85,495.85,495.85,3339.0,33157.18,18972000.0,-128000.0,04-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,502.0,506.0,491.0,497.25,497.25,27.0,269.85,104000.0,18000.0,04-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,497.3,497.3,497.3,497.3,499.15,1.0,9.94,6000.0,2000.0,04-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,492.0,504.0,491.1,497.3,497.3,2812.0,28019.15,18970000.0,-2000.0,05-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,497.25,505.5,496.2,497.8,497.8,14.0,139.98,106000.0,2000.0,05-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,501.25,501.25,501.25,501.25,498.95,1.0,10.02,6000.0,0.0,05-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,498.95,501.8,486.5,493.4,493.4,2133.0,21129.37,19040000.0,70000.0,06-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,503.0,503.0,488.4,495.8,495.8,15.0,148.18,112000.0,6000.0,06-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,0.0,0.0,0.0,501.25,495.4,0.0,0.0,6000.0,0.0,06-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,495.15,525.8,495.15,519.05,519.05,6742.0,69430.41,19570000.0,530000.0,07-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,500.0,527.5,500.0,520.45,520.45,47.0,486.47,122000.0,10000.0,07-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,511.5,511.55,511.5,511.55,522.75,2.0,20.46,10000.0,4000.0,07-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,522.0,528.0,515.25,518.7,518.7,2621.0,27326.85,19358000.0,-212000.0,08-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,527.95,527.95,519.55,519.75,519.75,24.0,251.15,130000.0,8000.0,08-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,0.0,0.0,0.0,511.55,522.6,0.0,0.0,10000.0,0.0,08-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,521.3,526.0,510.5,519.75,519.75,2889.0,29951.18,19208000.0,-150000.0,11-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,524.5,524.5,513.05,521.0,521.0,27.0,280.23,138000.0,8000.0,11-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,0.0,0.0,0.0,511.55,523.55,0.0,0.0,10000.0,0.0,11-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,519.25,537.8,518.55,528.0,528.0,3628.0,38495.4,19080000.0,-128000.0,12-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,529.7,538.3,526.5,530.05,530.05,37.0,394.48,152000.0,14000.0,12-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,534.2,538.0,534.2,538.0,529.8,5.0,53.72,20000.0,10000.0,12-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,531.7,541.95,521.8,537.8,537.8,3680.0,39308.91,19078000.0,-2000.0,13-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,538.1,542.75,525.0,540.0,540.0,37.0,397.11,172000.0,20000.0,13-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,533.2,533.2,533.2,533.2,540.55,1.0,10.66,18000.0,-2000.0,13-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,534.6,542.0,528.7,533.2,533.2,2510.0,26924.87,18962000.0,-116000.0,14-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,535.2,543.8,532.0,534.65,534.65,49.0,527.51,190000.0,18000.0,14-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,541.2,541.2,537.6,537.6,536.45,2.0,21.57,20000.0,2000.0,14-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,535.95,538.4,519.0,527.35,527.35,2606.0,27575.94,18842000.0,-120000.0,15-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,539.5,539.5,521.25,529.6,529.6,39.0,414.3,182000.0,-8000.0,15-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,531.9,531.9,525.0,525.0,531.55,4.0,42.25,22000.0,2000.0,15-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,528.2,529.4,502.25,507.3,507.3,4717.0,48557.84,19098000.0,256000.0,18-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,528.75,528.75,504.55,507.9,507.9,157.0,1620.09,198000.0,16000.0,18-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,524.0,524.05,510.0,512.0,512.0,15.0,155.01,24000.0,2000.0,18-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,512.75,533.5,512.75,531.55,531.55,3309.0,34816.64,18774000.0,-324000.0,19-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,516.95,535.0,516.95,533.8,533.8,166.0,1752.28,242000.0,44000.0,19-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,518.85,535.0,518.85,535.0,534.15,6.0,63.17,34000.0,10000.0,19-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,533.2,552.7,530.65,546.25,546.25,4717.0,51093.06,18196000.0,-578000.0,20-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,536.9,554.95,533.85,548.7,548.7,402.0,4368.3,508000.0,266000.0,20-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,539.3,551.8,539.3,550.9,550.9,3.0,32.82,40000.0,6000.0,20-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,550.5,553.3,532.1,537.9,537.9,3555.0,38737.3,17810000.0,-386000.0,21-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,553.0,555.15,534.45,539.55,539.55,480.0,5254.46,584000.0,76000.0,21-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,556.5,556.5,536.25,536.25,540.8,6.0,65.89,36000.0,-4000.0,21-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,535.6,547.0,521.55,527.35,527.35,6066.0,64938.7,13152000.0,-4658000.0,22-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,539.55,549.1,523.25,529.7,529.7,2926.0,31525.75,5382000.0,4798000.0,22-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,545.0,545.0,529.0,531.5,531.5,12.0,128.21,32000.0,-4000.0,22-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,531.0,534.75,509.95,515.35,515.35,5465.0,57115.09,8398000.0,-4754000.0,25-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,532.75,536.05,511.85,516.75,516.75,4065.0,42684.6,10518000.0,5136000.0,25-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,535.35,535.35,515.0,517.55,517.55,18.0,189.04,36000.0,4000.0,25-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,512.0,521.8,507.35,511.05,511.05,4068.0,41897.6,4026000.0,-4372000.0,27-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,513.65,523.4,509.4,513.7,513.7,3710.0,38335.98,14900000.0,4382000.0,27-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,517.0,522.0,512.1,512.1,512.1,10.0,103.3,44000.0,8000.0,27-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,28-Jan-2021,0.0,XX,506.65,519.4,501.65,511.5,511.85,4185.0,42888.6,328000.0,-3698000.0,28-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,507.65,521.95,503.0,513.9,513.9,5370.0,55264.81,18170000.0,3270000.0,28-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,510.0,522.0,508.6,515.5,515.5,19.0,195.98,62000.0,18000.0,28-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,518.1,526.7,504.1,507.9,507.9,3693.0,38163.92,18706000.0,536000.0,29-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,525.0,526.1,509.0,510.7,510.7,19.0,197.79,76000.0,14000.0,29-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,0.0,0.0,0.0,516.65,512.0,0.0,0.0,0.0,0.0,29-Jan-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,511.0,542.65,497.9,540.8,540.8,5074.0,53159.88,18448000.0,-258000.0,01-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,510.7,541.65,501.1,540.0,540.0,31.0,323.53,84000.0,8000.0,01-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,0.0,0.0,0.0,516.65,542.7,0.0,0.0,0.0,0.0,01-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,545.0,569.95,543.5,567.25,567.25,5365.0,59850.98,18404000.0,-44000.0,02-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,549.0,569.15,547.0,569.0,569.0,19.0,212.3,88000.0,4000.0,02-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,568.25,568.25,568.25,568.25,569.9,1.0,11.36,2000.0,2000.0,02-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,568.2,578.4,560.05,567.1,567.1,6153.0,70061.94,17986000.0,-418000.0,03-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,577.0,579.0,564.8,567.15,567.15,27.0,308.57,102000.0,14000.0,03-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,577.65,577.65,573.85,573.85,572.25,2.0,23.03,6000.0,4000.0,03-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,560.55,613.8,557.6,590.6,590.6,7520.0,89423.64,17828000.0,-158000.0,04-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,575.5,611.2,572.15,593.15,593.15,66.0,786.23,112000.0,10000.0,04-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,594.1,612.65,594.1,612.65,595.5,2.0,24.13,6000.0,0.0,04-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,598.85,609.0,589.05,597.05,597.05,3241.0,38805.04,17392000.0,-436000.0,05-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,608.55,610.15,591.9,599.4,599.4,51.0,612.27,122000.0,10000.0,05-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,595.5,595.5,595.5,595.5,601.15,4.0,48.12,10000.0,4000.0,05-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,604.9,637.95,604.9,630.35,630.35,4805.0,60309.61,17246000.0,-146000.0,08-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,619.8,635.0,615.8,632.15,632.15,73.0,919.0,146000.0,24000.0,08-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,29-Apr-2021,0.0,XX,633.0,633.0,631.0,631.0,634.2,2.0,25.28,8000.0,-2000.0,08-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Feb-2021,0.0,XX,634.45,643.4,621.65,631.1,631.1,4637.0,58685.99,16856000.0,-390000.0,09-Feb-2021,,,N,,,,
FUTSTK,ADANIENT,25-Mar-2021,0.0,XX,635.0,645.0,624.55,633.75,633.75,108.0,1372.7,170000.0,24000.0,09-Feb-2021,,,N,,,,
