FH_TIMESTAMP,FH_SYMBOL,FH_INSTRUMENT,FH_EXPIRY_DT,FH_CLOSING_PRICE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_TOT_TRADED_VAL,FH_UNDERLYING_VALUE,FH_MARKET_LOT,SOURCE,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TOT_TRADED_QTY,FH_SETTLE_PRICE,FH_MARKET_TYPE
08-Feb-2023,ADANIGREEN,FUTSTK,,802.4500122070312,831.0,869.7999877929688,802.4500122070312,11524691.0,802.4500122070312,600,YFINANCE,,,,,,,,,
09-Feb-2023,ADANIGREEN,FUTSTK,,762.3499755859375,770.0499877929688,798.9500122070312,762.3499755859375,4729491.0,762.3499755859375,600,YFINANCE,,,,,,,,,
10-Feb-2023,ADANIGREEN,FUTSTK,,724.25,732.0,744.0,724.25,2074917.0,724.25,600,YFINANCE,,,,,,,,,
13-Feb-2023,ADANIGREEN,FUTSTK,,688.0499877929688,688.0499877929688,688.0499877929688,688.0499877929688,294782.0,688.0499877929688,600,YFINANCE,,,,,,,,,
14-Feb-2023,ADANIGREEN,FUTSTK,,653.6500244140625,653.6500244140625,653.6500244140625,653.6500244140625,206263.0,653.6500244140625,600,YFINANCE,,,,,,,,,
15-Feb-2023,ADANIGREEN,FUTSTK,,621.0,621.0,621.0,621.0,307402.0,621.0,600,YFINANCE,,,,,,,,,
16-Feb-2023,ADANIGREEN,FUTSTK,,616.2999877929688,632.0,652.0499877929688,591.0999755859375,13543834.0,616.2999877929688,600,YFINANCE,,,,,,,,,
17-Feb-2023,ADANIGREEN,FUTSTK,,628.6500244140625,628.0,639.9000244140625,616.5499877929688,3686567.0,628.6500244140625,600,YFINANCE,,,,,,,,,
20-Feb-2023,ADANIGREEN,FUTSTK,,597.25,609.0,625.0,597.25,2080050.0,597.25,600,YFINANCE,,,,,,,,,
21-Feb-2023,ADANIGREEN,FUTSTK,,567.4000244140625,593.0999755859375,599.0,567.4000244140625,1657718.0,567.4000244140625,600,YFINANCE,,,,,,,,,
22-Feb-2023,ADANIGREEN,FUTSTK,,539.0499877929688,545.0,548.0,539.0499877929688,861922.0,539.0499877929688,600,YFINANCE,,,,,,,,,
23-Feb-2023,ADANIGREEN,FUTSTK,,512.0999755859375,512.0999755859375,512.0999755859375,512.0999755859375,223957.0,512.0999755859375,600,YFINANCE,,,,,,,,,
24-Feb-2023,ADANIGREEN,FUTSTK,,486.5,486.5,510.0,486.5,1417656.0,486.5,600,YFINANCE,,,,,,,,,
27-Feb-2023,ADANIGREEN,FUTSTK,,462.2000122070313,468.0,474.2999877929687,462.2000122070313,1064159.0,462.2000122070313,600,YFINANCE,,,,,,,,,
28-Feb-2023,ADANIGREEN,FUTSTK,,485.2999877929687,439.1000061035156,485.2999877929687,439.1000061035156,8613869.0,485.2999877929687,600,YFINANCE,,,,,,,,,
01-Mar-2023,ADANIGREEN,FUTSTK,,509.5499877929687,509.0,509.5499877929687,501.8999938964844,387360.0,509.5499877929687,600,YFINANCE,,,,,,,,,
