FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,486.0,509.0,484.65,506.15,506.15,5479.0,68303.84,40875000.0,1157500.0,01-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,491.2,509.95,489.95,508.55,508.55,48.0,601.15,100000.0,47500.0,01-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Mar-2021,0.0,XX,490.15,507.5,490.15,507.5,507.5,3.0,37.23,7500.0,7500.0,01-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,511.25,512.9,496.45,500.5,500.5,5823.0,73280.91,42095000.0,1220000.0,04-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,511.55,514.0,499.0,502.75,502.75,51.0,644.46,137500.0,37500.0,04-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Mar-2021,0.0,XX,502.25,502.25,502.25,502.25,503.55,1.0,12.55,10000.0,2500.0,04-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,497.95,506.85,494.25,501.85,501.85,3254.0,40786.1,42042500.0,-52500.0,05-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,499.1,506.05,498.75,503.55,503.55,45.0,564.89,167500.0,30000.0,05-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Mar-2021,0.0,XX,498.0,503.55,498.0,503.55,504.05,2.0,25.03,12500.0,2500.0,05-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,504.7,506.65,491.5,499.2,499.2,3398.0,42518.6,41252500.0,-790000.0,06-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,505.5,507.8,494.6,497.5,499.7,42.0,528.88,160000.0,-7500.0,06-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Mar-2021,0.0,XX,504.05,504.05,504.05,504.05,501.35,1.0,12.6,12500.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,501.7,523.5,501.7,515.45,515.45,7421.0,95433.12,41207500.0,-45000.0,07-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,506.25,525.0,505.05,517.45,517.45,89.0,1149.51,175000.0,15000.0,07-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Mar-2021,0.0,XX,506.35,520.0,506.0,520.0,518.5,5.0,64.27,15000.0,2500.0,07-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,520.65,528.75,516.1,518.2,518.2,5092.0,66493.34,41867500.0,660000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,522.95,530.0,518.75,519.2,519.2,75.0,984.81,195000.0,20000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Mar-2021,0.0,XX,522.85,530.35,522.85,523.8,523.8,4.0,52.55,22500.0,7500.0,08-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,28-Jan-2021,0.0,XX,522.5,523.45,504.65,510.5,510.5,4727.0,60445.28,43762500.0,1895000.0,11-Jan-2021,,,N,,,,,
FUTSTK,ADANIPORTS,25-Feb-2021,0.0,XX,524.8,524.85,507.8,512.2,512.2,136.0,1741.39,392500.0,197500.0,11-Jan-2021,,,N,,,,,
