FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2660.0,2840.0,2640.05,2740.4,2740.4,156.0,863.68,16000.0,16000.0,26-Feb-2021,,,N,,,,,
FUTSTK,ALKEM,29-Apr-2021,0.0,XX,2769.0,2769.0,2752.25,2756.35,2756.35,3.0,16.56,200.0,200.0,26-Feb-2021,,,N,,,,,
FUTSTK,ALKEM,27-May-2021,0.0,XX,2757.9,2757.9,2757.9,2757.9,2757.9,1.0,5.51,200.0,200.0,26-Feb-2021,,,N,,,,,
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2742.15,2869.6,2739.9,2845.7,2845.7,171.0,961.87,21200.0,5200.0,01-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,29-Apr-2021,0.0,XX,2844.0,2854.7,2844.0,2851.15,2851.15,4.0,22.8,600.0,400.0,01-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,27-May-2021,0.0,XX,0.0,0.0,0.0,2757.9,2852.4,0.0,0.0,200.0,0.0,01-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2800.0,2985.0,2800.0,2936.7,2936.7,903.0,5295.85,83400.0,62200.0,02-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,29-Apr-2021,0.0,XX,2955.6,2967.6,2911.8,2951.35,2951.35,15.0,88.69,3000.0,2400.0,02-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,27-May-2021,0.0,XX,0.0,0.0,0.0,2757.9,2940.3,0.0,0.0,200.0,0.0,02-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2955.15,2955.2,2857.0,2862.6,2862.6,665.0,3831.07,128800.0,45400.0,03-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,29-Apr-2021,0.0,XX,2940.0,2940.0,2870.0,2870.05,2870.05,17.0,98.35,3800.0,800.0,03-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,27-May-2021,0.0,XX,2895.55,2895.55,2876.35,2876.35,2866.9,3.0,17.33,800.0,600.0,03-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2831.5,2870.0,2821.85,2847.25,2847.25,444.0,2529.74,151600.0,22800.0,04-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,29-Apr-2021,0.0,XX,2849.2,2882.85,2842.2,2861.45,2845.9,10.0,57.23,5200.0,1400.0,04-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,27-May-2021,0.0,XX,0.0,0.0,0.0,2876.35,2854.05,0.0,0.0,800.0,0.0,04-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2847.0,2847.0,2790.0,2797.15,2797.15,288.0,1617.21,158800.0,7200.0,05-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,29-Apr-2021,0.0,XX,2777.0,2852.45,2777.0,2813.95,2813.95,17.0,96.06,6600.0,1400.0,05-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,27-May-2021,0.0,XX,0.0,0.0,0.0,2876.35,2806.95,0.0,0.0,800.0,0.0,05-Mar-2021,,,N,,,,,
FUTSTK,ALKEM,25-Mar-2021,0.0,XX,2796.0,2808.65,2782.0,2794.95,2794.95,159.0,887.75,158800.0,0.0,08-Mar-2021,,,N,,,,,
