FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,249.75,252.3,248.95,251.65,251.65,1930.0,14524.55,17880000.0,-1065000.0,01-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,250.35,252.75,250.35,252.5,252.5,11.0,83.02,201000.0,6000.0,01-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,253.3,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,254.0,254.8,250.9,254.15,254.15,3257.0,24697.45,17532000.0,-348000.0,04-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,253.05,255.05,252.0,255.0,255.0,43.0,326.95,213000.0,12000.0,04-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,255.25,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,252.4,257.55,251.55,255.25,255.25,4209.0,32109.91,17727000.0,195000.0,05-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,253.65,258.0,253.0,255.95,255.95,53.0,406.09,219000.0,6000.0,05-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,256.55,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,255.9,263.35,254.0,262.35,262.35,5498.0,42694.72,18159000.0,432000.0,06-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,256.85,263.75,255.45,262.85,262.85,101.0,785.26,249000.0,30000.0,06-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,263.5,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,263.85,268.35,262.0,264.4,264.4,4820.0,38431.07,18270000.0,111000.0,07-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,265.05,268.75,263.05,265.95,265.95,91.0,727.12,258000.0,9000.0,07-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,265.35,0.0,0.0,0.0,0.0,07-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,266.5,272.3,265.95,271.0,271.0,3477.0,28103.85,17916000.0,-354000.0,08-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,267.2,273.0,267.2,272.1,272.1,46.0,372.92,255000.0,-3000.0,08-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,272.35,0.0,0.0,0.0,0.0,08-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,272.0,272.9,266.95,271.15,271.15,3484.0,28236.46,17931000.0,15000.0,11-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,269.8,273.55,268.0,271.85,271.85,58.0,471.77,267000.0,12000.0,11-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,272.65,0.0,0.0,0.0,0.0,11-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,270.2,275.4,268.25,269.5,269.5,3298.0,26867.11,17892000.0,-39000.0,12-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,271.4,276.1,269.7,270.5,270.5,52.0,424.94,285000.0,18000.0,12-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,251.0,270.35,0.0,0.0,0.0,0.0,12-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,261.1,270.65,261.1,266.2,266.2,2688.0,21440.73,17559000.0,-333000.0,13-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,270.2,270.2,263.8,267.5,267.5,46.0,367.66,318000.0,33000.0,13-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,268.5,268.5,268.5,268.5,267.1,1.0,8.05,3000.0,3000.0,13-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,266.75,271.45,264.55,267.9,267.9,2403.0,19297.42,17331000.0,-228000.0,14-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,269.1,272.0,265.8,270.0,268.35,37.0,298.29,339000.0,21000.0,14-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,268.5,269.25,0.0,0.0,3000.0,0.0,14-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,28-Jan-2021,0.0,XX,267.0,267.6,260.55,264.5,264.5,2698.0,21356.96,17220000.0,-111000.0,15-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Feb-2021,0.0,XX,264.9,266.0,262.0,265.9,265.9,87.0,692.3,435000.0,96000.0,15-Jan-2021,,,N,,,,
FUTSTK,AMBUJACEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,268.5,266.25,0.0,0.0,3000.0,0.0,15-Jan-2021,,,N,,,,
