FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,96.0,100.45,96.0,99.6,99.6,4639.0,41090.76,44838000.0,3771000.0,01-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,97.45,100.7,96.6,100.0,100.0,115.0,1020.72,909000.0,189000.0,01-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,96.95,100.25,96.95,100.25,100.05,9.0,80.34,54000.0,54000.0,01-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,100.15,106.25,99.8,104.55,104.55,8422.0,78833.1,45684000.0,846000.0,04-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,100.5,106.15,100.35,104.55,104.55,176.0,1649.53,1008000.0,99000.0,04-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,104.55,106.0,103.25,105.0,105.0,14.0,131.76,90000.0,36000.0,04-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,102.9,105.3,102.75,105.0,105.0,3329.0,31233.51,45117000.0,-567000.0,05-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,104.6,105.6,103.5,105.4,105.4,101.0,950.98,1152000.0,144000.0,05-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,103.9,104.8,103.9,104.75,105.7,7.0,65.77,117000.0,27000.0,05-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,104.95,107.05,104.0,105.4,105.4,3933.0,37365.97,44127000.0,-990000.0,06-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,105.55,107.4,104.6,105.8,105.8,85.0,808.89,1242000.0,90000.0,06-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,107.0,107.3,105.05,105.75,105.75,7.0,66.88,144000.0,27000.0,06-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,106.8,112.2,106.8,111.25,111.25,6324.0,62923.25,47160000.0,3033000.0,07-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,107.85,112.45,107.85,111.65,111.65,125.0,1249.88,1548000.0,306000.0,07-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,108.5,112.25,108.5,111.75,111.75,20.0,200.68,126000.0,-18000.0,07-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,112.7,113.9,111.3,113.15,113.15,5900.0,59876.15,45378000.0,-1782000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,113.2,114.25,112.0,113.5,113.5,147.0,1497.37,1602000.0,54000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,113.2,113.75,112.8,113.45,113.8,9.0,91.88,135000.0,9000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,113.2,118.2,113.2,116.95,116.95,5359.0,55928.95,42111000.0,-3267000.0,11-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,115.0,118.65,114.2,117.3,117.3,166.0,1735.99,1746000.0,144000.0,11-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,115.0,118.55,114.35,117.6,117.95,17.0,177.39,189000.0,54000.0,11-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,115.8,125.8,115.65,122.1,122.1,10207.0,112242.96,37665000.0,-4446000.0,12-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,116.65,126.1,116.35,122.5,122.5,364.0,4019.87,1899000.0,153000.0,12-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,117.15,126.4,117.15,122.9,122.9,25.0,274.93,270000.0,81000.0,12-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,122.9,125.45,118.65,121.75,121.75,6288.0,69003.66,32904000.0,-4761000.0,13-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,124.0,125.75,119.4,122.2,122.2,279.0,3080.39,2277000.0,378000.0,13-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,124.05,124.95,122.3,122.3,122.65,12.0,134.14,315000.0,45000.0,13-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,122.4,123.8,119.15,119.65,119.65,3150.0,34196.33,34317000.0,1413000.0,14-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,124.0,124.0,119.65,120.1,120.1,160.0,1740.55,2493000.0,216000.0,14-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,123.1,123.1,120.0,120.3,120.3,17.0,185.17,378000.0,63000.0,14-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,120.95,121.9,117.7,119.95,119.95,5180.0,55823.3,34362000.0,45000.0,15-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,120.0,122.2,118.2,120.45,120.45,381.0,4122.96,3087000.0,594000.0,15-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,120.3,122.35,118.75,121.0,121.0,13.0,140.77,387000.0,9000.0,15-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,119.0,119.1,113.0,114.7,114.7,5563.0,57646.95,36018000.0,1656000.0,18-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,119.4,119.4,113.6,115.0,115.0,556.0,5768.3,3915000.0,828000.0,18-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,119.0,119.35,114.25,115.4,115.4,24.0,250.73,423000.0,36000.0,18-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,115.65,119.85,115.65,119.1,119.1,4436.0,47108.53,35613000.0,-405000.0,19-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,117.25,120.15,116.5,119.4,119.4,366.0,3899.05,4590000.0,675000.0,19-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,117.6,120.0,117.25,119.65,119.65,19.0,202.61,369000.0,-54000.0,19-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,119.0,122.7,118.75,121.95,121.95,3840.0,41961.31,35604000.0,-9000.0,20-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,120.4,123.0,119.25,122.25,122.25,353.0,3869.77,4905000.0,315000.0,20-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,120.0,122.95,120.0,121.9,122.6,15.0,164.82,387000.0,18000.0,20-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,122.5,124.0,118.15,119.6,119.6,6721.0,73841.86,36306000.0,702000.0,21-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,122.9,124.45,118.7,120.15,120.15,949.0,10446.02,6318000.0,1413000.0,21-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,123.05,124.4,120.3,120.4,120.4,24.0,265.78,441000.0,54000.0,21-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,120.1,127.6,119.3,122.25,122.25,11581.0,129785.04,32670000.0,-3636000.0,22-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,120.5,128.0,120.05,122.55,122.55,2197.0,24660.5,7533000.0,1215000.0,22-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,122.85,127.8,122.3,123.0,123.0,58.0,652.11,351000.0,-90000.0,22-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,123.5,124.35,116.7,117.45,117.45,5423.0,58052.17,23697000.0,-8973000.0,25-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,124.3,124.55,117.1,117.7,117.7,2607.0,27980.77,14400000.0,6867000.0,25-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,123.65,123.65,117.9,118.05,118.05,16.0,172.41,378000.0,27000.0,25-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,113.3,116.2,109.55,114.95,114.95,6771.0,69145.55,10863000.0,-12834000.0,27-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Feb-2021,0.0,XX,118.0,118.0,110.35,115.25,115.25,5352.0,54893.96,23184000.0,8784000.0,27-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,25-Mar-2021,0.0,XX,115.15,116.05,111.0,115.25,115.25,56.0,572.37,450000.0,72000.0,27-Jan-2021,,,N,,,,,
FUTSTK,ASHOKLEY,28-Jan-2021,0.0,XX,112.85,115.4,111.1,112.55,112.75,3178.0,32377.9,2853000.0,-8010000.0,28-Jan-2021,,,N,,,,,
