FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2757.85,2796.0,2757.85,2782.5,2782.5,3997.0,33333.19,5015700.0,50100.0,01-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2770.0,2803.5,2768.25,2788.4,2788.4,88.0,736.41,51300.0,1200.0,01-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2787.95,2807.15,2787.95,2802.7,2802.5,8.0,67.25,1200.0,1200.0,01-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2778.3,2795.95,2758.0,2768.45,2768.45,4514.0,37510.96,5025600.0,9900.0,04-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2799.0,2801.05,2766.1,2775.2,2775.2,103.0,858.06,56400.0,5100.0,04-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2782.7,2788.0,2775.0,2778.5,2779.5,12.0,100.14,2100.0,900.0,04-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2738.2,2812.65,2738.2,2804.9,2804.9,4964.0,41422.17,4960200.0,-65400.0,05-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2755.7,2817.5,2753.4,2809.85,2809.85,146.0,1222.09,56400.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2779.5,2786.8,2779.5,2785.6,2819.6,5.0,41.75,2700.0,600.0,05-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2809.3,2827.95,2785.0,2814.2,2814.2,4549.0,38230.04,4929000.0,-31200.0,06-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2823.8,2836.5,2793.6,2821.9,2821.9,148.0,1247.75,65100.0,8700.0,06-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2816.8,2821.0,2798.9,2821.0,2830.9,7.0,59.03,3900.0,1200.0,06-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2811.6,2841.75,2797.25,2806.2,2806.2,4391.0,37174.02,4920300.0,-8700.0,07-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2821.55,2846.0,2806.5,2813.55,2813.55,134.0,1138.21,66900.0,1800.0,07-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2831.0,2842.45,2829.45,2830.0,2817.4,4.0,33.99,4500.0,600.0,07-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2821.2,2856.95,2795.5,2850.05,2850.05,5388.0,45740.74,4863300.0,-57000.0,08-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2824.7,2862.5,2807.9,2857.35,2857.35,149.0,1265.88,76500.0,9600.0,08-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2833.0,2837.15,2816.0,2836.0,2870.0,13.0,110.36,6600.0,2100.0,08-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2846.0,2875.0,2831.0,2850.15,2850.15,4715.0,40326.83,4957800.0,94500.0,11-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2871.65,2880.0,2840.0,2858.75,2858.75,86.0,737.45,78300.0,1800.0,11-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2862.5,2875.6,2846.1,2846.1,2873.6,9.0,77.21,7200.0,600.0,11-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2854.75,2854.75,2738.0,2760.2,2760.2,11033.0,92261.96,5299800.0,342000.0,12-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2845.0,2845.0,2750.05,2772.75,2772.75,314.0,2634.91,96600.0,18300.0,12-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2838.2,2838.2,2754.0,2773.9,2773.9,28.0,235.84,9000.0,1800.0,12-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2770.2,2772.3,2691.35,2717.25,2717.25,10389.0,84863.74,5275500.0,-24300.0,13-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2760.0,2763.8,2701.0,2726.15,2726.15,356.0,2917.28,109800.0,13200.0,13-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2760.0,2760.0,2702.0,2732.45,2732.45,32.0,263.12,10200.0,1200.0,13-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2721.65,2741.95,2660.0,2677.0,2677.0,7705.0,61934.07,5256300.0,-19200.0,14-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2735.95,2746.5,2670.95,2686.05,2686.05,315.0,2542.16,122100.0,12300.0,14-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Mar-2021,0.0,XX,2691.0,2700.0,2680.0,2690.05,2690.05,21.0,169.54,13200.0,3000.0,14-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,28-Jan-2021,0.0,XX,2668.15,2668.2,2592.7,2601.85,2601.85,9332.0,73524.08,5493300.0,237000.0,15-Jan-2021,,,N,,,,,
FUTSTK,ASIANPAINT,25-Feb-2021,0.0,XX,2665.45,2665.45,2600.75,2608.95,2608.95,703.0,5559.17,189900.0,67800.0,15-Jan-2021,,,N,,,,,
