FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ASTRAL,26-Aug-2021,0.0,XX,2081.0,2114.15,2069.85,2091.5,2091.5,595.0,3417.13,105050.0,105050.0,30-Jul-2021,,,N,,,,,
FUTSTK,ASTRAL,30-Sep-2021,0.0,XX,0.0,0.0,0.0,2086.1,2095.25,0.0,0.0,0.0,0.0,30-Jul-2021,,,N,,,,,
FUTSTK,ASTRAL,28-Oct-2021,0.0,XX,0.0,0.0,0.0,2092.2,2101.35,0.0,0.0,0.0,0.0,30-Jul-2021,,,N,,,,,
FUTSTK,ASTRAL,26-Aug-2021,0.0,XX,2095.5,2249.85,2085.0,2191.8,2191.8,1672.0,10005.26,244750.0,139700.0,02-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,30-Sep-2021,0.0,XX,2098.7,2250.0,2098.25,2199.1,2199.1,25.0,149.51,3300.0,3300.0,02-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,28-Oct-2021,0.0,XX,0.0,0.0,0.0,2092.2,2199.45,0.0,0.0,0.0,0.0,02-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,26-Aug-2021,0.0,XX,2213.75,2279.95,2181.8,2232.75,2232.75,1004.0,6198.41,236225.0,-8525.0,03-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,30-Sep-2021,0.0,XX,2250.0,2281.6,2218.0,2241.65,2241.65,19.0,117.9,4125.0,825.0,03-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,28-Oct-2021,0.0,XX,0.0,0.0,0.0,2092.2,2240.85,0.0,0.0,0.0,0.0,03-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,26-Aug-2021,0.0,XX,2250.95,2296.75,2238.0,2246.55,2246.55,718.0,4472.8,207625.0,-28600.0,04-Aug-2021,,,N,,,,,
FUTSTK,ASTRAL,30-Sep-2021,0.0,XX,2281.6,2294.55,2245.0,2259.35,2259.35,13.0,81.02,4675.0,550.0,04-Aug-2021,,,N,,,,,
