FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,622.15,627.25,620.65,625.9,625.9,5908.0,44292.04,45108000.0,-318000.0,01-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,626.5,629.25,623.1,628.35,628.35,86.0,647.13,169200.0,16800.0,01-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,626.2,630.9,626.2,630.7,629.8,3.0,22.65,1200.0,1200.0,01-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,628.7,636.75,623.65,628.4,628.4,13591.0,102753.59,46929600.0,1821600.0,04-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,632.45,638.6,627.5,630.45,630.45,257.0,1946.87,228000.0,58800.0,04-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,634.9,638.85,634.9,638.85,630.55,2.0,15.28,2400.0,1200.0,04-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,623.25,668.0,621.1,666.05,666.05,36369.0,284201.78,50888400.0,3958800.0,05-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,627.2,669.5,627.1,668.25,668.25,871.0,6825.52,660000.0,432000.0,05-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,630.3,672.1,630.3,670.1,670.1,42.0,331.71,18000.0,15600.0,05-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,663.95,669.45,651.8,657.35,657.35,18792.0,149295.04,49086000.0,-1802400.0,06-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,665.0,671.5,655.0,659.2,659.2,426.0,3395.89,722400.0,62400.0,06-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,669.15,670.15,659.0,660.65,660.65,44.0,351.58,26400.0,8400.0,06-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,663.8,678.55,661.95,672.65,672.65,17462.0,140607.04,48328800.0,-757200.0,07-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,666.9,680.15,665.2,675.05,675.05,350.0,2826.87,760800.0,38400.0,07-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,675.0,681.0,670.0,676.35,676.35,29.0,235.17,30000.0,3600.0,07-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,679.45,680.35,669.75,673.6,673.6,10014.0,81074.24,46660800.0,-1668000.0,08-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,681.3,681.55,672.35,675.75,675.75,245.0,1992.06,762000.0,1200.0,08-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,682.35,682.35,674.85,678.25,678.25,20.0,162.49,37200.0,7200.0,08-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,677.25,677.7,661.5,668.8,668.8,7959.0,63714.15,46806000.0,145200.0,11-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,677.7,677.7,664.5,671.15,671.15,188.0,1508.8,776400.0,14400.0,11-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,672.85,674.0,668.85,673.5,673.5,12.0,96.65,44400.0,7200.0,11-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,665.75,687.85,662.05,678.5,678.5,14811.0,120214.48,48018000.0,1212000.0,12-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,667.8,690.0,664.35,680.15,680.15,300.0,2446.62,816000.0,39600.0,12-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,670.9,687.05,670.9,682.3,682.3,17.0,138.62,42000.0,-2400.0,12-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,677.2,694.5,671.25,690.9,690.9,17276.0,142056.38,48423600.0,405600.0,13-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,677.15,696.15,676.85,693.65,693.65,402.0,3319.55,850800.0,34800.0,13-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,683.55,695.0,683.4,695.0,695.0,18.0,148.57,37200.0,-4800.0,13-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,685.15,690.75,677.65,679.25,679.25,8553.0,70152.83,48154800.0,-268800.0,14-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,683.6,692.2,680.0,681.65,681.65,246.0,2024.3,880800.0,30000.0,14-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,691.3,691.3,683.0,683.0,681.55,11.0,90.55,43200.0,6000.0,14-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,679.35,684.0,671.0,675.85,675.85,12609.0,102425.92,46790400.0,-1364400.0,15-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,680.95,686.0,674.0,677.85,677.85,396.0,3227.92,968400.0,87600.0,15-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,683.0,686.3,677.0,680.4,680.4,12.0,98.14,42000.0,-1200.0,15-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,676.0,677.55,652.65,657.05,657.05,15928.0,127322.43,46213200.0,-577200.0,18-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,679.25,679.25,655.0,659.1,659.1,680.0,5443.52,1129200.0,160800.0,18-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,681.2,681.2,658.0,659.4,659.4,24.0,192.37,48000.0,6000.0,18-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,658.5,673.5,658.5,669.75,669.75,10877.0,87255.95,44560800.0,-1652400.0,19-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,664.15,675.35,662.2,671.85,671.85,892.0,7179.44,1536000.0,406800.0,19-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,673.0,674.0,670.65,674.0,674.0,5.0,40.32,49200.0,1200.0,19-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,675.0,681.9,665.0,676.1,676.1,10357.0,84071.14,43773600.0,-787200.0,20-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,666.9,683.95,666.9,678.3,678.3,1251.0,10187.37,2070000.0,534000.0,20-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,674.0,684.0,674.0,680.9,680.9,7.0,57.2,51600.0,2400.0,20-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,682.0,695.8,670.45,677.1,677.1,17750.0,146139.39,41382000.0,-2391600.0,21-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,683.0,697.95,672.8,679.75,679.75,2757.0,22804.18,2745600.0,675600.0,21-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,686.95,699.95,677.0,681.55,681.55,40.0,332.1,63600.0,12000.0,21-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,672.65,674.95,640.15,646.35,646.35,22987.0,180084.31,38668800.0,-2713200.0,22-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,676.75,677.45,642.6,648.35,648.35,7898.0,62079.06,7628400.0,4882800.0,22-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,675.0,675.0,645.1,649.8,649.8,82.0,644.61,116400.0,52800.0,22-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,28-Jan-2021,0.0,XX,653.0,667.75,640.2,658.2,658.2,28295.0,224137.21,30013200.0,-8655600.0,25-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Feb-2021,0.0,XX,654.85,669.5,642.15,659.75,659.75,14943.0,118856.14,17228400.0,9600000.0,25-Jan-2021,,,N,,,,,
FUTSTK,AXISBANK,25-Mar-2021,0.0,XX,662.0,670.0,646.95,661.3,661.3,65.0,517.43,90000.0,-26400.0,25-Jan-2021,,,N,,,,,
