FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8949.05,8997.2,8895.05,8922.55,8922.55,1908.0,21337.69,801000.0,27500.0,01-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9005.05,9005.05,8916.5,8943.85,8943.85,53.0,594.66,11375.0,2750.0,01-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8980.0,8980.0,8980.0,8980.0,8956.75,1.0,11.22,125.0,125.0,01-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8965.0,9118.0,8875.0,8944.95,8944.95,5673.0,63652.32,832375.0,31375.0,04-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8974.2,9130.0,8908.6,8975.7,8975.7,165.0,1853.46,11750.0,375.0,04-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9087.8,9089.0,9000.0,9000.0,9000.0,3.0,33.97,375.0,250.0,04-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8945.0,8959.95,8769.0,8868.0,8868.0,4389.0,48579.83,841250.0,8875.0,05-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8949.85,8949.85,8800.0,8892.85,8892.85,91.0,1009.27,16625.0,4875.0,05-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8901.6,8901.6,8901.6,8901.6,8902.35,2.0,22.25,625.0,250.0,05-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8900.55,8925.0,8663.05,8826.45,8826.45,5008.0,54973.22,858875.0,17625.0,06-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8928.4,8938.6,8698.1,8853.25,8853.25,66.0,725.42,19375.0,2750.0,06-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8815.3,8880.0,8740.0,8880.0,8880.0,5.0,55.02,875.0,250.0,06-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8843.15,9118.95,8843.15,9030.9,9030.9,6109.0,68732.27,872000.0,13125.0,07-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8914.95,9151.0,8914.8,9055.05,9055.05,78.0,880.35,20500.0,1125.0,07-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8972.05,9130.0,8972.05,9130.0,9068.95,2.0,22.62,750.0,-125.0,07-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9064.05,9310.0,8979.05,9180.0,9180.0,7885.0,90405.52,769125.0,-102875.0,08-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9103.05,9334.0,9008.0,9212.85,9212.85,108.0,1245.58,20500.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9068.95,9270.0,9068.95,9270.0,9253.05,3.0,34.51,750.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9201.45,9279.0,8972.0,8999.55,8999.55,4844.0,54986.43,723000.0,-46125.0,11-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9223.15,9309.75,9010.7,9022.85,9022.85,142.0,1616.75,26000.0,5500.0,11-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9175.0,9175.0,9057.3,9057.3,9057.3,7.0,79.95,1625.0,875.0,11-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9001.05,9083.0,8943.4,9000.1,9000.1,4038.0,45510.66,771625.0,48625.0,12-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9010.0,9099.95,8980.0,9029.15,9029.15,79.0,893.47,27250.0,1250.0,12-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9057.3,9077.95,9030.0,9030.0,9030.0,6.0,67.92,2125.0,500.0,12-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9045.65,9057.05,8730.0,8828.15,8828.15,5030.0,55814.55,754500.0,-17125.0,13-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9036.6,9088.5,8765.0,8849.5,8849.5,122.0,1358.7,32125.0,4875.0,13-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9058.0,9058.0,8800.0,8885.0,8885.0,18.0,201.19,4125.0,2000.0,13-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8811.75,8949.0,8688.0,8778.35,8778.35,4779.0,52538.73,755000.0,500.0,14-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8799.0,8975.0,8722.0,8809.25,8809.25,141.0,1557.42,36750.0,4625.0,14-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8854.35,8885.0,8834.2,8834.2,8834.2,6.0,66.47,4625.0,500.0,14-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8792.5,8840.0,8611.0,8657.3,8657.3,4895.0,53299.32,762625.0,7625.0,15-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8832.35,8852.55,8650.0,8691.35,8691.35,178.0,1943.57,42125.0,5375.0,15-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8834.2,8834.2,8700.0,8720.25,8720.25,28.0,306.35,6250.0,1625.0,15-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8656.85,8656.9,8274.2,8360.3,8360.3,6078.0,63827.92,726625.0,-36000.0,18-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8725.0,8725.0,8305.5,8382.65,8382.65,484.0,5115.0,56625.0,14500.0,18-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8610.0,8620.0,8292.55,8376.55,8376.55,24.0,254.16,6750.0,500.0,18-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8411.0,9001.95,8411.0,8946.55,8946.55,8703.0,95518.78,664625.0,-62000.0,19-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8464.0,9025.65,8464.0,8968.4,8968.4,559.0,6115.84,55250.0,-1375.0,19-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8510.95,9020.0,8508.35,9005.0,9005.0,58.0,637.72,5375.0,-1375.0,19-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,8958.8,9036.1,8855.0,8942.95,8942.95,5466.0,61185.21,639375.0,-25250.0,20-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8905.0,9059.4,8900.75,8969.2,8969.2,447.0,5023.34,62125.0,6875.0,20-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9005.95,9006.0,8955.8,8977.65,8977.65,17.0,190.73,5125.0,-250.0,20-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9000.05,9417.35,8965.65,9079.85,9079.85,14323.0,165813.37,633750.0,-5625.0,21-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9053.85,9442.1,9053.85,9105.2,9105.2,1640.0,19044.19,85500.0,23375.0,21-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9040.0,9469.65,9040.0,9149.6,9149.6,44.0,511.78,5125.0,0.0,21-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9079.95,9210.0,8977.7,9063.05,9063.05,6281.0,71340.31,533250.0,-100500.0,22-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9088.85,9243.75,9010.0,9092.5,9092.5,1093.0,12461.99,110875.0,25375.0,22-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9149.0,9160.0,9046.0,9135.95,9136.8,16.0,182.66,5750.0,625.0,22-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9155.85,9362.25,9092.65,9187.95,9187.95,6752.0,77827.96,312875.0,-220375.0,25-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9210.3,9394.95,9126.2,9216.2,9216.2,3477.0,40189.07,338500.0,227625.0,25-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9329.75,9332.55,9222.6,9238.25,9238.25,22.0,255.65,5625.0,-125.0,25-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9184.25,9289.8,9039.55,9112.0,9112.0,3987.0,45635.26,152625.0,-160250.0,27-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9287.2,9320.05,9062.3,9137.25,9137.25,3749.0,43056.62,443375.0,104875.0,27-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9162.0,9300.0,9140.85,9162.55,9162.55,37.0,424.67,6000.0,375.0,27-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,28-Jan-2021,0.0,XX,9030.1,9205.6,8814.45,8935.45,8955.2,3357.0,37738.77,34625.0,-118000.0,28-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9081.1,9232.0,8834.55,8982.15,8982.15,6614.0,74462.43,607000.0,163625.0,28-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9067.55,9245.0,8867.05,9005.15,9005.15,48.0,542.4,6875.0,875.0,28-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9070.0,9140.25,8733.0,8776.1,8776.1,6064.0,68034.28,652500.0,45500.0,29-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9129.95,9150.0,8766.55,8787.15,8787.15,55.0,616.78,8875.0,2000.0,29-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,29-Apr-2021,0.0,XX,9079.5,9079.5,9079.5,9079.5,8814.6,1.0,11.34,125.0,125.0,29-Jan-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,8787.45,9878.25,8658.05,9780.5,9780.5,13223.0,154886.96,690750.0,38250.0,01-Feb-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,8850.0,9894.95,8770.0,9808.25,9808.25,210.0,2469.54,16500.0,7625.0,01-Feb-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,29-Apr-2021,0.0,XX,8857.4,9686.95,8857.4,9686.95,9819.1,6.0,71.09,750.0,625.0,01-Feb-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9852.05,10034.45,9365.0,9541.9,9541.9,9710.0,117392.95,681000.0,-9750.0,02-Feb-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Mar-2021,0.0,XX,9900.0,10032.55,9400.0,9585.3,9585.3,227.0,2745.55,18375.0,1875.0,02-Feb-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,29-Apr-2021,0.0,XX,9896.75,10050.0,9532.65,9532.65,9532.65,20.0,244.97,1250.0,500.0,02-Feb-2021,,,N,,,,,
FUTSTK,BAJAJFINSV,25-Feb-2021,0.0,XX,9624.85,9666.15,9472.0,9581.8,9581.8,3670.0,43831.15,677625.0,-3375.0,03-Feb-2021,,,N,,,,,
