FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5308.9,5329.0,5270.15,5287.95,5287.95,4772.0,63239.3,5127250.0,33500.0,01-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5299.95,5323.0,5282.0,5284.4,5284.4,144.0,1906.45,58250.0,1500.0,01-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5340.15,5340.15,5286.85,5300.6,5331.4,13.0,172.23,3000.0,3000.0,01-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5319.25,5327.0,5213.45,5239.6,5239.6,10327.0,135846.28,5183000.0,55750.0,04-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5301.35,5323.15,5217.0,5236.3,5236.3,213.0,2800.69,64250.0,6000.0,04-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5292.35,5300.1,5225.1,5237.2,5237.2,9.0,118.05,4250.0,1250.0,04-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5237.65,5241.8,5083.7,5145.6,5145.6,17563.0,225724.54,5356250.0,173250.0,05-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5272.85,5272.9,5097.0,5151.0,5151.0,477.0,6138.55,78500.0,14250.0,05-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5220.0,5220.0,5089.95,5147.5,5147.5,41.0,526.13,10500.0,6250.0,05-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5135.3,5187.85,5011.0,5056.05,5056.05,17050.0,216541.39,5490000.0,133750.0,06-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5146.15,5186.55,5013.25,5057.25,5057.25,382.0,4850.07,90000.0,11500.0,06-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5157.7,5157.7,5019.0,5062.9,5062.9,36.0,456.33,14000.0,3500.0,06-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5087.5,5158.15,5042.95,5108.45,5108.45,15890.0,202893.56,5344000.0,-146000.0,07-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5095.6,5160.0,5046.1,5112.25,5112.25,408.0,5217.82,92000.0,2000.0,07-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5110.0,5159.95,5059.85,5118.15,5118.15,35.0,448.01,12750.0,-1250.0,07-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5140.0,5154.0,5056.05,5101.3,5101.3,12776.0,163247.79,5358500.0,14500.0,08-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5137.25,5157.95,5061.15,5104.2,5104.2,420.0,5371.02,103500.0,11500.0,08-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5135.0,5159.95,5070.0,5108.85,5108.85,31.0,397.07,14000.0,1250.0,08-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5120.0,5129.15,4976.05,5006.15,5006.15,13085.0,164153.99,5622250.0,263750.0,11-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5120.9,5120.9,4984.6,5008.1,5008.1,401.0,5044.05,130250.0,26750.0,11-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5100.45,5100.45,4991.0,5015.25,5015.25,44.0,553.36,21750.0,7750.0,11-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,4995.75,5122.2,4965.9,5066.15,5066.15,15418.0,194668.29,5673750.0,51500.0,12-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Feb-2021,0.0,XX,5008.8,5126.0,4976.25,5069.15,5069.15,418.0,5283.82,125000.0,-5250.0,12-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,25-Mar-2021,0.0,XX,5015.0,5120.0,5015.0,5070.0,5070.0,35.0,442.73,19500.0,-2250.0,12-Jan-2021,,,N,,,,,
FUTSTK,BAJFINANCE,28-Jan-2021,0.0,XX,5091.9,5091.9,4830.0,4916.15,4916.15,20940.0,258950.91,6060250.0,386500.0,13-Jan-2021,,,N,,,,,
