FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,402.05,405.85,398.0,400.95,400.95,4051.0,29252.09,11484000.0,585000.0,01-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,403.3,406.5,400.6,403.4,403.4,45.0,326.31,156600.0,19800.0,01-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,402.6,404.85,402.0,402.0,404.1,3.0,21.77,3600.0,3600.0,01-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,403.7,404.75,394.75,397.95,397.95,5151.0,36937.39,12630600.0,1146600.0,04-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,405.0,405.0,396.75,399.55,399.55,65.0,467.36,214200.0,57600.0,04-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,402.0,402.0,400.4,400.4,400.7,3.0,21.65,9000.0,5400.0,04-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,393.05,405.4,391.6,403.45,403.45,7371.0,53002.63,13167000.0,536400.0,05-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,395.0,406.6,394.9,405.05,405.05,97.0,699.45,266400.0,52200.0,05-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,400.7,406.45,400.7,405.15,405.15,7.0,50.97,5400.0,-3600.0,05-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,404.3,409.65,395.1,396.85,396.85,6515.0,47191.05,13811400.0,644400.0,06-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,408.5,410.85,397.75,398.5,398.5,76.0,552.92,271800.0,5400.0,06-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,411.15,411.15,400.0,400.45,400.45,9.0,65.37,18000.0,12600.0,06-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,408.1,412.2,401.75,407.15,407.15,8578.0,62937.04,13923000.0,111600.0,07-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,410.2,413.5,403.75,410.35,410.35,108.0,795.25,270000.0,-1800.0,07-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,410.0,411.0,409.15,409.15,409.15,6.0,44.28,18000.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,410.95,426.5,410.4,421.05,421.05,11689.0,88467.94,13480200.0,-442800.0,08-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,414.25,427.6,412.3,423.1,423.1,220.0,1666.06,291600.0,21600.0,08-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,425.0,425.0,424.0,424.0,424.0,2.0,15.28,18000.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,423.2,424.85,405.55,409.2,409.2,6292.0,46640.47,12789000.0,-691200.0,11-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,424.25,424.65,408.35,410.7,410.7,136.0,1013.55,280800.0,-10800.0,11-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,424.1,424.1,408.0,409.25,411.9,14.0,104.21,30600.0,12600.0,11-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,406.3,406.3,389.1,391.9,391.9,12316.0,87956.16,17695800.0,4906800.0,12-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,404.0,406.8,391.05,393.65,393.65,381.0,2729.04,559800.0,279000.0,12-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,400.05,404.0,393.6,395.0,395.0,38.0,272.23,70200.0,39600.0,12-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,396.95,396.95,371.2,377.05,377.05,11405.0,78328.53,19769400.0,2073600.0,13-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,396.8,396.8,373.05,378.65,378.65,802.0,5518.89,1096200.0,536400.0,13-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,391.4,391.4,373.75,380.15,380.15,40.0,275.56,106200.0,36000.0,13-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,376.25,381.3,370.8,375.1,375.1,5752.0,38976.46,20403000.0,633600.0,14-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,376.35,381.8,373.0,376.45,376.45,426.0,2897.11,1278000.0,181800.0,14-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,383.4,383.4,376.2,378.1,378.1,20.0,136.72,120600.0,14400.0,14-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,28-Jan-2021,0.0,XX,376.05,378.75,362.55,369.8,369.8,8675.0,57807.42,20428200.0,25200.0,15-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Feb-2021,0.0,XX,378.0,379.45,365.0,371.4,371.4,433.0,2895.63,1391400.0,113400.0,15-Jan-2021,,,N,,,,,
FUTSTK,BANDHANBNK,25-Mar-2021,0.0,XX,373.0,376.0,366.8,373.15,373.15,23.0,154.05,133200.0,12600.0,15-Jan-2021,,,N,,,,,
