FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,BANKBARODA,28-Jan-2021,0.0,XX,61.25,64.75,61.25,64.3,64.3,4124.0,30652.11,54639000.0,4387500.0,01-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Feb-2021,0.0,XX,61.45,64.6,61.45,64.35,64.35,82.0,609.08,4258800.0,187200.0,01-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Mar-2021,0.0,XX,0.0,0.0,0.0,62.0,65.15,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,28-Jan-2021,0.0,XX,64.9,66.1,63.9,65.75,65.75,4816.0,36703.33,57973500.0,3334500.0,04-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Feb-2021,0.0,XX,65.4,66.05,64.05,65.8,65.8,175.0,1335.77,4446000.0,187200.0,04-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Mar-2021,0.0,XX,66.0,66.0,64.5,65.85,65.85,6.0,46.13,58500.0,58500.0,04-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,28-Jan-2021,0.0,XX,65.0,66.1,64.65,65.55,65.55,3751.0,28692.09,59529600.0,1556100.0,05-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Feb-2021,0.0,XX,64.75,66.05,64.7,65.5,65.5,369.0,2819.36,6786000.0,2340000.0,05-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Mar-2021,0.0,XX,65.45,65.85,65.0,65.55,65.55,13.0,99.46,140400.0,81900.0,05-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,28-Jan-2021,0.0,XX,65.55,67.8,64.5,65.45,65.45,5902.0,45786.0,58406400.0,-1123200.0,06-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Feb-2021,0.0,XX,65.85,67.6,64.55,65.45,65.45,272.0,2106.24,6376500.0,-409500.0,06-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Mar-2021,0.0,XX,66.3,67.05,64.95,65.8,65.8,16.0,124.09,222300.0,81900.0,06-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,28-Jan-2021,0.0,XX,66.35,67.05,65.6,66.15,66.15,2982.0,23126.76,57376800.0,-1029600.0,07-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Feb-2021,0.0,XX,66.45,66.95,65.7,66.2,66.2,182.0,1410.47,6821100.0,444600.0,07-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Mar-2021,0.0,XX,66.0,66.35,65.9,66.35,66.35,6.0,46.4,210600.0,-11700.0,07-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,28-Jan-2021,0.0,XX,66.95,67.2,65.4,65.6,65.6,2252.0,17469.4,57704400.0,327600.0,08-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Feb-2021,0.0,XX,67.05,67.2,65.5,65.65,65.65,149.0,1158.13,6704100.0,-117000.0,08-Jan-2021,,,N,,,,
FUTSTK,BANKBARODA,25-Mar-2021,0.0,XX,66.6,67.0,65.75,65.75,66.15,13.0,101.47,245700.0,35100.0,08-Jan-2021,,,N,,,,
