FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31250.0,31425.0,31250.0,31309.35,31309.35,96135.0,753282.67,1433225.0,19800.0,01-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31350.0,31479.95,31317.35,31361.3,31361.3,1538.0,12073.16,57100.0,2100.0,01-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31372.1,31515.65,31372.1,31402.85,31402.85,151.0,1187.16,1925.0,1925.0,01-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31450.25,31599.0,30930.8,31326.55,31326.55,214515.0,1678831.03,1467975.0,34750.0,04-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31523.45,31625.0,30999.65,31378.85,31378.85,4518.0,35428.05,58950.0,1850.0,04-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31560.0,31668.0,31052.5,31445.1,31445.1,468.0,3677.23,4850.0,2925.0,04-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31130.0,31844.0,31011.1,31798.75,31798.75,215051.0,1691251.66,1799325.0,331350.0,05-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31142.9,31896.85,31073.25,31853.55,31853.55,6558.0,51659.97,86800.0,27850.0,05-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31280.0,31958.05,31101.75,31903.85,31903.85,780.0,6163.89,6525.0,1675.0,05-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31875.0,32089.7,31662.5,31903.1,31903.1,200962.0,1602467.6,1732375.0,-66950.0,06-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31909.55,32132.85,31728.4,31937.9,31937.9,5181.0,41406.93,91225.0,4425.0,06-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,31891.9,32180.0,31784.8,32000.35,32000.35,961.0,7689.39,9800.0,3275.0,06-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32106.05,32294.95,32034.05,32078.75,32078.75,162051.0,1302483.8,1726675.0,-5700.0,07-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32185.0,32340.0,32095.05,32137.2,32137.2,3823.0,30780.02,92325.0,1100.0,07-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32195.25,32380.0,32139.6,32198.4,32198.4,657.0,5296.55,10375.0,575.0,07-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32305.1,32337.95,32080.2,32172.7,32172.7,136696.0,1100762.64,1681150.0,-45525.0,08-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32325.0,32367.0,32146.75,32229.4,32229.4,4357.0,35153.96,101725.0,9400.0,08-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32402.95,32416.8,32200.0,32285.85,32285.85,581.0,4694.02,11525.0,1150.0,08-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32480.0,32480.0,31888.0,32096.25,32096.25,163586.0,1311747.86,1566175.0,-114975.0,11-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32403.35,32403.35,31950.5,32160.5,32160.5,3290.0,26437.44,114475.0,12750.0,11-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32265.55,32347.65,32012.0,32211.05,32211.05,787.0,6330.79,9800.0,-1725.0,11-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,31849.95,32508.9,31810.0,32455.05,32455.05,172891.0,1392643.19,1570800.0,4625.0,12-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,31978.0,32563.85,31878.45,32524.8,32524.8,5249.0,42427.35,112125.0,-2350.0,12-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32018.1,32602.0,31924.05,32550.55,32550.55,750.0,6066.47,10050.0,250.0,12-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32603.0,32758.15,32251.85,32685.15,32685.15,230896.0,1879844.15,1377625.0,-193175.0,13-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32624.0,32815.05,32331.0,32753.35,32753.35,6072.0,49550.91,107475.0,-4650.0,13-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32681.1,32868.0,32375.0,32800.1,32800.1,950.0,7765.47,11100.0,1050.0,13-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32600.0,32861.4,32562.1,32647.8,32647.8,133494.0,1090803.72,1400800.0,23175.0,14-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32684.85,32864.95,32635.0,32723.25,32723.25,3045.0,24931.11,111625.0,4150.0,14-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32804.95,32915.8,32281.5,32775.45,32775.45,545.0,4467.12,13075.0,1975.0,14-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32600.0,32610.0,32105.0,32314.05,32314.05,198320.0,1603068.52,1449875.0,49075.0,15-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32643.8,32668.15,32176.95,32384.65,32384.65,5338.0,43242.38,127175.0,15550.0,15-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32626.85,32700.0,32227.45,32444.85,32444.85,826.0,6697.26,14850.0,1775.0,15-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32315.65,32467.85,31691.7,31815.7,31815.7,225443.0,1808977.98,1583550.0,133675.0,18-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32328.0,32521.95,31750.0,31842.65,31842.65,7084.0,56941.0,148725.0,21550.0,18-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Mar-2021,0.0,XX,32310.0,32570.9,31820.0,31908.3,31908.3,783.0,6302.26,17475.0,2625.0,18-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,28-Jan-2021,0.0,XX,32085.5,32569.75,31919.0,32520.9,32520.9,177566.0,1431181.61,1583425.0,-125.0,19-Jan-2021,,,N,,,,,
FUTIDX,BANKNIFTY,25-Feb-2021,0.0,XX,32100.0,32630.1,31998.0,32588.45,32588.45,7422.0,59988.12,172150.0,23425.0,19-Jan-2021,,,N,,,,,
