FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BHEL,28-Jan-2021,0.0,XX,36.2,39.25,36.0,39.0,39.0,6387.0,50777.25,116067000.0,17388000.0,01-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,36.4,39.3,36.15,39.0,39.0,252.0,1992.74,5502000.0,1218000.0,01-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,36.7,39.35,36.7,39.3,39.3,8.0,64.14,126000.0,126000.0,01-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,39.45,41.1,38.85,40.85,40.85,6717.0,56744.73,117894000.0,1827000.0,04-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,39.8,41.05,38.95,40.9,40.9,365.0,3076.13,6846000.0,1344000.0,04-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,40.4,41.1,39.15,41.05,41.05,45.0,381.75,546000.0,420000.0,04-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,40.15,40.85,39.75,40.35,40.35,3091.0,26156.66,115206000.0,-2688000.0,05-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,40.05,40.95,39.85,40.35,40.35,141.0,1194.31,7350000.0,504000.0,05-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,40.6,40.8,40.2,40.5,40.5,13.0,110.62,777000.0,231000.0,05-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,40.45,40.8,38.35,39.55,39.55,4325.0,36075.23,113547000.0,-1659000.0,06-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,40.55,40.75,38.4,39.5,39.5,219.0,1819.68,7308000.0,-42000.0,06-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,40.7,40.7,38.85,39.85,39.85,43.0,362.1,1197000.0,420000.0,06-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,40.0,40.35,39.2,39.5,39.5,2416.0,20168.98,112140000.0,-1407000.0,07-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,39.8,40.2,39.2,39.5,39.5,110.0,917.93,7686000.0,378000.0,07-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,40.35,40.45,39.55,39.75,39.75,13.0,109.09,1281000.0,84000.0,07-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,39.95,40.75,39.15,39.55,39.55,3857.0,32465.63,113526000.0,1386000.0,08-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,40.1,40.75,39.25,39.55,39.55,187.0,1578.24,8463000.0,777000.0,08-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,40.25,40.75,39.7,39.7,39.7,16.0,134.99,1281000.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,39.95,40.15,38.4,39.15,39.15,2248.0,18472.27,113673000.0,147000.0,11-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,39.95,39.95,38.65,39.25,39.25,142.0,1170.03,9597000.0,1134000.0,11-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,39.8,39.8,38.75,39.3,39.3,18.0,148.44,1512000.0,231000.0,11-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,39.25,40.2,38.8,39.6,39.6,2340.0,19513.07,113799000.0,126000.0,12-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Feb-2021,0.0,XX,38.85,40.2,38.85,39.6,39.6,203.0,1696.18,10311000.0,714000.0,12-Jan-2021,,,N,,,,,
FUTSTK,BHEL,25-Mar-2021,0.0,XX,39.65,40.0,39.65,39.7,39.7,4.0,33.39,1575000.0,63000.0,12-Jan-2021,,,N,,,,,
FUTSTK,BHEL,28-Jan-2021,0.0,XX,40.0,42.5,39.85,40.9,40.9,9102.0,78927.79,117222000.0,3423000.0,13-Jan-2021,,,N,,,,,
