FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,465.65,469.8,464.5,467.0,467.0,1460.0,15692.21,10340800.0,-48300.0,01-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,467.4,471.0,467.0,468.8,468.8,19.0,204.96,142600.0,9200.0,01-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,470.15,470.15,469.0,469.0,470.25,2.0,21.6,4600.0,4600.0,01-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,468.55,470.9,465.3,468.05,468.05,2515.0,27090.24,10655900.0,315100.0,04-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,470.5,472.15,467.5,470.1,470.1,35.0,378.19,163300.0,20700.0,04-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,470.25,472.9,470.25,470.4,471.45,4.0,43.38,11500.0,6900.0,04-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,470.0,472.25,462.55,469.45,469.45,2025.0,21730.54,10363800.0,-292100.0,05-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,466.0,471.7,465.0,471.6,471.6,42.0,451.62,177100.0,13800.0,05-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,468.5,472.1,466.45,472.1,471.95,7.0,75.59,9200.0,-2300.0,05-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,468.05,470.2,455.1,462.0,462.0,2148.0,22871.61,11058400.0,694600.0,06-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,470.7,470.7,457.0,464.6,464.6,56.0,596.6,248400.0,71300.0,06-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,467.4,467.4,464.0,464.0,464.0,2.0,21.42,11500.0,2300.0,06-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,462.0,464.75,456.3,457.35,457.35,1556.0,16423.42,11249300.0,190900.0,07-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,466.8,466.8,458.5,459.1,459.1,30.0,317.53,289800.0,41400.0,07-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,462.1,462.3,462.1,462.3,458.9,2.0,21.26,16100.0,4600.0,07-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,463.1,468.7,462.1,465.75,465.75,3819.0,40911.74,10814600.0,-434700.0,08-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,466.0,470.45,464.9,468.1,468.1,75.0,806.45,266800.0,-23000.0,08-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,465.05,470.0,465.05,467.0,467.0,7.0,75.39,13800.0,-2300.0,08-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,464.85,474.9,458.0,473.15,473.15,3817.0,41146.97,11127400.0,312800.0,11-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,460.95,476.5,460.0,475.1,475.1,133.0,1438.83,319700.0,52900.0,11-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,463.95,477.7,463.95,477.7,477.7,5.0,54.12,16100.0,2300.0,11-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,472.95,474.75,467.05,472.25,472.25,2349.0,25488.38,10791600.0,-335800.0,12-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,474.35,475.9,469.05,473.65,473.65,89.0,968.56,342700.0,23000.0,12-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,0.0,0.0,0.0,477.7,475.75,0.0,0.0,16100.0,0.0,12-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,472.7,473.1,461.4,464.25,464.25,1928.0,20670.95,10984800.0,193200.0,13-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,472.25,472.25,464.0,466.1,466.1,77.0,829.13,368000.0,25300.0,13-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Mar-2021,0.0,XX,473.0,473.0,466.0,468.0,468.0,5.0,53.91,20700.0,4600.0,13-Jan-2021,,,N,,,,
FUTSTK,BIOCON,28-Jan-2021,0.0,XX,464.25,469.7,460.55,468.8,468.8,2014.0,21560.33,10821500.0,-163300.0,14-Jan-2021,,,N,,,,
FUTSTK,BIOCON,25-Feb-2021,0.0,XX,469.5,470.85,462.5,470.35,470.35,118.0,1267.57,441600.0,73600.0,14-Jan-2021,,,N,,,,
