FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BOSCHLTD,28-Jan-2021,0.0,XX,12843.65,13162.85,12725.0,13054.05,13054.05,1156.0,7518.94,145000.0,4500.0,01-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,25-Feb-2021,0.0,XX,12897.25,13191.4,12897.25,13108.25,13108.25,12.0,78.19,1700.0,-50.0,01-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,25-Mar-2021,0.0,XX,0.0,0.0,0.0,12893.85,13112.5,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,28-Jan-2021,0.0,XX,13187.05,13425.0,13125.0,13398.15,13398.15,1709.0,11363.12,146400.0,1400.0,04-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,25-Feb-2021,0.0,XX,13200.0,13471.65,13200.0,13471.65,13471.65,35.0,233.63,2200.0,500.0,04-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,25-Mar-2021,0.0,XX,13350.0,13350.0,13350.0,13350.0,13459.0,1.0,6.67,50.0,50.0,04-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,28-Jan-2021,0.0,XX,13301.15,13570.45,13200.25,13467.2,13467.2,1362.0,9140.22,148100.0,1700.0,05-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,25-Feb-2021,0.0,XX,12913.1,13631.35,12913.1,13530.0,13530.0,31.0,207.52,2600.0,400.0,05-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,25-Mar-2021,0.0,XX,13459.0,13459.0,13459.0,13459.0,13557.05,1.0,6.72,100.0,50.0,05-Jan-2021,,,N,,,,,
FUTSTK,BOSCHLTD,28-Jan-2021,0.0,XX,13476.0,13665.95,13180.35,13352.7,13352.7,1607.0,10794.83,143150.0,-4950.0,06-Jan-2021,,,N,,,,,
