FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3595.05,3619.3,3583.2,3589.25,3589.25,2968.0,21352.97,2354000.0,154600.0,01-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3607.75,3624.1,3593.25,3598.6,3598.6,35.0,252.42,22400.0,1800.0,01-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3715.0,3715.0,3612.25,3616.0,3602.35,8.0,58.05,1600.0,1600.0,01-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3609.95,3609.95,3554.25,3573.55,3573.55,4128.0,29526.19,2517800.0,163800.0,04-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3597.1,3612.9,3568.5,3587.2,3587.2,118.0,846.67,33400.0,11000.0,04-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3620.0,3620.0,3575.0,3598.4,3598.4,25.0,179.97,5400.0,3800.0,04-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3609.7,3609.7,3550.0,3570.45,3570.45,3694.0,26359.62,2705600.0,187800.0,05-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3575.5,3588.0,3570.0,3583.2,3583.2,72.0,515.29,38400.0,5000.0,05-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3589.75,3590.0,3588.5,3588.5,3583.95,3.0,21.53,6000.0,600.0,05-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3583.8,3614.6,3525.2,3558.75,3558.75,7420.0,53058.99,2841800.0,136200.0,06-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3595.0,3625.0,3542.0,3569.9,3569.9,159.0,1140.75,52200.0,13800.0,06-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3604.4,3623.95,3555.15,3582.25,3582.25,23.0,165.26,7600.0,1600.0,06-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3574.95,3579.0,3527.75,3565.15,3565.15,3990.0,28374.01,2888200.0,46400.0,07-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3585.8,3585.8,3546.7,3576.8,3576.8,135.0,963.53,59000.0,6800.0,07-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3602.0,3602.0,3565.0,3580.25,3580.25,5.0,35.81,7800.0,200.0,07-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3580.0,3595.05,3541.0,3579.65,3579.65,6866.0,48971.82,2886200.0,-2000.0,08-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3594.8,3608.1,3553.5,3592.75,3592.75,265.0,1897.55,69400.0,10400.0,08-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3585.0,3602.8,3570.0,3589.2,3589.2,22.0,157.84,9000.0,1200.0,08-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3558.5,3631.9,3474.15,3616.15,3616.15,6709.0,48425.45,2789000.0,-97200.0,11-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3542.5,3644.15,3475.2,3630.5,3630.5,431.0,3116.53,80800.0,11400.0,11-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3550.0,3652.55,3550.0,3640.0,3643.7,25.0,181.69,10800.0,1800.0,11-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3616.1,3653.0,3592.0,3638.55,3638.55,6192.0,44933.22,2585200.0,-203800.0,12-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3630.5,3664.0,3606.3,3653.45,3653.45,195.0,1418.31,77800.0,-3000.0,12-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3643.7,3670.7,3635.0,3663.15,3663.15,11.0,80.28,10600.0,-200.0,12-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3653.9,3658.4,3603.25,3635.7,3635.7,5669.0,41164.63,2508200.0,-77000.0,13-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3652.7,3670.0,3620.0,3648.1,3648.1,267.0,1944.12,82400.0,4600.0,13-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3635.0,3674.0,3632.9,3632.9,3651.7,8.0,58.5,10800.0,200.0,13-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3634.8,3722.3,3629.6,3682.45,3682.45,9426.0,69552.33,2338000.0,-170200.0,14-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3647.55,3734.05,3642.1,3694.95,3694.95,372.0,2753.4,84200.0,1800.0,14-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3690.0,3735.0,3684.6,3702.25,3702.25,23.0,170.68,10000.0,-800.0,14-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3701.9,3701.9,3575.55,3614.55,3614.55,4869.0,35321.11,2321800.0,-16200.0,15-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3700.9,3701.0,3590.0,3628.7,3628.7,266.0,1937.28,102200.0,18000.0,15-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3675.0,3675.0,3600.7,3639.45,3639.45,17.0,124.09,12200.0,2200.0,15-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3617.5,3664.1,3573.05,3607.9,3607.9,4997.0,36183.91,2175200.0,-146600.0,18-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3623.75,3678.75,3583.9,3622.9,3622.9,369.0,2683.36,90800.0,-11400.0,18-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3640.0,3686.5,3599.75,3650.55,3635.7,20.0,146.19,11400.0,-800.0,18-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3622.1,3649.9,3588.4,3617.2,3617.2,3967.0,28665.25,2146000.0,-29200.0,19-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3627.8,3674.0,3602.4,3628.95,3628.95,595.0,4313.75,125800.0,35000.0,19-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3642.55,3642.55,3617.0,3640.0,3628.65,8.0,58.08,11800.0,400.0,19-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3599.1,3641.95,3593.1,3602.9,3602.9,3376.0,24396.31,2180200.0,34200.0,20-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3629.3,3655.0,3610.0,3616.8,3616.8,666.0,4830.14,182200.0,56400.0,20-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3638.2,3638.2,3620.55,3625.0,3625.0,11.0,79.78,11800.0,0.0,20-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3608.0,3665.35,3605.05,3632.35,3632.35,5003.0,36428.48,2052000.0,-128200.0,21-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3620.0,3679.4,3619.35,3647.5,3647.5,861.0,6291.53,221600.0,39400.0,21-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3640.25,3680.05,3640.25,3648.25,3648.25,20.0,146.79,9800.0,-2000.0,21-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3654.0,3694.15,3601.05,3608.5,3608.5,5937.0,43312.19,1864200.0,-187800.0,22-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3662.25,3705.55,3615.0,3622.35,3622.35,2321.0,16966.52,354000.0,132400.0,22-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3692.6,3705.0,3629.8,3630.6,3630.6,23.0,168.88,8400.0,-1400.0,22-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3629.2,3635.7,3566.1,3610.65,3610.65,5976.0,43065.08,1193600.0,-670600.0,25-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3636.85,3645.0,3572.15,3616.35,3616.35,4887.0,35303.74,944400.0,590400.0,25-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3608.9,3635.0,3608.9,3632.5,3632.5,13.0,94.11,8800.0,400.0,25-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,28-Jan-2021,0.0,XX,3600.05,3642.95,3591.4,3606.0,3606.0,5498.0,39827.52,560800.0,-632800.0,27-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Feb-2021,0.0,XX,3618.95,3649.4,3602.2,3615.55,3615.55,4561.0,33107.11,1422400.0,478000.0,27-Jan-2021,,,N,,,,,
FUTSTK,BRITANNIA,25-Mar-2021,0.0,XX,3645.6,3650.0,3612.0,3625.3,3625.3,12.0,87.21,9000.0,200.0,27-Jan-2021,,,N,,,,,
