FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CAMS,26-Dec-2024,,XX,N,4989.6,5200.0,4938.05,4962.9,4994.95,4920.1,4962.9,1478.0,932530475.0,74500.0,74500.0,125.0,29-Nov-2024,,4928.2,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5089.0,5133.95,4980.3,4987.35,4987.35,4955.4,4987.35,24.0,15168943.75,2125.0,2125.0,125.0,29-Nov-2024,,4928.2,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5128.05,5128.05,5001.35,5001.35,5001.35,4983.25,5001.35,7.0,4428200.0,375.0,375.0,125.0,29-Nov-2024,,4928.2,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5000.0,5179.9,4986.45,5132.65,5145.05,4962.9,5132.65,2115.0,1354524150.0,134625.0,60125.0,125.0,02-Dec-2024,,5102.4,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5060.0,5280.0,5060.0,5195.6,5280.0,4987.35,5195.6,110.0,70909512.5,8750.0,6625.0,125.0,02-Dec-2024,,5102.4,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5124.4,5192.9,5124.4,5172.75,5176.0,5001.35,5172.75,10.0,6461725.0,1000.0,625.0,125.0,02-Dec-2024,,5102.4,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5144.95,5149.0,5023.0,5130.8,5131.95,5132.65,5130.8,997.0,633899425.0,150250.0,15625.0,125.0,03-Dec-2024,,5120.25,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5195.6,5195.6,5050.05,5162.1,5154.1,5195.6,5162.1,80.0,51108356.25,12000.0,3250.0,125.0,03-Dec-2024,,5120.25,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5141.75,5156.8,5090.0,5156.8,5156.8,5172.75,5156.8,8.0,5121106.25,1375.0,375.0,125.0,03-Dec-2024,,5120.25,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5131.95,5225.0,5117.65,5207.0,5223.5,5130.8,5207.0,1321.0,854199781.25,157625.0,7375.0,125.0,04-Dec-2024,,5181.8,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5153.8,5248.0,5150.0,5225.6,5242.55,5162.1,5225.6,90.0,58416100.0,12875.0,875.0,125.0,04-Dec-2024,,5181.8,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5208.0,5261.15,5189.0,5189.0,5189.0,5156.8,5189.0,3.0,1957268.75,1625.0,250.0,125.0,04-Dec-2024,,5181.8,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5210.5,5386.7,5146.35,5268.15,5261.0,5207.0,5268.15,3674.0,2429472731.25,219375.0,61750.0,125.0,05-Dec-2024,,5243.95,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5277.2,5398.7,5212.7,5293.45,5292.1,5225.6,5293.45,174.0,115517418.75,15875.0,3000.0,125.0,05-Dec-2024,,5243.95,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5300.0,5300.0,5262.45,5263.0,5263.0,5189.0,5263.0,6.0,3962412.5,1750.0,125.0,125.0,05-Dec-2024,,5243.95,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5279.55,5279.55,5060.1,5093.95,5087.2,5268.15,5093.95,2863.0,1829510125.0,335125.0,115750.0,125.0,06-Dec-2024,,5069.6,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5268.0,5278.85,5094.1,5129.8,5130.95,5293.45,5129.8,189.0,121458175.0,28625.0,12750.0,125.0,06-Dec-2024,,5069.6,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5265.0,5265.0,5121.0,5130.95,5130.95,5263.0,5130.95,23.0,14846437.5,3250.0,1500.0,125.0,06-Dec-2024,,5069.6,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5062.25,5335.15,5041.9,5296.55,5290.05,5093.95,5296.55,5375.0,3516802300.0,365750.0,30625.0,125.0,09-Dec-2024,,5269.55,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5109.0,5369.2,5099.95,5330.2,5336.05,5129.8,5330.2,252.0,165517381.25,27250.0,-1375.0,125.0,09-Dec-2024,,5269.55,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5185.0,5350.85,5185.0,5340.2,5350.8,5130.95,5340.2,23.0,15143650.0,3375.0,125.0,125.0,09-Dec-2024,,5269.55,
FUTSTK,CAMS,26-Dec-2024,,XX,N,5297.4,5303.5,5182.0,5233.85,5243.0,5296.55,5233.85,1989.0,1300269643.75,425125.0,59375.0,125.0,10-Dec-2024,,5211.45,
FUTSTK,CAMS,30-Jan-2025,,XX,N,5334.7,5334.75,5223.45,5269.75,5281.4,5330.2,5269.75,112.0,73721687.5,30000.0,2750.0,125.0,10-Dec-2024,,5211.45,
FUTSTK,CAMS,27-Feb-2025,,XX,N,5289.85,5296.95,5236.35,5294.7,5296.95,5340.2,5294.7,10.0,6598368.75,3250.0,-125.0,125.0,10-Dec-2024,,5211.45,
