FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CGPOWER,26-Dec-2024,,XX,N,753.0,758.95,730.0,735.0,731.4,756.6,735.0,835.0,449428478.75,334950.0,334950.0,725.0,29-Nov-2024,,732.25,
FUTSTK,CGPOWER,30-Jan-2025,,XX,N,747.45,751.8,734.5,739.1,740.45,762.0,739.1,22.0,11877820.0,12325.0,12325.0,725.0,29-Nov-2024,,732.25,
FUTSTK,CGPOWER,27-Feb-2025,,XX,N,758.15,758.15,748.9,751.3,751.3,766.3,751.3,13.0,7105290.0,9425.0,9425.0,725.0,29-Nov-2024,,732.25,
FUTSTK,CGPOWER,26-Dec-2024,,XX,N,735.0,765.0,733.3,760.05,760.9,735.0,760.05,1381.0,756512378.75,727175.0,392225.0,725.0,02-Dec-2024,,755.2,
FUTSTK,CGPOWER,30-Jan-2025,,XX,N,740.0,766.0,740.0,761.85,764.3,739.1,761.85,46.0,25317435.0,23925.0,11600.0,725.0,02-Dec-2024,,755.2,
FUTSTK,CGPOWER,27-Feb-2025,,XX,N,747.25,771.0,747.25,767.45,767.45,751.3,767.45,69.0,38319403.75,47125.0,37700.0,725.0,02-Dec-2024,,755.2,
FUTSTK,CGPOWER,26-Dec-2024,,XX,N,755.15,767.95,755.15,765.1,764.65,760.05,765.1,923.0,511173937.5,841725.0,114550.0,725.0,03-Dec-2024,,761.3,
FUTSTK,CGPOWER,30-Jan-2025,,XX,N,770.75,770.75,761.6,768.95,769.1,761.85,768.95,52.0,28939571.25,39150.0,15225.0,725.0,03-Dec-2024,,761.3,
FUTSTK,CGPOWER,27-Feb-2025,,XX,N,775.0,775.0,770.0,773.0,773.1,767.45,773.0,20.0,11195885.0,52925.0,5800.0,725.0,03-Dec-2024,,761.3,
FUTSTK,CGPOWER,26-Dec-2024,,XX,N,765.1,774.8,754.4,755.95,758.25,765.1,755.95,1370.0,757538797.5,1299200.0,457475.0,725.0,04-Dec-2024,,752.2,
FUTSTK,CGPOWER,30-Jan-2025,,XX,N,769.4,778.75,759.3,760.5,761.1,768.95,760.5,70.0,38965342.5,56550.0,17400.0,725.0,04-Dec-2024,,752.2,
FUTSTK,CGPOWER,27-Feb-2025,,XX,N,773.4,781.0,764.55,764.55,764.55,773.0,764.55,10.0,5598595.0,55825.0,2900.0,725.0,04-Dec-2024,,752.2,
FUTSTK,CGPOWER,26-Dec-2024,,XX,N,760.6,783.0,756.0,771.75,773.85,755.95,771.75,2535.0,1419961002.5,1785675.0,486475.0,725.0,05-Dec-2024,,769.35,
FUTSTK,CGPOWER,30-Jan-2025,,XX,N,764.65,788.05,764.3,776.4,778.55,760.5,776.4,86.0,48435075.0,66700.0,10150.0,725.0,05-Dec-2024,,769.35,
FUTSTK,CGPOWER,27-Feb-2025,,XX,N,780.2,782.15,780.0,782.15,782.15,764.55,782.15,4.0,2264356.25,56550.0,725.0,725.0,05-Dec-2024,,769.35,
FUTSTK,CGPOWER,26-Dec-2024,,XX,N,776.95,789.5,768.2,786.45,787.25,771.75,786.45,2094.0,1184549442.5,1950975.0,165300.0,725.0,06-Dec-2024,,782.5,
