FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,CHOLAFIN,28-Jan-2021,0.0,XX,387.65,415.5,387.65,412.25,412.25,4229.0,42745.51,5107500.0,755000.0,01-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Feb-2021,0.0,XX,393.7,413.95,393.7,411.1,411.1,24.0,242.68,65000.0,17500.0,01-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Mar-2021,0.0,XX,400.0,400.0,400.0,400.0,415.35,2.0,20.0,5000.0,5000.0,01-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,28-Jan-2021,0.0,XX,414.95,441.35,414.85,439.4,439.4,5683.0,60675.88,5372500.0,265000.0,04-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Feb-2021,0.0,XX,417.6,439.0,415.65,438.2,438.2,46.0,492.43,100000.0,35000.0,04-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Mar-2021,0.0,XX,415.0,438.75,415.0,438.75,438.75,13.0,137.72,22500.0,17500.0,04-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,28-Jan-2021,0.0,XX,431.2,439.05,429.05,438.5,438.5,2621.0,28493.38,4805000.0,-567500.0,05-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Feb-2021,0.0,XX,431.1,436.55,428.65,435.85,439.85,11.0,119.05,115000.0,15000.0,05-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Mar-2021,0.0,XX,0.0,0.0,0.0,438.75,441.3,0.0,0.0,22500.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,28-Jan-2021,0.0,XX,440.25,446.85,430.35,436.05,436.05,2739.0,30051.62,4522500.0,-282500.0,06-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Feb-2021,0.0,XX,439.85,444.3,431.0,435.95,435.95,17.0,186.46,137500.0,22500.0,06-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,25-Mar-2021,0.0,XX,435.6,436.5,435.6,436.65,436.65,3.0,32.71,30000.0,7500.0,06-Jan-2021,,,N,,,,,
FUTSTK,CHOLAFIN,28-Jan-2021,0.0,XX,439.4,441.9,429.0,433.15,433.15,1953.0,21205.86,4580000.0,57500.0,07-Jan-2021,,,N,,,,,
